time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.48,18.31,3.87,0.12,0.37,1.36,0.84,14.9,1.23,1.73
Food Cooking & Clean-up,1.53,18.40,4.03,0.15,0.51,1.42,0.75,31.4,1.42,1.64
"Pets, Home & Vehicles",2.05,20.06,5.88,0.11,0.54,1.65,1.10,16.9,1.83,2.27
Household Management,0.57,24.72,2.00,0.02,0.16,0.34,0.27,13.9,0.48,0.65
Shopping,1.65,18.13,4.28,0.11,0.57,0.05,0.51,33.8,1.50,1.81
Obtaining Services,0.09,21.87,0.27,0.00,0.02,0.01,0.05,1.7,0.06,0.12
Travel for Household Activity,1.65,24.75,5.83,0.06,0.46,0.01,0.73,38.0,1.52,1.77
Household Production,9.02,20.30,26.15,0.58,2.63,4.85,4.24,66.7,8.61,9.42
Household Children,0.78,18.05,2.02,,0.59,0.67,0.01,6.1,0.66,0.91
Household Adults,0.09,17.91,0.22,0.01,0.06,0.04,0.01,3.5,0.06,0.11
Non-Household Members,0.74,18.09,1.91,0.03,0.39,0.19,0.06,13.3,0.62,0.87
Travel for Household Members,0.15,24.75,0.54,0.00,0.07,0.00,0.05,4.1,0.12,0.19
Travel for Non-Household Members,0.52,24.75,1.83,0.01,0.09,0.00,0.23,11.7,0.45,0.59
Caring and Helping,2.28,20.03,6.52,0.05,1.20,0.90,0.36,21.3,2.04,2.52
Eating & Drinking,6.67,18.25,17.40,0.31,2.32,3.49,1.93,94.1,6.49,6.86
Personal Health Care,0.26,17.95,0.66,0.00,0.05,0.08,0.15,3.4,0.18,0.34
Grooming,4.10,18.17,10.64,0.11,,,,79.3,3.94,4.26
Sleeping,64.80,18.58,171.98,,,,,99.9,64.06,65.54
"Private, Personal, or N/A",2.39,20.56,7.01,0.08,0.34,0.84,1.01,22.7,2.07,2.70
Personal Time,78.22,18.59,207.70,0.50,2.70,4.41,3.08,100.0,77.55,78.88
Socializing,6.32,20.35,18.38,0.33,2.14,2.05,0.56,40.0,5.95,6.70
Passive Leisure,28.68,17.40,71.28,1.24,5.90,24.87,16.41,90.4,26.61,30.74
Active Leisure,3.97,17.40,9.86,0.12,0.66,0.57,1.28,26.0,3.66,4.28
Attendance Leisure,1.13,17.40,2.81,0.03,0.33,0.03,0.09,5.8,0.97,1.29
Religious Activities,0.58,23.41,1.94,0.04,0.24,0.05,0.10,4.2,0.46,0.70
Volunteering,0.49,23.41,1.63,0.01,0.07,0.06,0.10,3.1,0.36,0.61
Travel Related to Leisure,3.46,24.75,12.24,0.09,0.75,0.04,1.45,58.9,3.12,3.80
Leisure,44.63,18.53,118.14,1.87,10.09,27.67,19.99,97.7,43.06,46.20
Working at Job,23.94,17.32,59.24,0.05,0.54,0.80,2.24,45.6,22.41,25.46
Educational Activities,7.23,23.41,24.17,0.02,0.29,2.93,3.91,20.7,6.64,7.82
Commuting to Work or School,2.69,24.75,9.53,0.01,0.16,0.02,2.19,52.3,2.48,2.91
Work and Education,33.86,19.21,92.93,0.08,0.99,3.75,8.34,62.4,32.33,35.39
Total,168.00,18.81,451.45,3.09,17.62,41.57,36.01,,,
