time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.24,18.31,5.87,0.87,0.54,2.09,1.57,22.2,1.78,2.71
Food Cooking & Clean-up,2.37,18.40,6.22,1.29,0.98,2.29,1.20,40.9,1.85,2.88
"Pets, Home & Vehicles",2.95,20.06,8.45,1.06,0.81,2.57,1.76,23.4,2.14,3.76
Household Management,0.64,24.72,2.28,0.15,0.18,0.42,0.32,15.4,0.45,0.84
Shopping,1.95,18.13,5.06,0.67,0.75,0.08,0.69,37.2,1.61,2.30
Obtaining Services,0.12,21.87,0.37,0.01,0.01,0.03,0.09,1.8,,0.24
Travel for Household Activity,1.67,24.75,5.89,0.43,0.50,0.03,0.88,41.3,1.45,1.88
Household Production,11.94,20.01,34.13,4.48,3.78,7.50,6.51,74.4,10.38,13.50
Household Children,3.16,18.05,8.14,,2.66,2.30,0.17,32.8,2.62,3.69
Household Adults,0.05,17.91,0.12,0.01,0.02,0.04,0.00,1.7,,0.10
Non-Household Members,0.47,18.09,1.22,0.11,0.24,0.09,0.02,9.2,0.28,0.67
Travel for Household Members,0.89,24.75,3.14,0.00,0.44,0.02,0.39,21.3,0.74,1.04
Travel for Non-Household Members,0.44,24.75,1.57,0.05,0.09,0.00,0.18,8.2,0.26,0.63
Caring and Helping,5.01,19.84,14.19,0.17,3.45,2.44,0.77,40.0,4.44,5.57
Eating & Drinking,6.72,18.25,17.53,1.71,2.43,3.52,2.13,94.8,6.19,7.26
Personal Health Care,0.29,17.95,0.73,0.05,0.03,0.13,0.20,3.8,0.08,0.49
Grooming,4.20,18.17,10.89,0.68,,,,80.0,3.85,4.54
Sleeping,61.09,18.58,162.16,,,,,100.0,59.78,62.41
"Private, Personal, or N/A",1.83,20.56,5.38,0.34,0.25,0.77,0.64,20.7,1.19,2.47
Personal Time,74.14,18.57,196.70,2.78,2.70,4.42,2.97,100.0,72.62,75.65
Socializing,4.35,20.35,12.63,1.12,1.75,1.76,0.43,34.0,3.25,5.44
Passive Leisure,20.71,17.40,51.48,5.72,5.46,18.53,11.63,88.6,19.19,22.23
Active Leisure,2.67,17.40,6.63,0.41,0.56,0.38,1.01,20.7,1.89,3.44
Attendance Leisure,1.09,17.40,2.72,0.51,0.63,0.03,0.04,4.9,0.70,1.49
Religious Activities,0.52,23.41,1.73,0.18,0.24,0.10,0.12,6.2,0.28,0.75
Volunteering,0.53,23.41,1.79,0.28,0.22,0.06,0.12,3.4,0.30,0.77
Travel Related to Leisure,2.50,24.75,8.83,0.59,0.76,0.08,1.04,50.2,2.10,2.89
Leisure,32.37,18.56,85.81,8.81,9.62,20.94,14.39,96.4,30.32,34.42
Working at Job,40.08,24.14,138.23,1.50,0.49,3.78,6.87,68.0,37.50,42.65
Educational Activities,1.60,23.41,5.35,0.07,0.02,0.45,0.89,5.9,0.81,2.39
Commuting to Work or School,2.87,24.75,10.15,0.06,0.10,0.03,2.48,60.0,2.60,3.14
Work and Education,44.55,24.16,153.73,1.63,0.61,4.26,10.24,70.9,41.86,47.23
Total,168.00,20.19,484.56,17.86,20.16,39.56,34.88,,,
