time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,4.11,18.31,10.75,0.05,0.18,3.95,3.82,39.3,3.93,4.29
Food Cooking & Clean-up,2.90,18.40,7.61,0.08,0.30,2.68,2.38,56.6,2.67,3.12
"Pets, Home & Vehicles",2.37,20.06,6.78,0.02,0.15,1.82,2.05,32.5,2.21,2.52
Household Management,1.15,24.72,4.05,0.01,0.08,0.90,0.95,26.3,1.04,1.25
Shopping,2.72,18.13,7.04,0.03,0.53,0.11,1.69,43.2,2.54,2.90
Obtaining Services,0.16,21.87,0.50,0.00,0.01,0.07,0.09,3.5,0.13,0.18
Travel for Household Activity,2.13,24.75,7.54,0.02,0.27,0.03,1.56,47.7,1.96,2.31
Household Production,15.53,19.96,44.27,0.21,1.51,9.56,12.55,87.3,15.12,15.94
Household Children,0.19,18.05,0.49,,0.17,0.15,0.01,1.4,0.12,0.25
Household Adults,0.00,17.91,0.01,0.00,0.00,0.00,0.00,0.1,,0.01
Non-Household Members,1.03,18.09,2.66,0.00,0.70,0.27,0.13,13.6,0.92,1.14
Travel for Household Members,0.05,24.75,0.16,0.00,0.03,0.00,0.01,0.8,0.02,0.07
Travel for Non-Household Members,0.50,24.75,1.78,0.00,0.13,0.01,0.25,11.0,0.46,0.55
Caring and Helping,1.77,20.15,5.10,0.01,1.04,0.42,0.41,14.9,1.61,1.94
Eating & Drinking,6.90,18.25,17.98,0.05,0.98,3.20,3.50,93.5,6.66,7.13
Personal Health Care,1.00,17.95,2.57,0.00,0.06,0.43,0.70,10.8,0.88,1.13
Grooming,6.25,18.17,16.23,0.04,,,,87.7,6.13,6.38
Sleeping,59.01,18.58,156.63,,,,,99.9,58.51,59.52
"Private, Personal, or N/A",1.94,20.56,5.70,0.02,0.14,0.72,1.12,27.0,1.77,2.11
Personal Time,75.10,18.56,199.11,0.11,1.17,4.35,5.32,100.0,74.69,75.52
Socializing,5.41,20.35,15.72,0.04,1.91,1.89,1.13,42.4,5.15,5.66
Passive Leisure,21.45,17.40,53.30,0.18,1.38,19.29,18.06,89.1,20.42,22.47
Active Leisure,1.75,17.40,4.34,0.01,0.17,0.32,0.96,19.3,1.64,1.86
Attendance Leisure,0.98,17.40,2.45,0.01,0.24,0.03,0.16,5.1,0.80,1.16
Religious Activities,0.80,23.41,2.67,0.01,0.13,0.21,0.43,8.2,0.72,0.88
Volunteering,0.71,23.41,2.36,0.00,0.07,0.20,0.25,5.1,0.61,0.81
Travel Related to Leisure,2.83,24.75,9.99,0.03,0.43,0.03,1.71,51.5,2.52,3.13
Leisure,33.91,18.75,90.83,0.27,4.33,21.98,22.70,97.2,33.32,34.51
Working at Job,38.03,29.93,162.61,0.03,0.27,5.69,8.70,68.5,36.91,39.15
Educational Activities,0.96,23.41,3.22,0.00,0.02,0.70,0.78,2.9,0.14,1.79
Commuting to Work or School,2.69,24.75,9.51,0.00,0.03,0.03,2.49,55.1,2.42,2.95
Work and Education,41.68,29.45,175.34,0.04,0.32,6.42,11.97,70.3,40.88,42.48
Total,168.00,21.44,514.65,0.63,8.37,42.74,52.94,,,
