time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,12.15,18.31,31.78,0.00,3.05,12.10,9.01,77.3,10.80,13.50
Food Cooking & Clean-up,10.91,18.40,28.67,0.00,4.30,10.81,6.49,87.2,10.05,11.77
"Pets, Home & Vehicles",3.95,20.06,11.31,0.00,1.40,3.52,2.40,39.8,3.22,4.67
Household Management,2.00,24.72,7.08,0.00,0.70,1.64,1.27,33.1,1.37,2.64
Shopping,4.59,18.13,11.88,0.00,2.11,0.09,2.20,57.0,3.96,5.21
Obtaining Services,0.30,21.87,0.94,0.00,0.08,0.15,0.13,6.1,0.15,0.45
Travel for Household Activity,3.01,24.75,10.66,0.00,1.58,0.02,1.35,60.7,2.66,3.37
Household Production,36.91,19.40,102.31,0.00,13.23,28.32,22.85,97.4,34.92,38.89
Household Children,5.61,18.05,14.46,,4.80,3.74,0.56,54.9,4.69,6.52
Household Adults,0.37,17.91,0.95,0.00,0.25,0.20,0.08,11.1,0.21,0.53
Non-Household Members,1.25,18.09,3.22,0.00,1.07,0.65,0.09,15.5,0.68,1.81
Travel for Household Members,2.41,24.75,8.51,0.00,1.57,0.04,0.82,39.4,1.96,2.85
Travel for Non-Household Members,0.43,24.75,1.52,0.00,0.29,0.01,0.12,11.6,0.28,0.59
Caring and Helping,10.06,19.94,28.66,0.00,7.99,4.64,1.66,63.3,8.84,11.28
Eating & Drinking,7.87,18.25,20.51,0.00,6.19,5.88,1.36,96.1,7.48,8.26
Personal Health Care,1.17,17.95,2.99,0.00,0.39,0.60,0.72,10.4,0.54,1.79
Grooming,4.81,18.17,12.48,0.00,,,,75.9,4.36,5.26
Sleeping,60.63,18.58,160.93,,,,,100.0,59.57,61.69
"Private, Personal, or N/A",2.50,20.56,7.35,0.00,0.84,0.77,0.65,34.0,1.99,3.01
Personal Time,76.98,18.57,204.26,0.00,7.42,7.25,2.73,100.0,75.60,78.35
Socializing,7.20,20.35,20.93,0.00,5.49,3.97,0.66,56.4,5.60,8.79
Passive Leisure,22.46,17.40,55.82,0.00,14.06,21.70,8.20,93.5,20.62,24.29
Active Leisure,1.95,17.40,4.84,0.00,0.56,0.59,1.01,20.6,1.39,2.51
Attendance Leisure,0.83,17.40,2.07,0.00,0.61,0.07,0.04,4.5,0.48,1.19
Religious Activities,1.49,23.41,4.99,0.00,1.01,0.37,0.34,14.2,1.05,1.94
Volunteering,2.56,23.41,8.56,0.00,0.72,0.64,0.60,13.2,1.09,4.03
Travel Related to Leisure,2.89,24.75,10.24,0.00,2.03,0.08,0.82,50.6,2.31,3.48
Leisure,39.39,19.10,107.45,0.00,24.49,27.42,11.67,98.1,36.92,41.85
Working at Job,3.91,19.14,10.68,0.00,0.31,0.89,0.43,10.4,2.38,5.43
Educational Activities,0.35,23.41,1.16,0.00,0.00,0.20,0.35,1.7,0.01,0.68
Commuting to Work or School,0.42,24.75,1.48,0.00,0.06,0.00,0.29,9.1,0.24,0.60
Work and Education,4.67,19.96,13.32,0.00,0.37,1.09,1.06,13.8,2.96,6.38
Total,168.00,19.00,456.00,0.00,53.49,68.73,39.97,,,
