time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.31,18.31,6.04,0.02,0.06,2.18,2.16,24.9,2.20,2.42
Food Cooking & Clean-up,2.32,18.40,6.10,0.04,0.14,2.16,1.96,48.4,2.14,2.50
"Pets, Home & Vehicles",2.97,20.06,8.52,0.03,0.14,2.44,2.62,25.2,2.74,3.20
Household Management,0.86,24.72,3.02,0.01,0.04,0.59,0.71,18.3,0.75,0.97
Shopping,1.82,18.13,4.72,0.02,0.18,0.08,1.27,39.4,1.71,1.94
Obtaining Services,0.10,21.87,0.31,0.00,0.00,0.02,0.07,2.4,0.07,0.13
Travel for Household Activity,1.91,24.75,6.77,0.02,0.12,0.04,1.53,43.3,1.82,2.01
Household Production,12.30,20.20,35.48,0.14,0.69,7.51,10.31,79.2,11.94,12.65
Household Children,0.08,18.05,0.20,,0.07,0.06,0.01,0.8,0.05,0.11
Household Adults,0.00,17.91,0.01,0.00,0.00,0.00,0.00,0.1,,0.01
Non-Household Members,1.11,18.09,2.88,0.01,0.54,0.24,0.18,12.2,1.00,1.23
Travel for Household Members,0.03,24.75,0.09,0.00,0.01,0.00,0.01,0.5,0.01,0.04
Travel for Non-Household Members,0.49,24.75,1.75,0.00,0.11,0.00,0.26,10.4,0.43,0.55
Caring and Helping,1.72,20.11,4.93,0.01,0.73,0.31,0.46,13.1,1.55,1.88
Eating & Drinking,7.46,18.25,19.44,0.06,0.72,3.42,4.18,94.3,7.28,7.64
Personal Health Care,0.42,17.95,1.08,0.00,0.02,0.21,0.33,5.2,0.33,0.51
Grooming,4.13,18.17,10.72,0.02,,,,79.2,4.04,4.22
Sleeping,58.83,18.58,156.15,,,,,99.9,58.42,59.25
"Private, Personal, or N/A",1.81,20.56,5.30,0.02,0.07,0.69,1.04,21.3,1.67,1.94
Personal Time,72.65,18.57,192.70,0.10,0.81,4.33,5.55,100.0,72.31,72.99
Socializing,4.32,20.35,12.56,0.04,1.30,1.14,0.67,31.6,4.05,4.59
Passive Leisure,24.85,17.40,61.77,0.19,1.12,22.27,20.96,89.8,24.25,25.46
Active Leisure,2.69,17.40,6.69,0.02,0.23,0.39,1.45,21.9,2.46,2.92
Attendance Leisure,0.89,17.40,2.22,0.02,0.19,0.05,0.19,4.5,0.73,1.05
Religious Activities,0.41,23.41,1.37,0.01,0.07,0.09,0.20,4.0,0.36,0.46
Volunteering,0.52,23.41,1.74,0.01,0.04,0.08,0.17,3.1,0.44,0.60
Travel Related to Leisure,3.02,24.75,10.67,0.02,0.29,0.03,2.05,53.7,2.73,3.31
Leisure,36.71,18.50,97.02,0.31,3.24,24.05,25.69,96.8,36.22,37.19
Working at Job,41.05,32.07,188.09,0.02,0.20,5.06,10.50,70.5,40.46,41.65
Educational Activities,0.45,23.41,1.51,0.00,0.00,0.26,0.34,2.0,0.35,0.55
Commuting to Work or School,3.13,24.75,11.06,0.00,0.03,0.03,2.88,57.6,2.97,3.29
Work and Education,44.63,31.47,200.66,0.02,0.23,5.35,13.72,71.9,43.96,45.31
Total,168.00,22.12,530.80,0.58,5.71,41.55,55.73,,,
