time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,3.06,18.31,8.00,1.40,1.57,2.94,1.44,30.2,2.00,4.12
Food Cooking & Clean-up,3.78,18.40,9.94,2.38,2.01,3.76,1.73,54.2,3.24,4.33
"Pets, Home & Vehicles",4.13,20.06,11.84,1.54,1.23,3.75,2.85,30.0,3.14,5.12
Household Management,0.85,24.72,2.99,0.30,0.50,0.63,0.33,19.8,0.51,1.18
Shopping,2.29,18.13,5.93,0.90,1.50,0.07,0.70,39.1,1.76,2.82
Obtaining Services,0.18,21.87,0.56,0.09,0.07,0.09,0.09,2.8,0.06,0.30
Travel for Household Activity,1.99,24.75,7.04,0.77,1.13,0.02,0.81,41.9,1.60,2.38
Household Production,16.29,19.91,46.32,7.37,8.01,11.25,7.94,80.1,14.37,18.20
Household Children,7.67,18.05,19.77,,7.43,6.32,0.18,59.2,6.73,8.60
Household Adults,0.56,17.91,1.44,0.11,0.42,0.07,0.15,9.0,0.15,0.97
Non-Household Members,0.68,18.09,1.77,0.06,0.54,0.23,0.08,9.3,0.29,1.08
Travel for Household Members,1.57,24.75,5.53,0.14,1.15,0.03,0.41,32.0,1.21,1.92
Travel for Non-Household Members,0.25,24.75,0.90,0.05,0.13,0.00,0.11,7.4,0.15,0.35
Caring and Helping,10.73,19.18,29.41,0.35,9.67,6.66,0.92,65.1,9.64,11.82
Eating & Drinking,8.08,18.25,21.08,3.50,5.63,5.21,1.52,94.7,7.43,8.74
Personal Health Care,0.32,17.95,0.83,0.04,0.05,0.16,0.22,5.2,0.18,0.46
Grooming,3.64,18.17,9.45,1.15,,,,78.4,3.20,4.08
Sleeping,60.01,18.58,159.28,,,,,99.6,58.53,61.48
"Private, Personal, or N/A",2.77,20.56,8.13,0.67,0.95,1.15,1.01,25.9,1.93,3.60
Personal Time,74.83,18.59,198.76,5.36,6.63,6.52,2.75,100.0,72.96,76.69
Socializing,4.53,20.35,13.18,1.91,3.99,2.50,0.15,40.5,3.65,5.42
Passive Leisure,24.14,17.40,60.00,9.63,13.96,22.66,9.61,91.3,22.29,25.99
Active Leisure,1.96,17.40,4.86,0.95,1.15,0.70,0.53,17.2,1.28,2.63
Attendance Leisure,0.78,17.40,1.94,0.26,0.55,0.13,0.22,4.0,0.39,1.18
Religious Activities,1.06,23.41,3.54,0.38,0.84,0.27,0.15,9.4,0.66,1.46
Volunteering,0.85,23.41,2.84,0.23,0.32,0.21,0.26,7.2,0.52,1.18
Travel Related to Leisure,2.50,24.75,8.83,0.82,1.48,0.02,0.77,46.9,1.94,3.05
Leisure,35.82,18.60,95.20,14.18,22.30,26.49,11.70,98.2,33.54,38.09
Working at Job,25.91,18.95,70.14,1.12,0.88,3.89,5.94,59.8,23.22,28.60
Educational Activities,1.73,23.41,5.77,0.24,0.35,0.75,0.78,6.0,0.90,2.55
Commuting to Work or School,2.70,24.75,9.56,0.10,0.28,0.05,2.19,49.7,2.26,3.15
Work and Education,30.34,19.72,85.47,1.45,1.50,4.68,8.91,64.0,27.34,33.34
Total,168.00,18.96,455.15,28.72,48.11,55.60,32.21,,,
