time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,7.32,18.31,19.14,0.01,0.23,7.11,6.98,58.2,6.88,7.76
Food Cooking & Clean-up,4.90,18.40,12.88,0.01,0.40,4.65,4.36,73.5,4.69,5.12
"Pets, Home & Vehicles",4.21,20.06,12.05,0.00,0.18,3.78,3.91,40.8,3.89,4.53
Household Management,2.37,24.72,8.37,0.00,0.15,2.11,2.13,37.4,2.12,2.62
Shopping,3.44,18.13,8.92,0.00,0.61,0.17,2.27,44.5,3.16,3.72
Obtaining Services,0.26,21.87,0.81,0.00,0.01,0.17,0.13,5.5,0.20,0.32
Travel for Household Activity,2.30,24.75,8.14,0.00,0.40,0.05,1.65,48.5,2.12,2.48
Household Production,24.80,19.85,70.32,0.03,1.99,18.04,21.44,94.0,24.21,25.39
Household Children,0.03,18.05,0.07,,0.02,0.03,0.00,0.2,0.01,0.05
Household Adults,0.01,17.91,0.03,0.00,0.01,0.01,0.00,0.2,,0.02
Non-Household Members,2.39,18.09,6.17,0.00,1.78,0.94,0.27,20.6,2.07,2.71
Travel for Household Members,0.01,24.75,0.03,0.00,0.01,0.00,0.00,0.2,,0.02
Travel for Non-Household Members,0.70,24.75,2.47,0.00,0.24,0.01,0.34,15.1,0.60,0.79
Caring and Helping,3.14,19.59,8.78,0.00,2.06,0.98,0.62,21.1,2.82,3.45
Eating & Drinking,7.65,18.25,19.93,0.01,1.21,5.61,5.11,96.6,7.37,7.92
Personal Health Care,2.27,17.95,5.82,0.00,0.17,1.32,1.70,25.2,2.00,2.54
Grooming,5.11,18.17,13.28,0.00,,,,78.0,4.96,5.27
Sleeping,62.18,18.58,165.03,,,,,99.9,61.69,62.66
"Private, Personal, or N/A",2.70,20.56,7.94,0.00,0.22,1.03,1.37,33.0,2.53,2.87
Personal Time,79.91,18.57,212.00,0.01,1.60,7.97,8.18,100.0,79.08,80.74
Socializing,7.11,20.35,20.67,0.01,2.97,3.44,1.70,53.6,6.73,7.49
Passive Leisure,43.22,17.40,107.41,0.03,1.79,41.38,40.04,96.9,41.58,44.86
Active Leisure,1.73,17.40,4.29,0.00,0.15,0.53,0.97,18.1,1.56,1.89
Attendance Leisure,0.73,17.40,1.82,0.00,0.13,0.07,0.21,4.2,0.56,0.90
Religious Activities,1.92,23.41,6.43,0.00,0.24,0.82,1.14,16.5,1.74,2.10
Volunteering,1.92,23.41,6.40,0.00,0.09,0.81,1.00,10.4,1.56,2.27
Travel Related to Leisure,2.69,24.75,9.52,0.00,0.52,0.04,1.58,47.1,2.28,3.10
Leisure,59.31,18.47,156.54,0.04,5.89,47.08,46.64,99.4,58.46,60.17
Working at Job,0.70,15.36,1.53,0.00,0.02,0.16,0.23,2.2,0.50,0.90
Educational Activities,0.06,23.41,0.19,0.00,0.00,0.05,0.05,0.4,0.01,0.11
Commuting to Work or School,0.08,24.75,0.30,0.00,0.00,0.00,0.08,2.2,0.06,0.11
Work and Education,0.84,16.85,2.02,0.00,0.02,0.21,0.36,3.3,0.61,1.07
Total,168.00,18.74,449.66,0.08,11.56,74.28,77.24,,,
