time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,8.60,18.31,22.50,0.28,1.36,8.32,6.92,56.0,6.92,10.28
Food Cooking & Clean-up,6.43,18.40,16.91,0.36,1.97,6.14,4.37,73.2,5.53,7.33
"Pets, Home & Vehicles",3.28,20.06,9.39,0.01,0.99,2.61,2.27,35.0,1.73,4.82
Household Management,2.07,24.72,7.29,0.04,0.64,1.66,1.18,26.2,1.01,3.12
Shopping,4.18,18.13,10.83,0.21,1.66,0.12,2.32,54.3,3.20,5.16
Obtaining Services,0.25,21.87,0.78,0.00,0.10,0.01,0.14,4.6,,0.53
Travel for Household Activity,3.11,24.75,10.99,0.08,1.23,0.02,1.81,55.0,2.22,3.99
Household Production,27.92,19.73,78.70,0.97,7.95,18.89,19.00,94.1,25.29,30.55
Household Children,0.97,18.05,2.51,,0.96,0.65,0.00,3.9,,2.07
Household Adults,0.09,17.91,0.24,0.00,0.07,0.09,0.02,6.1,0.01,0.18
Non-Household Members,3.07,18.09,7.93,0.07,2.48,1.32,0.37,19.7,1.12,5.02
Travel for Household Members,0.14,24.75,0.48,0.00,0.09,0.00,0.04,4.1,0.01,0.27
Travel for Non-Household Members,0.70,24.75,2.48,0.01,0.32,0.03,0.27,14.8,0.28,1.12
Caring and Helping,4.97,19.20,13.64,0.08,3.93,2.08,0.70,25.3,2.34,7.61
Eating & Drinking,7.35,18.25,19.16,0.34,4.75,4.74,2.03,93.6,6.61,8.09
Personal Health Care,0.66,17.95,1.70,0.00,0.10,0.23,0.42,9.7,0.26,1.06
Grooming,5.58,18.17,14.47,0.19,,,,81.5,4.75,6.40
Sleeping,62.10,18.58,164.81,,,,,100.0,59.95,64.24
"Private, Personal, or N/A",4.01,20.56,11.79,0.02,0.90,2.27,1.98,33.0,2.75,5.28
Personal Time,79.69,18.61,211.93,0.55,5.74,7.23,4.43,100.0,77.20,82.19
Socializing,7.03,20.35,20.43,0.20,5.16,4.05,0.96,47.8,5.63,8.42
Passive Leisure,24.30,17.40,60.40,0.79,12.02,23.11,11.80,90.9,20.39,28.21
Active Leisure,1.78,17.40,4.41,0.06,0.71,0.40,0.80,18.9,1.00,2.55
Attendance Leisure,2.27,17.40,5.65,0.00,1.27,0.42,0.50,9.3,0.94,3.60
Religious Activities,0.56,23.41,1.89,0.02,0.22,0.16,0.28,5.3,0.28,0.85
Volunteering,1.17,23.41,3.91,0.00,0.18,0.48,0.46,6.5,0.39,1.94
Travel Related to Leisure,2.54,24.75,8.97,0.02,1.46,0.03,0.79,48.1,1.54,3.54
Leisure,39.65,18.65,105.66,1.08,21.02,28.65,15.59,98.2,33.86,45.44
Working at Job,12.26,17.96,31.46,0.03,0.14,0.85,1.68,26.9,6.76,17.76
Educational Activities,1.82,23.41,6.09,0.00,0.13,1.08,1.31,4.9,0.46,3.19
Commuting to Work or School,1.68,24.75,5.94,0.03,0.10,0.03,1.49,27.2,0.67,2.69
Work and Education,15.77,19.31,43.50,0.06,0.37,1.95,4.48,32.7,9.84,21.69
Total,168.00,18.89,453.43,2.75,39.01,58.81,44.20,,,
