time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,4.96,18.31,12.97,0.00,1.42,4.86,3.50,44.2,4.73,5.19
Food Cooking & Clean-up,4.50,18.40,11.82,0.00,1.91,4.33,2.53,66.9,4.31,4.69
"Pets, Home & Vehicles",2.90,20.06,8.32,0.00,1.33,2.32,1.54,36.1,2.74,3.07
Household Management,1.22,24.72,4.30,0.00,0.56,0.95,0.63,26.5,1.10,1.33
Shopping,3.04,18.13,7.87,0.00,1.55,0.12,1.27,44.7,2.84,3.24
Obtaining Services,0.12,21.87,0.39,0.00,0.05,0.03,0.05,3.0,0.10,0.15
Travel for Household Activity,2.37,24.75,8.37,0.00,1.16,0.02,1.11,48.6,2.26,2.47
Household Production,19.11,19.80,54.05,0.01,7.97,12.65,10.63,91.8,18.68,19.53
Household Children,0.00,18.05,0.01,,0.00,0.00,0.00,0.0,,0.01
Household Adults,0.23,17.91,0.59,0.00,0.18,0.12,0.05,6.4,0.18,0.28
Non-Household Members,1.11,18.09,2.87,0.00,0.92,0.41,0.10,12.0,0.99,1.23
Travel for Household Members,0.14,24.75,0.50,0.00,0.09,0.00,0.04,3.1,0.11,0.17
Travel for Non-Household Members,0.45,24.75,1.59,0.00,0.24,0.00,0.16,9.2,0.40,0.50
Caring and Helping,1.94,20.10,5.56,0.00,1.43,0.54,0.35,17.2,1.78,2.09
Eating & Drinking,7.88,18.25,20.55,0.00,4.94,4.22,1.77,96.1,7.71,8.06
Personal Health Care,0.90,17.95,2.30,0.00,0.25,0.34,0.47,9.4,0.74,1.05
Grooming,5.91,18.17,15.35,0.00,,,,87.3,5.77,6.06
Sleeping,59.10,18.58,156.87,,,,,100.0,58.67,59.53
"Private, Personal, or N/A",1.64,20.56,4.81,0.00,0.47,0.55,0.67,22.7,1.51,1.77
Personal Time,75.43,18.55,199.88,0.00,5.66,5.11,2.90,100.0,75.03,75.83
Socializing,4.98,20.35,14.48,0.00,3.85,2.19,0.43,42.0,4.74,5.22
Passive Leisure,19.63,17.40,48.78,0.00,11.96,18.41,7.34,89.5,18.84,20.41
Active Leisure,1.85,17.40,4.60,0.00,0.73,0.42,0.74,20.9,1.67,2.03
Attendance Leisure,0.84,17.40,2.08,0.00,0.66,0.04,0.06,4.6,0.70,0.97
Religious Activities,0.85,23.41,2.84,0.00,0.51,0.19,0.21,7.9,0.77,0.93
Volunteering,0.76,23.41,2.54,0.00,0.27,0.21,0.20,5.4,0.62,0.90
Travel Related to Leisure,2.85,24.75,10.08,0.00,1.81,0.03,0.87,49.3,2.67,3.03
Leisure,31.75,18.83,85.40,0.01,19.79,21.50,9.85,97.3,31.09,32.42
Working at Job,36.46,29.74,154.87,0.00,1.09,5.25,7.12,67.5,35.74,37.18
Educational Activities,0.59,23.41,1.96,0.00,0.11,0.42,0.37,2.5,0.47,0.70
Commuting to Work or School,2.73,24.75,9.64,0.00,0.27,0.03,2.36,54.2,2.50,2.96
Work and Education,39.77,29.30,166.48,0.00,1.47,5.71,9.84,68.7,38.91,40.63
Total,168.00,21.31,511.36,0.02,36.32,45.51,33.58,,,
