time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,4.05,18.31,10.60,0.01,0.60,3.67,2.82,37.7,2.39,5.72
Food Cooking & Clean-up,2.84,18.40,7.46,0.00,0.72,2.45,1.53,43.0,2.07,3.61
"Pets, Home & Vehicles",2.01,20.06,5.75,0.00,0.25,1.34,1.28,21.7,1.07,2.95
Household Management,0.88,24.72,3.10,0.00,0.12,0.55,0.61,22.5,0.49,1.26
Shopping,2.51,18.13,6.51,0.00,0.84,0.19,1.00,39.1,1.48,3.55
Obtaining Services,0.24,21.87,0.76,0.00,0.00,0.17,0.11,2.2,,0.55
Travel for Household Activity,2.32,24.75,8.21,0.00,0.73,0.01,0.91,44.9,1.50,3.14
Household Production,14.85,19.98,42.39,0.02,3.26,8.38,8.26,77.5,12.10,17.61
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.25,17.91,0.63,0.00,0.02,0.22,0.02,4.3,,0.53
Non-Household Members,1.49,18.09,3.86,0.00,0.72,0.31,0.06,16.4,0.69,2.30
Travel for Household Members,0.05,24.75,0.16,0.00,0.00,0.00,0.01,1.7,,0.11
Travel for Non-Household Members,0.59,24.75,2.10,0.00,0.14,0.00,0.27,12.5,0.38,0.81
Caring and Helping,2.38,19.86,6.74,0.00,0.88,0.53,0.37,20.2,1.39,3.37
Eating & Drinking,6.91,18.25,18.02,0.01,2.31,3.94,2.14,93.4,6.04,7.79
Personal Health Care,0.41,17.95,1.05,0.00,0.01,0.18,0.18,5.7,0.13,0.69
Grooming,6.23,18.17,16.18,0.00,,,,78.2,5.18,7.29
Sleeping,68.20,18.58,181.01,,,,,100.0,65.84,70.56
"Private, Personal, or N/A",5.09,20.56,14.96,0.00,0.47,2.92,3.07,35.5,3.21,6.97
Personal Time,86.85,18.64,231.23,0.01,2.79,7.04,5.38,100.0,83.96,89.73
Socializing,8.58,20.35,24.94,0.00,3.06,3.24,1.12,49.9,6.38,10.78
Passive Leisure,28.29,17.40,70.32,0.01,5.10,24.70,18.70,88.6,25.28,31.31
Active Leisure,2.27,17.40,5.63,0.00,0.42,0.80,1.30,19.9,1.39,3.14
Attendance Leisure,1.23,17.40,3.06,0.00,0.24,0.00,0.25,5.9,0.64,1.83
Religious Activities,1.03,23.41,3.45,0.00,0.32,0.20,0.29,6.2,0.45,1.62
Volunteering,0.85,23.41,2.85,0.00,0.07,0.03,0.32,4.0,0.15,1.56
Travel Related to Leisure,2.97,24.75,10.50,0.00,0.60,0.03,1.34,56.9,2.47,3.46
Leisure,45.22,18.69,120.76,0.01,9.81,28.99,23.31,96.6,41.34,49.11
Working at Job,11.62,16.39,27.20,0.00,0.00,0.91,1.66,26.6,6.61,16.63
Educational Activities,5.60,23.41,18.73,0.00,0.16,2.72,4.03,15.2,3.15,8.05
Commuting to Work or School,1.48,24.75,5.22,0.00,0.07,0.03,1.24,33.7,1.00,1.95
Work and Education,18.70,19.15,51.16,0.00,0.24,3.66,6.94,43.2,13.46,23.93
Total,168.00,18.84,452.27,0.04,16.98,48.60,44.26,,,
