time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,6.18,18.31,16.17,0.05,1.80,5.92,4.31,53.9,5.18,7.18
Food Cooking & Clean-up,5.97,18.40,15.69,0.03,2.49,5.81,3.45,75.0,5.43,6.51
"Pets, Home & Vehicles",3.84,20.06,10.99,0.01,1.51,3.36,2.28,36.9,3.12,4.55
Household Management,1.66,24.72,5.87,0.00,0.69,1.38,0.95,30.7,1.29,2.03
Shopping,3.23,18.13,8.37,0.01,1.45,0.08,1.51,44.0,2.78,3.68
Obtaining Services,0.09,21.87,0.27,0.00,0.03,0.05,0.05,3.3,0.03,0.14
Travel for Household Activity,2.70,24.75,9.55,0.01,1.51,0.02,1.13,47.8,2.26,3.14
Household Production,23.67,19.79,66.93,0.11,9.47,16.61,13.67,92.8,22.18,25.17
Household Children,0.05,18.05,0.14,,0.05,0.04,0.00,0.4,,0.12
Household Adults,1.15,17.91,2.95,0.00,1.00,0.49,0.14,10.9,0.53,1.78
Non-Household Members,2.25,18.09,5.82,0.00,1.89,1.05,0.20,18.2,1.55,2.95
Travel for Household Members,0.22,24.75,0.79,0.00,0.20,0.00,0.03,4.0,0.07,0.38
Travel for Non-Household Members,0.56,24.75,1.99,0.00,0.29,0.01,0.22,12.8,0.39,0.73
Caring and Helping,4.25,19.27,11.70,0.00,3.43,1.58,0.59,27.9,3.10,5.40
Eating & Drinking,8.43,18.25,21.98,0.02,6.63,5.69,1.30,96.4,7.94,8.92
Personal Health Care,1.01,17.95,2.58,0.00,0.26,0.21,0.48,13.2,0.67,1.35
Grooming,5.60,18.17,14.54,0.02,,,,85.3,4.98,6.22
Sleeping,60.66,18.58,161.00,,,,,100.0,59.35,61.97
"Private, Personal, or N/A",2.37,20.56,6.95,0.00,0.64,0.78,0.94,30.9,1.95,2.79
Personal Time,78.07,18.57,207.06,0.04,7.53,6.68,2.72,100.0,76.88,79.25
Socializing,5.12,20.35,14.89,0.02,4.16,2.52,0.34,46.2,4.41,5.84
Passive Leisure,29.23,17.40,72.65,0.11,19.05,27.86,9.96,95.9,26.85,31.61
Active Leisure,1.69,17.40,4.19,0.00,0.65,0.61,0.78,19.4,1.27,2.10
Attendance Leisure,0.85,17.40,2.10,0.00,0.60,0.04,0.07,5.0,0.50,1.20
Religious Activities,1.44,23.41,4.81,0.01,0.72,0.32,0.41,14.9,1.15,1.72
Volunteering,1.81,23.41,6.05,0.00,0.51,0.58,0.66,12.0,1.23,2.39
Travel Related to Leisure,3.22,24.75,11.37,0.01,2.22,0.04,0.87,52.9,2.60,3.83
Leisure,43.35,18.74,116.06,0.16,27.90,31.97,13.09,99.5,41.16,45.54
Working at Job,16.96,18.71,45.34,0.00,0.64,2.91,4.16,45.2,14.97,18.96
Educational Activities,0.39,23.41,1.30,0.00,0.11,0.12,0.23,1.2,,1.24
Commuting to Work or School,1.31,24.75,4.64,0.00,0.14,0.01,1.14,35.1,0.99,1.64
Work and Education,18.66,19.23,51.29,0.00,0.89,3.05,5.53,46.1,16.70,20.63
Total,168.00,18.88,453.03,0.31,49.23,59.88,35.60,,,
