time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.58,18.31,4.13,0.01,0.72,1.53,0.85,17.6,1.41,1.75
Food Cooking & Clean-up,2.27,18.40,5.95,0.00,1.31,2.18,0.92,41.7,2.09,2.44
"Pets, Home & Vehicles",5.14,20.06,14.73,0.00,1.45,4.68,3.55,36.3,4.73,5.55
Household Management,1.00,24.72,3.54,0.00,0.44,0.72,0.51,20.2,0.88,1.12
Shopping,1.91,18.13,4.95,0.00,1.14,0.08,0.72,36.1,1.75,2.07
Obtaining Services,0.13,21.87,0.41,0.00,0.02,0.07,0.08,2.1,0.06,0.21
Travel for Household Activity,2.01,24.75,7.10,0.01,1.02,0.02,0.93,39.8,1.84,2.18
Household Production,14.04,20.35,40.82,0.03,6.12,9.28,7.55,76.8,13.46,14.62
Household Children,1.54,18.05,3.97,,1.36,0.75,0.11,26.2,1.36,1.72
Household Adults,0.19,17.91,0.49,0.00,0.17,0.06,0.02,5.8,0.12,0.27
Non-Household Members,0.52,18.09,1.34,0.00,0.37,0.12,0.06,7.0,0.41,0.62
Travel for Household Members,0.90,24.75,3.18,0.00,0.59,0.01,0.30,19.3,0.76,1.03
Travel for Non-Household Members,0.39,24.75,1.37,0.00,0.23,0.00,0.11,6.1,0.24,0.53
Caring and Helping,3.53,20.48,10.34,0.00,2.72,0.94,0.60,33.9,3.17,3.90
Eating & Drinking,7.89,18.25,20.56,0.02,4.88,4.68,1.93,96.7,7.67,8.11
Personal Health Care,0.53,17.95,1.37,0.00,0.21,0.31,0.25,5.3,0.33,0.73
Grooming,4.19,18.17,10.89,0.00,,,,81.5,4.06,4.33
Sleeping,56.75,18.58,150.62,,,,,99.9,56.16,57.33
"Private, Personal, or N/A",1.56,20.56,4.58,0.00,0.47,0.41,0.59,20.1,1.35,1.76
Personal Time,70.92,18.56,188.02,0.02,5.56,5.39,2.78,100.0,70.25,71.59
Socializing,4.18,20.35,12.17,0.01,3.46,2.21,0.14,37.1,3.74,4.63
Passive Leisure,21.47,17.40,53.36,0.04,13.02,20.09,8.01,90.1,20.74,22.19
Active Leisure,2.20,17.40,5.47,0.01,0.84,0.42,0.87,19.4,2.00,2.40
Attendance Leisure,0.84,17.40,2.10,0.00,0.64,0.02,0.05,4.2,0.62,1.07
Religious Activities,0.78,23.41,2.60,0.00,0.59,0.14,0.12,7.5,0.65,0.90
Volunteering,1.00,23.41,3.36,0.00,0.46,0.20,0.22,6.4,0.81,1.19
Travel Related to Leisure,2.99,24.75,10.57,0.00,1.74,0.03,1.08,47.3,2.63,3.35
Leisure,33.47,18.74,89.61,0.06,20.76,23.11,10.47,96.9,32.58,34.35
Working at Job,42.18,38.75,233.51,0.00,1.12,5.36,9.85,72.8,40.92,43.45
Educational Activities,0.14,23.41,0.46,0.00,0.02,0.07,0.09,0.6,0.06,0.22
Commuting to Work or School,3.72,24.75,13.14,0.00,0.18,0.04,3.26,58.7,3.48,3.95
Work and Education,46.04,37.57,247.11,0.00,1.32,5.46,13.20,73.6,44.75,47.32
Total,168.00,24.00,575.91,0.12,36.47,44.19,34.61,,,
