time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,6.70,18.31,17.51,0.20,1.37,6.51,5.22,53.2,6.49,6.91
Food Cooking & Clean-up,5.91,18.40,15.53,0.24,1.96,5.69,3.82,73.4,5.72,6.10
"Pets, Home & Vehicles",3.50,20.06,10.02,0.05,1.02,3.02,2.40,35.7,3.36,3.63
Household Management,1.62,24.72,5.73,0.02,0.46,1.32,1.09,29.6,1.54,1.70
Shopping,3.23,18.13,8.36,0.06,1.30,0.12,1.63,43.2,3.06,3.39
Obtaining Services,0.18,21.87,0.55,0.00,0.07,0.08,0.08,4.0,0.15,0.20
Travel for Household Activity,2.34,24.75,8.29,0.04,1.00,0.02,1.22,47.0,2.24,2.45
Household Production,23.47,19.68,66.00,0.61,7.19,16.77,15.45,92.5,23.13,23.82
Household Children,0.53,18.05,1.36,,0.47,0.42,0.03,4.7,0.47,0.59
Household Adults,0.51,17.91,1.29,0.01,0.40,0.33,0.07,7.1,0.43,0.58
Non-Household Members,2.18,18.09,5.63,0.01,1.78,0.92,0.21,17.3,2.04,2.32
Travel for Household Members,0.25,24.75,0.87,0.01,0.17,0.00,0.06,5.0,0.22,0.27
Travel for Non-Household Members,0.59,24.75,2.10,0.01,0.31,0.01,0.23,12.5,0.54,0.65
Caring and Helping,4.05,19.44,11.26,0.05,3.12,1.68,0.59,26.5,3.85,4.26
Eating & Drinking,7.75,18.25,20.19,0.17,4.38,5.18,2.35,96.2,7.53,7.96
Personal Health Care,1.62,17.95,4.16,0.02,0.34,0.92,1.02,16.1,1.49,1.75
Grooming,5.43,18.17,14.11,0.07,,,,81.9,5.27,5.60
Sleeping,60.22,18.58,159.84,,,,,99.9,59.65,60.79
"Private, Personal, or N/A",2.21,20.56,6.48,0.04,0.51,0.88,0.96,26.9,2.10,2.31
Personal Time,77.23,18.56,204.78,0.30,5.23,6.97,4.33,100.0,76.89,77.56
Socializing,5.54,20.35,16.09,0.12,3.77,2.80,0.74,45.7,5.25,5.82
Passive Leisure,28.81,17.40,71.60,0.52,11.24,27.44,16.54,93.4,28.24,29.37
Active Leisure,1.49,17.40,3.70,0.02,0.46,0.39,0.69,17.2,1.38,1.60
Attendance Leisure,0.68,17.40,1.70,0.01,0.38,0.05,0.11,4.0,0.58,0.78
Religious Activities,1.36,23.41,4.56,0.03,0.59,0.43,0.51,12.9,1.25,1.48
Volunteering,1.08,23.41,3.62,0.02,0.26,0.40,0.39,7.2,0.96,1.20
Travel Related to Leisure,2.58,24.75,9.13,0.04,1.39,0.03,0.96,45.5,2.34,2.83
Leisure,41.55,18.60,110.41,0.75,18.08,31.53,19.94,98.3,41.06,42.03
Working at Job,20.02,26.82,76.71,0.03,0.52,3.10,4.48,39.5,19.47,20.58
Educational Activities,0.18,23.41,0.61,0.00,0.02,0.13,0.13,0.8,0.12,0.24
Commuting to Work or School,1.49,24.75,5.28,0.01,0.12,0.02,1.31,31.2,1.39,1.59
Work and Education,21.70,26.64,82.60,0.04,0.66,3.25,5.93,40.6,21.15,22.25
Total,168.00,19.79,475.04,1.75,34.29,60.21,46.23,,,
