time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.94,18.31,7.68,0.00,0.78,2.87,2.15,25.8,1.31,4.56
Food Cooking & Clean-up,2.89,18.40,7.59,0.00,1.66,2.89,1.21,45.2,1.02,4.76
"Pets, Home & Vehicles",2.18,20.06,6.24,0.03,0.65,1.74,1.52,24.8,1.24,3.12
Household Management,1.67,24.72,5.88,0.00,0.51,1.55,1.13,19.8,0.28,3.05
Shopping,2.51,18.13,6.51,0.00,1.85,0.10,0.59,46.7,1.60,3.43
Obtaining Services,0.16,21.87,0.49,0.00,0.10,0.00,0.05,3.6,,0.38
Travel for Household Activity,1.91,24.75,6.77,0.00,1.13,0.01,0.74,51.1,1.24,2.58
Household Production,14.25,20.22,41.17,0.03,6.70,9.17,7.40,81.7,10.76,17.75
Household Children,0.08,18.05,0.21,,0.06,0.07,0.00,1.8,,0.17
Household Adults,0.52,17.91,1.33,0.00,0.50,0.02,0.02,8.5,,1.24
Non-Household Members,0.35,18.09,0.89,0.00,0.31,0.00,0.00,5.3,,0.74
Travel for Household Members,0.31,24.75,1.11,0.00,0.15,0.00,0.15,7.0,,0.64
Travel for Non-Household Members,0.27,24.75,0.94,0.00,0.08,0.00,0.17,5.3,0.02,0.51
Caring and Helping,1.53,20.56,4.49,0.00,1.10,0.09,0.34,14.9,0.43,2.63
Eating & Drinking,7.40,18.25,19.30,0.02,4.51,4.57,2.12,92.7,6.40,8.40
Personal Health Care,0.26,17.95,0.66,0.00,0.05,0.06,0.14,4.2,0.04,0.48
Grooming,4.06,18.17,10.53,0.04,,,,81.3,3.48,4.63
Sleeping,60.99,18.58,161.87,,,,,100.0,58.69,63.28
"Private, Personal, or N/A",1.41,20.56,4.15,0.00,0.13,0.47,0.71,21.8,0.71,2.12
Personal Time,74.12,18.56,196.52,0.06,4.69,5.10,2.97,100.0,71.52,76.71
Socializing,5.34,20.35,15.53,0.02,4.41,2.42,0.11,38.8,3.57,7.11
Passive Leisure,25.04,17.40,62.24,0.03,14.23,23.00,10.13,90.8,21.34,28.74
Active Leisure,2.26,17.40,5.62,0.00,1.00,0.15,1.00,20.7,1.38,3.14
Attendance Leisure,0.87,17.40,2.16,0.00,0.87,0.01,0.00,5.7,0.37,1.37
Religious Activities,0.42,23.41,1.39,0.01,0.32,0.09,0.04,4.7,0.09,0.74
Volunteering,0.76,23.41,2.55,0.00,0.30,0.45,0.32,5.2,0.13,1.39
Travel Related to Leisure,2.52,24.75,8.90,0.00,1.52,0.00,0.90,49.0,1.60,3.43
Leisure,37.21,18.51,98.39,0.06,22.66,26.12,12.50,98.8,33.35,41.07
Working at Job,29.22,19.79,82.61,0.00,1.09,3.14,7.35,62.0,24.17,34.26
Educational Activities,8.17,23.41,27.31,0.00,1.46,4.67,4.30,21.0,5.23,11.11
Commuting to Work or School,3.51,24.75,12.40,0.00,0.27,0.03,2.99,54.8,2.40,4.61
Work and Education,40.89,20.94,122.31,0.00,2.82,7.85,14.64,73.3,35.35,46.43
Total,168.00,19.29,462.88,0.15,37.96,48.33,37.85,,,
