time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,7.30,18.31,19.09,0.01,1.85,7.12,5.25,50.5,6.44,8.15
Food Cooking & Clean-up,6.60,18.40,17.35,0.02,2.31,6.50,4.25,68.5,5.89,7.31
"Pets, Home & Vehicles",2.61,20.06,7.47,0.00,0.86,2.30,1.70,30.5,2.12,3.09
Household Management,1.33,24.72,4.71,0.00,0.42,1.13,0.89,22.0,0.99,1.68
Shopping,2.54,18.13,6.58,0.00,1.56,0.11,0.74,30.8,1.96,3.12
Obtaining Services,0.17,21.87,0.52,0.00,0.05,0.14,0.09,3.1,0.06,0.27
Travel for Household Activity,1.88,24.75,6.63,0.00,1.22,0.01,0.49,34.6,1.53,2.22
Household Production,22.42,19.47,62.36,0.03,8.27,17.31,13.41,86.4,20.35,24.50
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.52,17.91,1.32,0.00,0.43,0.31,0.07,9.7,0.28,0.75
Non-Household Members,2.01,18.09,5.21,0.00,1.69,0.92,0.16,14.8,1.40,2.63
Travel for Household Members,0.27,24.75,0.97,0.00,0.22,0.00,0.04,5.2,0.15,0.39
Travel for Non-Household Members,0.50,24.75,1.76,0.00,0.34,0.00,0.13,9.8,0.35,0.64
Caring and Helping,3.30,19.62,9.26,0.00,2.68,1.23,0.40,22.9,2.57,4.04
Eating & Drinking,7.08,18.25,18.47,0.00,5.30,5.93,1.61,96.5,6.46,7.70
Personal Health Care,4.84,17.95,12.42,0.00,1.41,3.61,2.96,36.0,3.91,5.78
Grooming,4.25,18.17,11.03,0.00,,,,68.1,3.69,4.80
Sleeping,67.86,18.58,180.12,,,,,99.6,64.95,70.78
"Private, Personal, or N/A",1.89,20.56,5.56,0.00,0.52,0.57,0.55,22.9,1.44,2.35
Personal Time,85.93,18.54,227.60,0.00,7.24,10.12,5.12,100.0,83.70,88.16
Socializing,6.55,20.35,19.03,0.00,5.13,4.24,0.85,46.4,5.79,7.31
Passive Leisure,43.47,17.40,108.05,0.03,23.59,41.97,19.04,96.2,41.17,45.77
Active Leisure,0.70,17.40,1.74,0.00,0.35,0.30,0.30,8.9,0.50,0.90
Attendance Leisure,0.40,17.40,0.99,0.00,0.27,0.12,0.05,2.5,0.19,0.61
Religious Activities,1.17,23.41,3.90,0.00,0.68,0.43,0.37,9.6,0.88,1.45
Volunteering,0.51,23.41,1.70,0.00,0.13,0.22,0.18,3.8,0.28,0.74
Travel Related to Leisure,1.98,24.75,6.99,0.00,1.42,0.04,0.37,33.1,1.49,2.47
Leisure,54.77,18.20,142.40,0.03,31.57,47.32,21.15,98.2,53.00,56.54
Working at Job,1.06,18.96,2.88,0.00,0.11,0.39,0.33,2.7,0.50,1.63
Educational Activities,0.40,23.41,1.35,0.00,0.04,0.38,0.37,1.1,,0.81
Commuting to Work or School,0.10,24.75,0.37,0.00,0.02,0.00,0.07,2.3,0.02,0.19
Work and Education,1.57,20.49,4.60,0.00,0.17,0.77,0.77,4.3,0.82,2.33
Total,168.00,18.59,446.21,0.06,49.93,76.76,40.86,,,
