time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.86,18.31,4.87,0.30,0.62,1.78,1.16,20.3,1.78,1.94
Food Cooking & Clean-up,2.36,18.40,6.20,0.44,1.00,2.27,1.23,42.8,2.24,2.48
"Pets, Home & Vehicles",4.48,20.06,12.85,0.43,1.06,4.01,3.21,31.0,4.34,4.63
Household Management,0.98,24.72,3.47,0.09,0.33,0.75,0.58,19.3,0.95,1.01
Shopping,1.96,18.13,5.08,0.25,0.94,0.08,0.79,35.4,1.87,2.05
Obtaining Services,0.15,21.87,0.45,0.01,0.03,0.07,0.06,2.6,0.13,0.16
Travel for Household Activity,1.89,24.75,6.70,0.18,0.76,0.02,0.96,39.3,1.84,1.95
Household Production,13.69,20.26,39.61,1.70,4.74,8.96,7.98,76.3,13.48,13.89
Household Children,1.76,18.05,4.55,,1.65,1.42,0.05,15.6,1.72,1.80
Household Adults,0.22,17.91,0.56,0.02,0.17,0.11,0.04,4.9,0.20,0.24
Non-Household Members,0.85,18.09,2.19,0.03,0.53,0.24,0.10,9.8,0.81,0.88
Travel for Household Members,0.39,24.75,1.37,0.01,0.26,0.01,0.12,9.3,0.36,0.42
Travel for Non-Household Members,0.38,24.75,1.35,0.01,0.14,0.00,0.15,8.2,0.34,0.43
Caring and Helping,3.60,19.48,10.02,0.08,2.76,1.78,0.45,27.7,3.47,3.73
Eating & Drinking,7.91,18.25,20.61,0.94,4.06,4.89,2.34,95.9,7.81,8.01
Personal Health Care,0.75,17.95,1.92,0.03,0.20,0.40,0.45,7.9,0.70,0.80
Grooming,3.88,18.17,10.08,0.29,,,,76.0,3.83,3.93
Sleeping,60.78,18.58,161.32,,,,,99.9,60.42,61.14
"Private, Personal, or N/A",2.02,20.56,5.94,0.18,0.43,0.79,0.86,22.3,1.97,2.08
Personal Time,75.34,18.57,199.87,1.43,4.68,6.08,3.64,100.0,75.10,75.59
Socializing,4.82,20.35,14.01,0.63,2.88,2.02,0.37,36.9,4.68,4.95
Passive Leisure,29.89,17.40,74.28,2.42,11.42,27.89,16.04,91.9,28.88,30.89
Active Leisure,2.91,17.40,7.24,0.21,0.70,0.54,1.15,22.0,2.85,2.98
Attendance Leisure,0.84,17.40,2.09,0.11,0.44,0.04,0.11,4.5,0.73,0.95
Religious Activities,0.78,23.41,2.60,0.11,0.43,0.18,0.20,6.8,0.72,0.84
Volunteering,0.82,23.41,2.75,0.08,0.23,0.17,0.22,5.1,0.76,0.89
Travel Related to Leisure,2.87,24.75,10.15,0.26,1.19,0.04,1.20,49.7,2.62,3.12
Leisure,42.93,18.45,113.12,3.82,17.28,30.88,19.30,97.6,42.45,43.41
Working at Job,27.07,29.46,113.93,0.34,0.63,2.98,5.75,48.6,26.54,27.60
Educational Activities,2.83,23.41,9.45,0.05,0.11,0.91,1.03,7.3,2.71,2.94
Commuting to Work or School,2.55,24.75,9.02,0.02,0.14,0.03,2.16,44.3,2.41,2.69
Work and Education,32.45,28.57,132.40,0.41,0.89,3.92,8.94,55.2,31.72,33.17
Total,168.00,20.63,495.03,7.45,30.35,51.62,40.31,,,
