time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,3.85,18.31,10.07,0.00,0.57,3.69,2.99,36.2,2.65,5.05
Food Cooking & Clean-up,3.17,18.40,8.33,0.00,0.97,3.10,1.98,50.8,2.32,4.02
"Pets, Home & Vehicles",1.62,20.06,4.66,0.00,0.41,1.28,0.98,20.4,0.76,2.49
Household Management,0.79,24.72,2.81,0.00,0.09,0.58,0.57,19.1,0.48,1.11
Shopping,3.47,18.13,8.98,0.00,1.43,0.09,0.69,36.0,1.95,4.98
Obtaining Services,0.06,21.87,0.18,0.00,0.00,0.02,0.03,2.4,0.01,0.11
Travel for Household Activity,1.92,24.75,6.79,0.00,0.68,0.01,0.77,38.1,1.44,2.40
Household Production,14.88,19.67,41.81,0.00,4.14,8.77,8.01,80.2,12.07,17.70
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.36,17.91,0.91,0.00,0.31,0.33,0.03,4.7,,0.71
Non-Household Members,0.83,18.09,2.14,0.02,0.56,0.12,0.04,11.5,0.45,1.21
Travel for Household Members,0.10,24.75,0.36,0.00,0.04,0.02,0.05,0.9,,0.24
Travel for Non-Household Members,0.44,24.75,1.54,0.00,0.20,0.00,0.15,9.6,0.23,0.64
Caring and Helping,1.72,20.13,4.95,0.02,1.10,0.47,0.27,15.3,1.01,2.43
Eating & Drinking,6.05,18.25,15.76,0.00,2.88,4.92,2.36,94.7,5.40,6.69
Personal Health Care,3.41,17.95,8.75,0.00,0.29,1.97,2.25,31.4,1.94,4.88
Grooming,4.42,18.17,11.47,0.00,,,,75.0,3.88,4.95
Sleeping,75.20,18.58,199.60,,,,,99.9,73.06,77.35
"Private, Personal, or N/A",2.68,20.56,7.87,0.00,0.15,1.13,1.76,27.6,1.65,3.71
Personal Time,91.76,18.57,243.45,0.00,3.31,8.02,6.37,100.0,88.58,94.93
Socializing,7.24,20.35,21.05,0.00,3.53,3.99,1.43,45.8,5.41,9.07
Passive Leisure,42.95,17.40,106.75,0.00,11.43,40.86,27.97,92.1,38.83,47.08
Active Leisure,0.99,17.40,2.47,0.00,0.20,0.42,0.62,13.6,0.57,1.41
Attendance Leisure,1.83,17.40,4.54,0.00,0.18,0.03,0.06,5.1,,4.06
Religious Activities,0.63,23.41,2.12,0.00,0.24,0.14,0.22,8.9,0.38,0.89
Volunteering,0.79,23.41,2.65,0.00,0.24,0.06,0.06,3.9,0.13,1.45
Travel Related to Leisure,2.04,24.75,7.21,0.00,0.55,0.05,1.09,34.4,1.32,2.76
Leisure,56.48,18.19,146.80,0.00,16.37,45.54,31.46,97.4,53.44,59.52
Working at Job,2.07,0.00,0.00,0.00,0.00,0.38,0.14,4.9,0.67,3.47
Educational Activities,0.66,23.41,2.20,0.00,0.00,0.40,0.39,2.7,0.18,1.13
Commuting to Work or School,0.43,24.75,1.53,0.00,0.07,0.00,0.26,7.8,0.13,0.73
Work and Education,3.16,8.26,3.73,0.00,0.07,0.78,0.80,10.0,1.51,4.81
Total,168.00,18.36,440.74,0.02,24.99,63.59,46.90,,,
