time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.30,18.31,3.41,0.00,0.61,1.26,0.68,15.2,1.12,1.49
Food Cooking & Clean-up,2.01,18.40,5.28,0.00,1.06,1.93,0.94,40.2,1.84,2.18
"Pets, Home & Vehicles",6.19,20.06,17.74,0.01,1.45,5.62,4.53,41.9,5.65,6.73
Household Management,1.09,24.72,3.84,0.00,0.46,0.83,0.58,22.3,0.98,1.19
Shopping,1.82,18.13,4.71,0.00,0.96,0.05,0.79,33.3,1.63,2.01
Obtaining Services,0.13,21.87,0.40,0.00,0.04,0.05,0.04,2.8,0.09,0.17
Travel for Household Activity,1.95,24.75,6.91,0.01,0.89,0.02,1.02,37.6,1.76,2.15
Household Production,14.50,20.43,42.30,0.03,5.48,9.77,8.59,77.3,13.92,15.08
Household Children,0.03,18.05,0.07,,0.02,0.02,0.00,0.3,,0.05
Household Adults,0.19,17.91,0.48,0.00,0.14,0.08,0.04,5.0,0.11,0.26
Non-Household Members,1.01,18.09,2.60,0.00,0.79,0.41,0.12,9.8,0.86,1.15
Travel for Household Members,0.10,24.75,0.37,0.00,0.07,0.00,0.03,2.5,0.07,0.14
Travel for Non-Household Members,0.34,24.75,1.19,0.00,0.19,0.00,0.12,6.9,0.28,0.39
Caring and Helping,1.67,19.83,4.72,0.00,1.21,0.52,0.31,14.3,1.45,1.88
Eating & Drinking,8.99,18.25,23.44,0.02,5.53,5.57,2.43,97.1,8.73,9.26
Personal Health Care,0.77,17.95,1.98,0.00,0.34,0.46,0.37,8.4,0.58,0.96
Grooming,4.15,18.17,10.78,0.00,,,,78.6,4.03,4.27
Sleeping,56.63,18.58,150.31,,,,,99.9,55.80,57.46
"Private, Personal, or N/A",1.52,20.56,4.47,0.00,0.39,0.57,0.65,20.3,1.37,1.68
Personal Time,72.06,18.55,190.97,0.02,6.26,6.59,3.44,100.0,71.41,72.72
Socializing,3.62,20.35,10.53,0.01,2.92,1.66,0.13,33.3,3.30,3.95
Passive Leisure,25.59,17.40,63.60,0.07,15.14,24.25,10.17,93.7,24.95,26.23
Active Leisure,2.12,17.40,5.28,0.00,0.64,0.44,0.98,19.1,1.91,2.34
Attendance Leisure,0.65,17.40,1.63,0.00,0.46,0.03,0.10,3.4,0.53,0.78
Religious Activities,0.84,23.41,2.80,0.00,0.53,0.19,0.19,7.7,0.70,0.97
Volunteering,0.86,23.41,2.87,0.00,0.23,0.23,0.25,6.4,0.72,1.00
Travel Related to Leisure,2.75,24.75,9.71,0.02,1.51,0.04,1.12,46.7,2.39,3.10
Leisure,36.44,18.53,96.43,0.10,21.43,26.83,12.95,97.6,35.53,37.34
Working at Job,39.95,37.88,216.19,0.01,1.35,6.11,11.27,70.9,38.99,40.92
Educational Activities,0.05,23.41,0.16,0.00,0.01,0.03,0.04,0.2,,0.10
Commuting to Work or School,3.34,24.75,11.80,0.00,0.18,0.04,3.00,55.5,3.11,3.56
Work and Education,43.34,36.85,228.15,0.01,1.54,6.18,14.31,71.5,42.32,44.35
Total,168.00,23.44,562.57,0.17,35.91,49.89,39.60,,,
