time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,5.44,18.31,14.23,0.00,0.46,5.29,4.69,44.1,4.88,6.00
Food Cooking & Clean-up,4.83,18.40,12.69,0.00,0.80,4.70,3.84,68.0,4.37,5.29
"Pets, Home & Vehicles",1.91,20.06,5.48,0.00,0.13,1.71,1.69,24.6,1.63,2.19
Household Management,1.42,24.72,5.02,0.00,0.15,1.21,1.12,23.2,1.12,1.72
Shopping,1.74,18.13,4.50,0.00,0.50,0.14,0.93,26.0,1.51,1.97
Obtaining Services,0.15,21.87,0.46,0.00,0.01,0.13,0.09,3.2,0.06,0.24
Travel for Household Activity,1.45,24.75,5.11,0.00,0.44,0.02,0.76,28.9,1.17,1.72
Household Production,16.93,19.63,47.50,0.00,2.49,13.19,13.12,84.9,15.98,17.89
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.26,17.91,0.67,0.00,0.20,0.20,0.03,4.1,0.15,0.37
Non-Household Members,1.60,18.09,4.12,0.00,1.12,0.70,0.17,12.8,1.10,2.09
Travel for Household Members,0.12,24.75,0.44,0.00,0.07,0.00,0.05,1.8,0.03,0.22
Travel for Non-Household Members,0.33,24.75,1.18,0.00,0.12,0.01,0.14,8.3,0.25,0.41
Caring and Helping,2.31,19.38,6.41,0.00,1.51,0.91,0.40,16.3,1.79,2.83
Eating & Drinking,6.47,18.25,16.87,0.00,1.58,5.68,3.96,95.5,6.17,6.78
Personal Health Care,4.42,17.95,11.34,0.00,0.46,3.21,3.18,42.4,3.70,5.14
Grooming,4.83,18.17,12.53,0.00,,,,72.4,4.54,5.11
Sleeping,68.71,18.58,182.36,,,,,99.5,67.46,69.96
"Private, Personal, or N/A",2.39,20.56,7.02,0.00,0.39,0.83,0.99,25.9,2.07,2.71
Personal Time,86.82,18.55,230.13,0.00,2.43,9.72,8.13,100.0,85.53,88.10
Socializing,5.75,20.35,16.72,0.00,3.11,3.61,1.06,42.0,5.25,6.26
Passive Leisure,51.28,17.40,127.46,0.00,5.92,49.81,41.66,96.2,49.66,52.91
Active Leisure,0.65,17.40,1.62,0.00,0.07,0.32,0.49,8.9,0.51,0.79
Attendance Leisure,0.26,17.40,0.64,0.00,0.04,0.04,0.09,1.4,0.13,0.38
Religious Activities,1.78,23.41,5.97,0.00,0.38,0.91,1.04,15.0,1.45,2.12
Volunteering,0.45,23.41,1.51,0.00,0.10,0.17,0.18,2.5,0.23,0.68
Travel Related to Leisure,1.38,24.75,4.88,0.00,0.54,0.03,0.48,26.1,1.12,1.64
Leisure,61.56,18.06,158.80,0.00,10.15,54.89,45.01,98.6,60.22,62.90
Working at Job,0.24,14.88,0.52,0.00,0.02,0.07,0.06,0.7,0.07,0.41
Educational Activities,0.06,23.41,0.21,0.00,0.00,0.06,0.06,0.3,,0.14
Commuting to Work or School,0.07,24.75,0.24,0.00,0.00,0.00,0.05,1.0,0.02,0.12
Work and Education,0.37,18.11,0.97,0.00,0.02,0.14,0.17,1.5,0.17,0.58
Total,168.00,18.49,443.79,0.00,16.61,78.84,66.83,,,
