time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.77,18.31,4.64,0.00,0.97,1.70,0.80,21.3,1.62,1.93
Food Cooking & Clean-up,2.82,18.40,7.42,0.00,1.61,2.76,1.20,44.3,2.65,3.00
"Pets, Home & Vehicles",8.95,20.06,25.66,0.00,2.00,8.28,6.80,48.6,8.55,9.36
Household Management,1.94,24.72,6.85,0.00,0.73,1.64,1.17,29.6,1.77,2.11
Shopping,2.67,18.13,6.91,0.00,1.64,0.12,0.94,38.9,2.53,2.81
Obtaining Services,0.34,21.87,1.05,0.00,0.11,0.19,0.12,5.0,0.26,0.41
Travel for Household Activity,2.36,24.75,8.35,0.00,1.30,0.02,0.99,44.1,2.21,2.51
Household Production,20.86,20.43,60.88,0.00,8.37,14.71,12.01,84.5,20.33,21.39
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.64,17.91,1.63,0.00,0.56,0.37,0.07,8.2,0.50,0.78
Non-Household Members,1.49,18.09,3.85,0.00,1.17,0.61,0.13,11.6,1.30,1.68
Travel for Household Members,0.16,24.75,0.55,0.00,0.13,0.00,0.03,3.7,0.13,0.19
Travel for Non-Household Members,0.41,24.75,1.46,0.00,0.25,0.00,0.14,8.4,0.36,0.46
Caring and Helping,2.70,19.46,7.49,0.00,2.11,0.98,0.36,18.9,2.45,2.94
Eating & Drinking,10.11,18.25,26.36,0.00,8.11,8.06,1.66,98.2,9.87,10.36
Personal Health Care,1.51,17.95,3.86,0.00,0.68,0.78,0.65,18.3,1.32,1.70
Grooming,3.38,18.17,8.77,0.00,,,,65.3,3.28,3.48
Sleeping,63.15,18.58,167.61,,,,,99.9,62.79,63.51
"Private, Personal, or N/A",2.44,20.56,7.15,0.00,0.73,0.82,0.74,26.6,2.24,2.63
Personal Time,80.59,18.57,213.77,0.00,9.53,9.66,3.05,100.0,80.03,81.15
Socializing,4.90,20.35,14.25,0.00,4.02,2.47,0.18,37.1,4.41,5.39
Passive Leisure,48.07,17.40,119.48,0.00,28.66,46.81,19.09,98.5,46.65,49.50
Active Leisure,3.10,17.40,7.72,0.00,0.93,0.69,1.31,25.0,2.88,3.33
Attendance Leisure,0.64,17.40,1.59,0.00,0.52,0.04,0.06,3.4,0.51,0.76
Religious Activities,1.28,23.41,4.28,0.00,0.87,0.37,0.29,11.1,1.17,1.39
Volunteering,1.59,23.41,5.31,0.00,0.44,0.61,0.66,8.5,1.31,1.86
Travel Related to Leisure,2.96,24.75,10.47,0.00,1.96,0.05,0.87,47.1,2.65,3.27
Leisure,62.55,18.25,163.10,0.00,37.39,51.04,22.46,99.6,61.84,63.26
Working at Job,1.18,23.79,4.00,0.00,0.07,0.36,0.40,3.3,0.95,1.40
Educational Activities,0.03,23.41,0.10,0.00,0.00,0.03,0.03,0.2,,0.06
Commuting to Work or School,0.11,24.75,0.38,0.00,0.01,0.00,0.09,2.4,0.08,0.13
Work and Education,1.31,23.86,4.48,0.00,0.08,0.39,0.52,4.1,1.09,1.54
Total,168.00,18.74,449.72,0.00,57.48,76.79,38.41,,,
