time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,7.99,18.31,20.90,0.00,1.21,7.80,6.72,52.9,6.37,9.60
Food Cooking & Clean-up,6.35,18.40,16.68,0.00,1.51,5.95,4.36,68.4,5.36,7.34
"Pets, Home & Vehicles",3.57,20.06,10.23,0.00,0.58,3.08,2.56,33.6,2.08,5.06
Household Management,1.93,24.72,6.82,0.00,0.48,1.59,1.33,24.7,0.87,2.99
Shopping,3.14,18.13,8.13,0.00,1.00,0.11,1.36,42.6,2.44,3.84
Obtaining Services,0.17,21.87,0.53,0.00,0.03,0.06,0.03,4.9,0.06,0.28
Travel for Household Activity,2.85,24.75,10.08,0.00,1.06,0.03,1.29,44.9,1.61,4.09
Household Production,26.00,19.76,73.38,0.00,5.86,18.60,17.64,90.5,23.49,28.51
Household Children,0.05,18.05,0.12,,0.00,0.05,0.05,0.2,,0.15
Household Adults,1.86,17.91,4.77,0.00,1.40,1.47,0.39,14.0,0.65,3.08
Non-Household Members,1.48,18.09,3.83,0.00,1.10,0.71,0.11,16.1,0.72,2.25
Travel for Household Members,0.38,24.75,1.35,0.00,0.28,0.01,0.10,4.8,,0.91
Travel for Non-Household Members,0.54,24.75,1.91,0.00,0.17,0.01,0.20,10.7,0.18,0.90
Caring and Helping,4.32,19.44,11.98,0.00,2.95,2.24,0.86,28.7,2.34,6.29
Eating & Drinking,6.15,18.25,16.04,0.00,2.52,4.54,2.60,90.6,5.29,7.01
Personal Health Care,1.13,17.95,2.90,0.00,0.06,0.48,0.87,9.3,0.30,1.96
Grooming,5.10,18.17,13.24,0.00,,,,79.6,4.35,5.85
Sleeping,63.03,18.58,167.29,,,,,100.0,60.29,65.77
"Private, Personal, or N/A",3.73,20.56,10.94,0.00,0.28,1.17,2.53,32.9,1.89,5.56
Personal Time,79.14,18.61,210.42,0.00,2.86,6.19,6.00,100.0,74.77,83.51
Socializing,6.91,20.35,20.08,0.00,3.53,3.46,1.46,46.1,5.12,8.69
Passive Leisure,32.81,17.40,81.54,0.00,6.29,30.08,23.75,91.0,26.32,39.30
Active Leisure,2.27,17.40,5.63,0.00,0.60,0.81,1.19,15.6,1.18,3.35
Attendance Leisure,0.89,17.40,2.22,0.00,0.54,0.07,0.09,4.0,0.19,1.59
Religious Activities,0.99,23.41,3.32,0.00,0.24,0.39,0.49,8.1,0.51,1.48
Volunteering,0.75,23.41,2.50,0.00,0.00,0.15,0.56,3.3,,1.76
Travel Related to Leisure,3.42,24.75,12.08,0.00,1.96,0.04,0.77,44.2,1.95,4.88
Leisure,48.03,18.56,127.37,0.00,13.16,35.00,28.31,98.3,42.64,53.42
Working at Job,8.59,16.89,20.72,0.00,0.19,1.54,1.87,19.9,5.72,11.45
Educational Activities,0.80,23.41,2.66,0.00,0.00,0.29,0.51,3.3,0.12,1.47
Commuting to Work or School,1.13,24.75,4.01,0.00,0.08,0.00,1.00,20.2,0.70,1.57
Work and Education,10.52,18.23,27.39,0.00,0.26,1.84,3.38,24.7,7.35,13.69
Total,168.00,18.77,450.53,0.00,25.10,63.86,56.18,,,
