time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,9.66,18.31,25.26,0.00,1.60,9.47,7.96,68.3,9.01,10.30
Food Cooking & Clean-up,7.91,18.40,20.80,0.00,2.69,7.64,5.18,81.0,7.44,8.39
"Pets, Home & Vehicles",4.44,20.06,12.72,0.00,1.19,3.80,3.18,41.8,3.99,4.89
Household Management,2.56,24.72,9.04,0.00,0.76,2.19,1.73,39.4,2.14,2.98
Shopping,3.97,18.13,10.29,0.00,1.62,0.16,2.09,48.5,3.59,4.35
Obtaining Services,0.26,21.87,0.82,0.00,0.10,0.14,0.10,6.3,0.19,0.34
Travel for Household Activity,2.60,24.75,9.18,0.00,1.21,0.02,1.32,52.2,2.36,2.83
Household Production,31.40,19.64,88.11,0.00,9.18,23.43,21.56,96.3,30.48,32.32
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.47,17.91,1.20,0.00,0.33,0.33,0.07,8.6,0.33,0.61
Non-Household Members,3.07,18.09,7.92,0.00,2.67,1.39,0.21,21.9,2.56,3.57
Travel for Household Members,0.16,24.75,0.56,0.00,0.11,0.00,0.04,3.7,0.10,0.22
Travel for Non-Household Members,0.74,24.75,2.62,0.00,0.39,0.01,0.28,15.3,0.60,0.88
Caring and Helping,4.43,19.42,12.30,0.00,3.50,1.73,0.60,28.4,3.80,5.07
Eating & Drinking,8.62,18.25,22.48,0.00,6.23,6.21,1.93,98.1,8.33,8.92
Personal Health Care,1.95,17.95,5.01,0.00,0.52,0.86,1.05,20.3,1.53,2.38
Grooming,5.26,18.17,13.65,0.00,,,,79.5,5.03,5.49
Sleeping,60.88,18.58,161.60,,,,,100.0,60.19,61.58
"Private, Personal, or N/A",2.76,20.56,8.11,0.00,0.71,0.93,1.03,33.0,2.45,3.08
Personal Time,79.48,18.57,210.86,0.00,7.46,8.00,4.00,100.0,78.59,80.38
Socializing,6.85,20.35,19.93,0.00,4.89,3.83,0.95,56.5,6.29,7.42
Passive Leisure,34.12,17.40,84.81,0.00,17.15,32.83,16.73,96.5,33.05,35.20
Active Leisure,2.05,17.40,5.09,0.00,0.67,0.62,0.97,22.6,1.72,2.37
Attendance Leisure,0.80,17.40,2.00,0.00,0.54,0.07,0.19,4.6,0.59,1.02
Religious Activities,1.77,23.41,5.90,0.00,0.87,0.57,0.59,15.5,1.50,2.03
Volunteering,2.12,23.41,7.09,0.00,0.51,0.85,0.88,12.2,1.70,2.54
Travel Related to Leisure,3.11,24.75,11.01,0.00,2.01,0.02,0.99,52.8,2.84,3.39
Leisure,50.83,18.71,135.83,0.00,26.62,38.78,21.32,99.4,49.62,52.04
Working at Job,1.65,19.78,4.67,0.00,0.23,0.57,0.25,5.0,1.09,2.22
Educational Activities,0.04,23.41,0.14,0.00,0.01,0.02,0.02,0.2,,0.09
Commuting to Work or School,0.16,24.75,0.56,0.00,0.04,0.00,0.12,3.5,0.08,0.24
Work and Education,1.85,20.29,5.37,0.00,0.28,0.59,0.38,5.9,1.25,2.46
Total,168.00,18.85,452.47,0.00,47.04,72.53,47.86,,,
