time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,3.36,18.31,8.79,0.08,0.17,3.22,3.04,34.2,3.11,3.61
Food Cooking & Clean-up,2.66,18.40,6.99,0.13,0.31,2.42,2.05,51.3,2.32,3.00
"Pets, Home & Vehicles",1.79,20.06,5.13,0.02,0.14,1.19,1.44,26.7,1.56,2.02
Household Management,0.93,24.72,3.27,0.01,0.08,0.70,0.73,21.4,0.77,1.09
Shopping,2.70,18.13,7.00,0.06,0.60,0.10,1.43,43.5,2.38,3.02
Obtaining Services,0.12,21.87,0.36,0.00,0.01,0.05,0.07,3.0,0.08,0.15
Travel for Household Activity,2.13,24.75,7.52,0.05,0.28,0.02,1.41,47.3,1.88,2.37
Household Production,13.68,19.99,39.07,0.36,1.58,7.70,10.16,84.4,13.07,14.29
Household Children,0.32,18.05,0.81,,0.29,0.25,0.02,2.4,0.21,0.42
Household Adults,0.00,17.91,0.01,0.00,0.00,0.00,0.00,0.0,,0.01
Non-Household Members,0.71,18.09,1.84,0.01,0.42,0.13,0.08,11.6,0.59,0.84
Travel for Household Members,0.08,24.75,0.27,0.00,0.05,0.00,0.02,1.2,0.03,0.12
Travel for Non-Household Members,0.43,24.75,1.53,0.00,0.10,0.00,0.23,9.8,0.36,0.51
Caring and Helping,1.54,20.29,4.46,0.02,0.87,0.38,0.35,13.8,1.33,1.75
Eating & Drinking,7.06,18.25,18.41,0.10,0.99,2.79,3.04,93.2,6.81,7.31
Personal Health Care,0.81,17.95,2.08,0.00,0.04,0.29,0.55,8.6,0.65,0.98
Grooming,6.28,18.17,16.30,0.07,,,,87.8,6.07,6.49
Sleeping,60.89,18.58,161.63,,,,,99.9,60.16,61.63
"Private, Personal, or N/A",1.80,20.56,5.28,0.03,0.14,0.63,1.07,26.7,1.58,2.02
Personal Time,76.85,18.56,203.70,0.20,1.17,3.71,4.66,100.0,76.20,77.49
Socializing,6.10,20.35,17.74,0.07,1.87,1.99,1.14,42.6,5.69,6.51
Passive Leisure,19.19,17.40,47.69,0.32,1.55,16.60,14.79,85.8,17.64,20.73
Active Leisure,2.17,17.40,5.39,0.02,0.19,0.31,1.17,22.8,1.95,2.38
Attendance Leisure,1.26,17.40,3.12,0.01,0.32,0.02,0.12,6.3,0.95,1.56
Religious Activities,0.55,23.41,1.84,0.01,0.10,0.10,0.26,5.3,0.46,0.65
Volunteering,0.62,23.41,2.06,0.01,0.07,0.12,0.17,4.1,0.47,0.76
Travel Related to Leisure,3.19,24.75,11.27,0.05,0.43,0.03,1.86,56.8,2.80,3.57
Leisure,33.07,18.86,89.11,0.50,4.53,19.17,19.53,96.7,32.00,34.13
Working at Job,38.31,30.05,164.47,0.05,0.28,5.51,8.21,68.9,36.15,40.47
Educational Activities,1.75,23.41,5.85,0.00,0.03,1.23,1.40,5.2,0.18,3.32
Commuting to Work or School,2.81,24.75,9.92,0.01,0.04,0.03,2.58,56.9,2.44,3.17
Work and Education,42.87,29.44,180.25,0.05,0.35,6.78,12.20,71.9,41.54,44.20
Total,168.00,21.52,516.59,1.13,8.49,37.74,46.89,,,
