time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.85,18.31,7.46,0.00,0.68,2.77,1.80,26.0,2.13,3.57
Food Cooking & Clean-up,2.27,18.40,5.96,0.00,0.77,2.01,1.05,42.5,1.81,2.73
"Pets, Home & Vehicles",1.29,20.06,3.71,0.00,0.47,0.81,0.51,18.2,0.90,1.69
Household Management,1.13,24.72,4.00,0.00,0.13,0.79,0.76,20.8,0.68,1.59
Shopping,3.14,18.13,8.12,0.00,1.25,0.08,0.75,45.5,2.63,3.64
Obtaining Services,0.19,21.87,0.60,0.00,0.08,0.06,0.03,2.9,0.03,0.36
Travel for Household Activity,2.30,24.75,8.14,0.00,0.78,0.01,0.87,47.4,1.88,2.72
Household Production,13.18,20.18,37.99,0.01,4.15,6.53,5.77,78.8,11.72,14.63
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.31,17.91,0.79,0.00,0.21,0.13,0.05,5.7,0.11,0.51
Non-Household Members,0.77,18.09,1.98,0.00,0.45,0.20,0.06,14.4,0.46,1.08
Travel for Household Members,0.14,24.75,0.51,0.00,0.11,0.00,0.01,3.1,0.07,0.22
Travel for Non-Household Members,0.44,24.75,1.54,0.00,0.07,0.00,0.15,11.9,0.31,0.56
Caring and Helping,1.65,20.39,4.82,0.00,0.84,0.33,0.28,19.4,1.22,2.09
Eating & Drinking,7.54,18.25,19.65,0.01,2.92,4.13,1.84,95.3,7.08,8.00
Personal Health Care,0.66,17.95,1.70,0.00,0.21,0.09,0.22,7.9,0.32,1.01
Grooming,6.16,18.17,15.99,0.00,,,,83.2,5.58,6.74
Sleeping,66.62,18.58,176.81,,,,,100.0,65.14,68.09
"Private, Personal, or N/A",3.24,20.56,9.51,0.00,0.30,1.39,1.65,28.8,2.25,4.22
Personal Time,84.21,18.59,223.66,0.01,3.42,5.60,3.70,100.0,82.46,85.96
Socializing,8.18,20.35,23.78,0.00,2.68,3.62,1.11,54.9,6.94,9.42
Passive Leisure,23.69,17.40,58.87,0.02,5.53,19.68,12.60,86.0,21.82,25.56
Active Leisure,2.48,17.40,6.17,0.00,0.43,0.36,0.82,22.7,1.97,3.00
Attendance Leisure,1.22,17.40,3.03,0.00,0.34,0.09,0.18,6.7,0.77,1.67
Religious Activities,0.67,23.41,2.24,0.00,0.29,0.14,0.18,6.2,0.47,0.87
Volunteering,0.71,23.41,2.39,0.00,0.09,0.02,0.10,4.3,0.34,1.09
Travel Related to Leisure,3.44,24.75,12.17,0.00,0.98,0.02,1.26,60.0,2.63,4.25
Leisure,40.39,18.83,108.65,0.02,10.35,23.94,16.26,95.5,38.35,42.44
Working at Job,8.41,15.42,18.52,0.00,0.16,0.59,0.50,20.2,6.71,10.11
Educational Activities,18.11,23.41,60.54,0.00,0.74,8.07,9.21,46.2,15.83,20.38
Commuting to Work or School,2.04,24.75,7.23,0.00,0.18,0.01,1.64,41.2,1.63,2.46
Work and Education,28.56,21.15,86.29,0.00,1.07,8.67,11.35,62.1,25.87,31.25
Total,168.00,19.23,461.42,0.04,19.85,45.07,37.36,,,
