time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.69,18.31,4.42,0.00,0.13,1.55,1.50,22.3,1.18,2.20
Food Cooking & Clean-up,2.07,18.40,5.44,0.02,0.35,1.94,1.49,40.5,1.56,2.59
"Pets, Home & Vehicles",2.82,20.06,8.09,0.00,0.32,1.72,2.17,19.2,1.70,3.94
Household Management,1.00,24.72,3.53,0.00,0.17,0.74,0.71,20.1,0.50,1.50
Shopping,1.77,18.13,4.58,0.01,0.29,0.13,1.19,38.4,1.28,2.25
Obtaining Services,0.09,21.87,0.28,0.00,0.01,0.01,0.07,2.2,,0.20
Travel for Household Activity,2.03,24.75,7.17,0.00,0.31,0.02,1.25,41.6,1.49,2.56
Household Production,11.47,20.45,33.51,0.04,1.57,6.11,8.39,75.2,9.63,13.31
Household Children,0.05,18.05,0.14,,0.05,0.05,0.00,0.4,,0.12
Household Adults,0.00,17.91,0.00,0.00,0.00,0.00,0.00,0.0,,
Non-Household Members,1.46,18.09,3.78,0.00,0.83,0.56,0.14,14.0,0.57,2.36
Travel for Household Members,0.00,24.75,0.00,0.00,0.00,0.00,0.00,0.0,,
Travel for Non-Household Members,0.46,24.75,1.63,0.00,0.08,0.00,0.21,12.1,0.27,0.65
Caring and Helping,1.98,19.64,5.55,0.00,0.96,0.61,0.35,14.5,1.02,2.93
Eating & Drinking,6.98,18.25,18.19,0.03,0.84,3.48,3.95,94.0,6.29,7.66
Personal Health Care,0.31,17.95,0.79,0.00,0.07,0.09,0.17,4.6,0.06,0.55
Grooming,3.89,18.17,10.10,0.03,,,,76.2,3.42,4.36
Sleeping,62.18,18.58,165.05,,,,,99.5,60.21,64.15
"Private, Personal, or N/A",3.17,20.56,9.31,0.00,0.13,1.26,1.58,28.2,1.27,5.07
Personal Time,76.53,18.61,203.44,0.06,1.04,4.83,5.71,100.0,74.06,79.00
Socializing,6.11,20.35,17.75,0.02,1.52,2.14,0.76,37.3,4.68,7.53
Passive Leisure,28.22,17.40,70.14,0.21,0.96,22.92,22.98,87.4,24.68,31.76
Active Leisure,3.69,17.40,9.16,0.00,0.33,0.50,2.15,27.1,2.62,4.75
Attendance Leisure,0.61,17.40,1.52,0.00,0.05,0.01,0.05,3.9,0.28,0.95
Religious Activities,0.67,23.41,2.25,0.00,0.12,0.10,0.26,4.9,0.29,1.05
Volunteering,0.76,23.41,2.55,0.00,0.15,0.10,0.21,4.6,0.24,1.28
Travel Related to Leisure,3.24,24.75,11.46,0.01,0.39,0.11,2.07,60.0,2.40,4.08
Leisure,43.30,18.56,114.84,0.24,3.54,25.88,28.48,97.2,38.58,48.03
Working at Job,24.36,16.09,55.98,0.00,0.28,2.79,5.34,55.1,21.08,27.64
Educational Activities,7.46,23.41,24.94,0.00,0.05,3.92,6.27,20.8,5.37,9.55
Commuting to Work or School,2.90,24.75,10.26,0.00,0.02,0.11,2.74,52.4,2.40,3.40
Work and Education,34.72,18.38,91.18,0.00,0.35,6.83,14.35,67.4,30.54,38.90
Total,168.00,18.69,448.52,0.34,7.46,44.26,57.28,,,
