time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,7.46,18.31,19.51,0.03,1.09,7.33,6.23,59.2,7.15,7.76
Food Cooking & Clean-up,6.73,18.40,17.68,0.05,1.54,6.62,5.07,75.5,6.42,7.04
"Pets, Home & Vehicles",2.97,20.06,8.51,0.00,0.50,2.74,2.37,30.5,2.80,3.14
Household Management,2.27,24.72,8.01,0.00,0.33,2.06,1.83,33.1,2.14,2.40
Shopping,2.48,18.13,6.43,0.01,0.89,0.10,1.32,33.4,2.33,2.64
Obtaining Services,0.18,21.87,0.57,0.00,0.05,0.13,0.08,3.9,0.15,0.22
Travel for Household Activity,1.64,24.75,5.79,0.00,0.65,0.03,0.85,36.6,1.55,1.73
Household Production,23.73,19.62,66.51,0.10,5.05,19.02,17.73,91.2,23.26,24.19
Household Children,0.09,18.05,0.23,,0.08,0.08,0.01,0.9,0.06,0.12
Household Adults,0.47,17.91,1.21,0.00,0.39,0.33,0.04,5.5,0.38,0.56
Non-Household Members,0.89,18.09,2.30,0.00,0.62,0.40,0.14,9.8,0.77,1.01
Travel for Household Members,0.10,24.75,0.35,0.00,0.07,0.00,0.02,2.3,0.08,0.12
Travel for Non-Household Members,0.29,24.75,1.02,0.00,0.13,0.00,0.10,7.0,0.24,0.34
Caring and Helping,1.84,19.45,5.11,0.00,1.29,0.81,0.30,15.5,1.65,2.03
Eating & Drinking,9.01,18.25,23.48,0.04,3.97,7.32,3.94,98.3,8.87,9.15
Personal Health Care,2.46,17.95,6.30,0.01,0.58,1.40,1.40,27.8,2.18,2.74
Grooming,5.18,18.17,13.45,0.01,,,,78.1,5.07,5.29
Sleeping,64.20,18.58,170.41,,,,,99.9,63.86,64.54
"Private, Personal, or N/A",2.76,20.56,8.09,0.00,0.42,0.88,0.93,32.6,2.61,2.91
Personal Time,83.61,18.57,221.74,0.05,4.97,9.60,6.27,100.0,83.19,84.02
Socializing,5.81,20.35,16.88,0.01,3.23,3.61,1.17,48.3,5.56,6.06
Passive Leisure,44.43,17.40,110.43,0.13,11.59,43.20,31.09,97.4,43.62,45.24
Active Leisure,1.18,17.40,2.93,0.00,0.28,0.37,0.60,16.4,1.05,1.31
Attendance Leisure,0.54,17.40,1.35,0.00,0.27,0.04,0.08,3.2,0.47,0.62
Religious Activities,2.02,23.41,6.76,0.01,0.57,0.85,0.98,19.7,1.90,2.14
Volunteering,1.33,23.41,4.45,0.01,0.18,0.55,0.61,8.1,1.19,1.47
Travel Related to Leisure,2.13,24.75,7.53,0.00,1.02,0.04,0.75,40.1,1.94,2.32
Leisure,57.44,18.32,150.34,0.16,17.15,48.64,35.28,99.1,56.90,57.99
Working at Job,1.24,18.33,3.26,0.00,0.06,0.31,0.37,3.4,1.05,1.43
Educational Activities,0.03,23.41,0.10,0.00,0.00,0.01,0.01,0.1,,0.07
Commuting to Work or School,0.11,24.75,0.38,0.00,0.01,0.00,0.09,2.9,0.08,0.13
Work and Education,1.38,18.94,3.74,0.00,0.07,0.32,0.47,4.1,1.18,1.58
Total,168.00,18.64,447.44,0.32,28.53,78.40,60.06,,,
