time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,6.88,18.31,17.99,0.00,1.47,6.65,5.33,55.7,6.16,7.59
Food Cooking & Clean-up,5.77,18.40,15.16,0.00,2.12,5.60,3.55,72.6,5.33,6.21
"Pets, Home & Vehicles",3.75,20.06,10.75,0.00,1.25,3.21,2.46,38.7,3.34,4.17
Household Management,1.91,24.72,6.76,0.00,0.73,1.57,1.16,32.1,1.58,2.25
Shopping,3.43,18.13,8.88,0.00,1.55,0.10,1.70,46.8,3.12,3.73
Obtaining Services,0.31,21.87,0.98,0.00,0.13,0.17,0.10,5.1,0.21,0.42
Travel for Household Activity,2.34,24.75,8.27,0.00,1.08,0.01,1.20,51.1,2.15,2.54
Household Production,24.39,19.74,68.78,0.00,8.34,17.32,15.50,92.9,22.91,25.86
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.42,17.91,1.08,0.00,0.32,0.26,0.05,8.7,0.20,0.64
Non-Household Members,2.16,18.09,5.57,0.00,1.74,0.85,0.13,18.1,1.81,2.50
Travel for Household Members,0.27,24.75,0.96,0.00,0.17,0.01,0.09,4.9,0.18,0.36
Travel for Non-Household Members,0.63,24.75,2.22,0.00,0.33,0.01,0.24,13.6,0.52,0.74
Caring and Helping,3.47,19.79,9.82,0.00,2.56,1.12,0.51,24.9,2.98,3.97
Eating & Drinking,8.02,18.25,20.91,0.00,5.50,5.11,1.72,97.0,7.73,8.31
Personal Health Care,1.34,17.95,3.45,0.00,0.34,0.73,0.76,13.4,0.94,1.75
Grooming,5.61,18.17,14.57,0.00,,,,84.0,5.32,5.90
Sleeping,60.54,18.58,160.68,,,,,100.0,59.88,61.20
"Private, Personal, or N/A",1.94,20.56,5.70,0.00,0.48,0.67,0.74,28.3,1.71,2.17
Personal Time,77.46,18.55,205.31,0.00,6.32,6.51,3.22,100.0,76.42,78.49
Socializing,5.88,20.35,17.10,0.00,4.40,2.88,0.61,49.3,5.32,6.45
Passive Leisure,24.04,17.40,59.75,0.00,13.85,22.82,9.82,91.4,23.07,25.00
Active Leisure,2.02,17.40,5.02,0.00,0.85,0.58,0.85,20.5,1.72,2.32
Attendance Leisure,0.90,17.40,2.24,0.00,0.68,0.05,0.06,5.4,0.72,1.08
Religious Activities,1.04,23.41,3.46,0.00,0.62,0.24,0.27,10.9,0.89,1.18
Volunteering,1.32,23.41,4.43,0.00,0.35,0.56,0.54,9.1,1.05,1.60
Travel Related to Leisure,2.89,24.75,10.21,0.00,1.87,0.04,0.88,50.2,2.62,3.16
Leisure,38.09,18.78,102.21,0.00,22.62,27.16,13.03,98.2,36.61,39.57
Working at Job,21.45,19.17,58.73,0.00,1.00,3.50,3.64,53.2,19.91,22.99
Educational Activities,1.30,23.41,4.35,0.00,0.12,0.64,0.72,4.3,0.84,1.76
Commuting to Work or School,1.84,24.75,6.52,0.00,0.12,0.02,1.66,42.7,1.62,2.07
Work and Education,24.59,19.81,69.60,0.00,1.25,4.16,6.02,56.3,23.04,26.15
Total,168.00,18.99,455.72,0.00,41.10,56.27,38.28,,,
