time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.44,18.31,6.38,0.01,0.08,2.32,2.28,27.2,2.11,2.76
Food Cooking & Clean-up,2.57,18.40,6.75,0.03,0.23,2.47,2.15,49.0,2.27,2.86
"Pets, Home & Vehicles",3.93,20.06,11.27,0.01,0.18,3.10,3.39,27.8,3.26,4.61
Household Management,1.25,24.72,4.40,0.00,0.13,0.94,1.00,23.2,0.96,1.53
Shopping,1.84,18.13,4.78,0.01,0.18,0.09,1.38,40.3,1.60,2.09
Obtaining Services,0.22,21.87,0.70,0.00,0.02,0.09,0.15,3.4,0.12,0.32
Travel for Household Activity,2.23,24.75,7.88,0.00,0.20,0.02,1.70,45.2,1.92,2.53
Household Production,14.48,20.38,42.15,0.07,1.02,9.03,12.06,80.9,13.33,15.63
Household Children,0.05,18.05,0.12,,0.05,0.04,0.00,0.3,,0.09
Household Adults,0.00,17.91,0.00,0.00,0.00,0.00,0.00,0.0,,
Non-Household Members,1.19,18.09,3.07,0.00,0.59,0.27,0.22,13.5,0.76,1.61
Travel for Household Members,0.00,24.75,0.00,0.00,0.00,0.00,0.00,0.1,,
Travel for Non-Household Members,0.58,24.75,2.04,0.00,0.14,0.01,0.28,11.8,0.38,0.77
Caring and Helping,1.81,20.21,5.23,0.00,0.78,0.32,0.50,13.9,1.33,2.30
Eating & Drinking,7.39,18.25,19.27,0.02,0.70,4.21,4.65,95.5,6.89,7.90
Personal Health Care,0.78,17.95,2.01,0.00,0.04,0.37,0.63,9.2,0.55,1.02
Grooming,3.83,18.17,9.95,0.01,,,,73.6,3.61,4.05
Sleeping,62.27,18.58,165.27,,,,,99.8,60.95,63.58
"Private, Personal, or N/A",2.64,20.56,7.75,0.00,0.09,0.95,1.48,26.4,1.87,3.41
Personal Time,76.91,18.59,204.25,0.03,0.84,5.54,6.77,100.0,75.54,78.29
Socializing,5.29,20.35,15.39,0.01,1.41,1.71,0.68,37.4,4.57,6.02
Passive Leisure,33.02,17.40,82.06,0.14,0.95,29.48,29.15,91.9,31.32,34.71
Active Leisure,3.11,17.40,7.73,0.01,0.23,0.78,1.98,22.2,2.47,3.76
Attendance Leisure,0.83,17.40,2.07,0.00,0.09,0.07,0.28,4.1,0.59,1.08
Religious Activities,0.72,23.41,2.42,0.00,0.06,0.20,0.39,6.8,0.49,0.96
Volunteering,0.90,23.41,3.00,0.00,0.08,0.15,0.26,5.4,0.58,1.21
Travel Related to Leisure,3.05,24.75,10.77,0.00,0.34,0.06,2.07,56.4,2.59,3.50
Leisure,46.92,18.42,123.45,0.16,3.17,32.44,34.83,98.1,45.01,48.84
Working at Job,22.43,16.32,52.29,0.01,0.16,3.41,6.28,54.5,20.74,24.11
Educational Activities,3.14,23.41,10.50,0.00,0.02,1.68,2.65,8.9,2.18,4.09
Commuting to Work or School,2.31,24.75,8.15,0.00,0.02,0.07,2.14,46.3,2.06,2.55
Work and Education,27.87,17.82,70.94,0.01,0.19,5.16,11.06,60.6,25.75,29.99
Total,168.00,18.58,446.02,0.28,6.00,52.48,65.22,,,
