time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,9.78,18.31,25.59,0.00,2.48,9.18,6.71,57.2,8.10,11.47
Food Cooking & Clean-up,7.22,18.40,18.97,0.07,2.38,7.00,4.75,77.2,6.39,8.04
"Pets, Home & Vehicles",3.88,20.06,11.11,0.00,1.59,3.28,2.25,37.6,2.42,5.34
Household Management,2.09,24.72,7.38,0.00,0.85,1.76,1.09,26.8,1.22,2.96
Shopping,4.01,18.13,10.38,0.06,1.99,0.18,1.86,49.5,3.04,4.97
Obtaining Services,0.19,21.87,0.58,0.00,0.08,0.02,0.09,3.4,0.02,0.35
Travel for Household Activity,2.96,24.75,10.47,0.06,1.48,0.03,1.42,52.0,2.29,3.64
Household Production,30.12,19.63,84.48,0.18,10.85,21.45,18.16,94.9,27.83,32.42
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.26,17.91,0.68,0.00,0.17,0.20,0.05,7.8,0.09,0.44
Non-Household Members,2.51,18.09,6.48,0.00,2.09,1.06,0.27,16.9,1.12,3.90
Travel for Household Members,0.09,24.75,0.34,0.00,0.06,0.00,0.03,3.0,0.03,0.16
Travel for Non-Household Members,0.63,24.75,2.21,0.00,0.30,0.02,0.25,13.2,0.30,0.95
Caring and Helping,3.49,19.45,9.71,0.00,2.62,1.28,0.60,21.6,1.78,5.20
Eating & Drinking,7.42,18.25,19.34,0.02,5.16,5.09,1.81,94.2,6.67,8.17
Personal Health Care,0.97,17.95,2.49,0.00,0.20,0.49,0.67,10.0,0.38,1.56
Grooming,5.09,18.17,13.22,0.00,,,,78.5,4.56,5.63
Sleeping,63.74,18.58,169.18,,,,,100.0,62.27,65.21
"Private, Personal, or N/A",4.18,20.56,12.29,0.00,1.05,2.54,1.99,33.6,3.02,5.35
Personal Time,81.41,18.62,216.52,0.02,6.41,8.12,4.46,100.0,79.74,83.07
Socializing,6.43,20.35,18.69,0.00,4.76,3.67,0.72,46.3,5.49,7.37
Passive Leisure,26.55,17.40,65.98,0.14,14.55,25.50,11.52,92.2,24.41,28.68
Active Leisure,2.12,17.40,5.27,0.00,0.94,0.65,0.98,20.5,1.46,2.78
Attendance Leisure,1.54,17.40,3.82,0.00,0.91,0.26,0.32,6.4,0.71,2.37
Religious Activities,0.77,23.41,2.58,0.00,0.31,0.30,0.33,9.1,0.50,1.05
Volunteering,0.99,23.41,3.30,0.00,0.20,0.49,0.43,5.7,0.40,1.57
Travel Related to Leisure,2.47,24.75,8.73,0.00,1.63,0.02,0.65,44.8,1.73,3.21
Leisure,40.86,18.57,108.37,0.14,23.29,30.88,14.94,98.0,37.74,43.98
Working at Job,9.52,18.18,24.72,0.00,0.39,0.63,1.76,21.1,6.23,12.81
Educational Activities,1.43,23.41,4.78,0.00,0.20,0.97,0.99,4.0,0.55,2.31
Commuting to Work or School,1.17,24.75,4.14,0.00,0.07,0.01,1.04,21.2,0.58,1.76
Work and Education,12.12,19.43,33.64,0.00,0.67,1.62,3.79,26.8,8.62,15.62
Total,168.00,18.86,452.72,0.35,43.84,63.35,41.95,,,
