time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,7.72,18.31,20.18,0.02,1.77,7.54,5.61,52.4,6.46,8.97
Food Cooking & Clean-up,7.41,18.40,19.49,0.04,2.37,7.32,4.99,72.2,6.71,8.12
"Pets, Home & Vehicles",2.87,20.06,8.22,0.00,0.88,2.52,1.93,28.8,2.15,3.58
Household Management,1.26,24.72,4.44,0.00,0.38,1.12,0.86,23.0,0.97,1.55
Shopping,2.21,18.13,5.72,0.00,1.12,0.18,0.74,27.6,1.74,2.67
Obtaining Services,0.07,21.87,0.23,0.00,0.02,0.06,0.03,2.1,0.01,0.13
Travel for Household Activity,1.56,24.75,5.52,0.00,0.93,0.02,0.48,30.8,1.28,1.84
Household Production,23.10,19.33,63.80,0.06,7.46,18.77,14.66,87.1,21.17,25.03
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.55,17.91,1.42,0.00,0.48,0.45,0.06,9.2,0.21,0.90
Non-Household Members,1.70,18.09,4.39,0.00,1.34,0.48,0.21,14.7,1.13,2.27
Travel for Household Members,0.17,24.75,0.61,0.00,0.13,0.00,0.03,3.5,0.06,0.28
Travel for Non-Household Members,0.46,24.75,1.61,0.00,0.31,0.00,0.10,10.7,0.29,0.62
Caring and Helping,2.88,19.51,8.03,0.00,2.26,0.94,0.40,23.4,2.14,3.62
Eating & Drinking,7.37,18.25,19.21,0.01,5.46,6.27,1.71,96.4,6.78,7.96
Personal Health Care,5.00,17.95,12.83,0.00,1.57,3.81,3.04,37.4,3.71,6.29
Grooming,4.25,18.17,11.03,0.00,,,,69.2,3.67,4.83
Sleeping,67.65,18.58,179.57,,,,,99.5,64.85,70.46
"Private, Personal, or N/A",1.94,20.56,5.71,0.00,0.54,0.60,0.51,24.3,1.40,2.49
Personal Time,86.22,18.54,228.34,0.01,7.57,10.67,5.26,100.0,83.86,88.57
Socializing,6.09,20.35,17.69,0.00,4.61,4.04,0.95,44.1,5.30,6.87
Passive Leisure,44.22,17.40,109.91,0.05,22.48,42.80,20.94,97.0,42.03,46.41
Active Leisure,0.85,17.40,2.11,0.00,0.40,0.43,0.39,9.9,0.57,1.12
Attendance Leisure,0.32,17.40,0.80,0.00,0.20,0.05,0.07,1.8,0.09,0.55
Religious Activities,1.37,23.41,4.59,0.00,0.63,0.65,0.59,12.3,1.07,1.68
Volunteering,0.58,23.41,1.93,0.00,0.18,0.26,0.18,4.2,0.27,0.88
Travel Related to Leisure,1.56,24.75,5.51,0.00,1.07,0.04,0.35,29.7,1.22,1.90
Leisure,54.99,18.15,142.55,0.05,29.57,48.25,23.46,98.5,52.52,57.45
Working at Job,0.51,0.00,0.00,0.00,0.06,0.10,0.14,1.6,0.15,0.87
Educational Activities,0.23,23.41,0.77,0.00,0.07,0.19,0.17,0.4,,0.58
Commuting to Work or School,0.08,24.75,0.27,0.00,0.03,0.00,0.03,2.1,0.02,0.13
Work and Education,0.82,8.94,1.04,0.00,0.15,0.29,0.33,2.6,0.28,1.35
Total,168.00,18.49,443.75,0.12,47.01,78.92,44.11,,,
