time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,5.92,18.31,15.50,3.66,2.48,5.81,3.38,51.8,5.55,6.29
Food Cooking & Clean-up,5.99,18.40,15.75,4.32,3.21,5.84,2.71,76.4,5.74,6.25
"Pets, Home & Vehicles",1.58,20.06,4.52,1.00,0.85,1.35,0.69,23.5,1.44,1.71
Household Management,1.07,24.72,3.78,0.61,0.60,0.86,0.45,25.4,0.96,1.18
Shopping,3.16,18.13,8.19,1.56,2.02,0.10,1.02,48.0,2.95,3.37
Obtaining Services,0.10,21.87,0.33,0.02,0.06,0.03,0.03,2.3,0.05,0.16
Travel for Household Activity,2.17,24.75,7.66,0.98,1.32,0.03,0.79,50.3,2.05,2.29
Household Production,20.00,19.51,55.72,12.15,10.54,14.02,9.07,93.3,19.46,20.53
Household Children,6.88,18.05,17.73,,6.41,4.85,0.31,71.4,6.60,7.15
Household Adults,0.16,17.91,0.42,0.10,0.15,0.11,0.01,6.4,0.11,0.22
Non-Household Members,0.47,18.09,1.21,0.19,0.37,0.10,0.03,9.2,0.37,0.57
Travel for Household Members,1.78,24.75,6.28,0.05,1.22,0.03,0.53,43.8,1.56,1.99
Travel for Non-Household Members,0.29,24.75,1.04,0.13,0.20,0.00,0.06,7.9,0.25,0.34
Caring and Helping,9.58,19.50,26.68,0.46,8.34,5.11,0.95,74.9,9.17,9.99
Eating & Drinking,7.12,18.25,18.56,4.16,5.02,4.13,1.09,96.1,6.93,7.31
Personal Health Care,0.70,17.95,1.79,0.23,0.26,0.28,0.34,6.8,0.56,0.84
Grooming,5.46,18.17,14.16,2.13,,,,86.9,5.26,5.65
Sleeping,58.28,18.58,154.69,,,,,99.9,57.75,58.82
"Private, Personal, or N/A",1.68,20.56,4.93,0.79,0.73,0.68,0.46,24.4,1.54,1.82
Personal Time,73.23,18.56,194.13,7.31,6.00,5.09,1.89,100.0,72.65,73.81
Socializing,4.52,20.35,13.15,2.87,3.77,1.96,0.22,41.2,4.22,4.83
Passive Leisure,15.69,17.40,39.00,9.00,11.21,14.70,4.25,85.1,14.96,16.43
Active Leisure,1.52,17.40,3.79,0.74,0.80,0.39,0.49,16.7,1.24,1.80
Attendance Leisure,0.99,17.40,2.47,0.69,0.84,0.05,0.06,5.5,0.84,1.15
Religious Activities,0.78,23.41,2.62,0.53,0.62,0.14,0.11,7.8,0.67,0.90
Volunteering,0.91,23.41,3.03,0.47,0.48,0.20,0.18,7.8,0.78,1.03
Travel Related to Leisure,2.41,24.75,8.52,1.27,1.76,0.02,0.54,47.4,2.21,2.61
Leisure,26.83,18.94,72.58,15.57,19.48,17.46,5.84,95.9,26.18,27.48
Working at Job,35.24,29.05,146.26,2.97,1.34,5.38,6.49,67.2,34.29,36.20
Educational Activities,0.52,23.41,1.75,0.20,0.13,0.34,0.29,2.5,0.38,0.67
Commuting to Work or School,2.60,24.75,9.18,0.16,0.25,0.02,2.25,54.5,2.45,2.74
Work and Education,38.36,28.68,157.19,3.33,1.71,5.74,9.02,68.6,37.32,39.40
Total,168.00,21.10,506.30,38.82,46.07,47.41,26.77,,,
