time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.05,18.31,5.37,0.02,0.60,2.00,1.42,22.6,1.93,2.18
Food Cooking & Clean-up,2.91,18.40,7.66,0.04,1.11,2.85,1.74,48.5,2.73,3.10
"Pets, Home & Vehicles",7.94,20.06,22.76,0.06,1.39,7.22,6.34,45.6,7.59,8.30
Household Management,1.58,24.72,5.57,0.01,0.48,1.30,1.04,26.2,1.45,1.70
Shopping,2.41,18.13,6.24,0.02,1.12,0.09,1.13,38.6,2.30,2.52
Obtaining Services,0.26,21.87,0.81,0.00,0.06,0.15,0.09,4.3,0.21,0.31
Travel for Household Activity,2.20,24.75,7.79,0.01,0.87,0.03,1.25,43.9,2.09,2.31
Household Production,19.36,20.32,56.19,0.16,5.64,13.64,13.00,83.6,18.85,19.87
Household Children,0.13,18.05,0.33,,0.11,0.09,0.01,1.5,0.10,0.15
Household Adults,0.37,17.91,0.95,0.00,0.27,0.20,0.07,5.9,0.29,0.46
Non-Household Members,1.48,18.09,3.83,0.01,1.08,0.55,0.18,11.9,1.31,1.65
Travel for Household Members,0.18,24.75,0.63,0.00,0.12,0.00,0.05,4.1,0.15,0.21
Travel for Non-Household Members,0.43,24.75,1.54,0.00,0.22,0.00,0.16,9.0,0.38,0.49
Caring and Helping,2.59,19.64,7.28,0.01,1.81,0.84,0.47,18.3,2.36,2.82
Eating & Drinking,9.17,18.25,23.90,0.07,5.47,6.77,2.85,97.2,8.96,9.38
Personal Health Care,1.38,17.95,3.53,0.00,0.37,0.78,0.85,15.2,1.16,1.59
Grooming,3.36,18.17,8.73,0.02,,,,66.2,3.27,3.46
Sleeping,61.42,18.58,163.03,,,,,99.8,61.14,61.71
"Private, Personal, or N/A",2.17,20.56,6.37,0.01,0.46,0.74,0.85,24.0,1.99,2.35
Personal Time,77.50,18.57,205.56,0.11,6.29,8.29,4.55,100.0,76.98,78.02
Socializing,4.71,20.35,13.68,0.04,3.15,2.13,0.31,36.6,4.26,5.15
Passive Leisure,43.57,17.40,108.30,0.36,17.78,42.20,24.78,96.8,42.56,44.59
Active Leisure,2.85,17.40,7.09,0.02,0.65,0.60,1.44,22.7,2.67,3.04
Attendance Leisure,0.69,17.40,1.71,0.01,0.40,0.05,0.17,3.7,0.52,0.85
Religious Activities,1.10,23.41,3.68,0.01,0.59,0.34,0.36,9.7,1.02,1.18
Volunteering,1.42,23.41,4.73,0.01,0.28,0.47,0.58,7.9,1.25,1.58
Travel Related to Leisure,3.01,24.75,10.65,0.01,1.46,0.06,1.35,47.7,2.74,3.29
Leisure,57.35,18.29,149.84,0.46,24.29,45.85,28.99,99.0,56.73,57.97
Working at Job,10.32,27.36,40.32,0.01,0.47,2.24,3.61,21.4,9.75,10.88
Educational Activities,0.05,23.41,0.18,0.00,0.00,0.04,0.05,0.2,0.02,0.09
Commuting to Work or School,0.83,24.75,2.94,0.00,0.04,0.01,0.75,15.4,0.75,0.91
Work and Education,11.20,27.15,43.43,0.01,0.51,2.30,4.40,22.1,10.61,11.79
Total,168.00,19.26,462.31,0.74,38.55,70.92,51.42,,,
