time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.03,18.31,5.31,0.01,0.78,1.98,1.24,20.5,1.63,2.43
Food Cooking & Clean-up,2.56,18.40,6.72,0.02,1.34,2.48,1.17,44.0,2.02,3.09
"Pets, Home & Vehicles",6.70,20.06,19.19,0.01,1.50,6.08,5.13,42.3,5.95,7.44
Household Management,1.63,24.72,5.75,0.00,0.55,1.44,1.05,26.2,1.30,1.95
Shopping,2.31,18.13,5.99,0.00,1.20,0.12,1.00,39.7,2.04,2.59
Obtaining Services,0.22,21.87,0.69,0.00,0.07,0.11,0.06,4.2,0.14,0.31
Travel for Household Activity,2.21,24.75,7.80,0.00,1.06,0.02,1.09,45.4,1.91,2.51
Household Production,17.65,20.40,51.45,0.04,6.50,12.22,10.73,83.7,16.42,18.88
Household Children,0.08,18.05,0.22,,0.08,0.08,0.00,0.6,,0.22
Household Adults,0.39,17.91,1.00,0.00,0.27,0.14,0.12,7.3,0.21,0.58
Non-Household Members,1.39,18.09,3.59,0.00,1.03,0.46,0.17,11.8,1.05,1.72
Travel for Household Members,0.24,24.75,0.86,0.00,0.16,0.00,0.07,5.2,0.16,0.33
Travel for Non-Household Members,0.44,24.75,1.54,0.00,0.21,0.01,0.18,9.8,0.30,0.57
Caring and Helping,2.54,19.84,7.20,0.00,1.75,0.70,0.55,19.2,2.07,3.02
Eating & Drinking,9.40,18.25,24.50,0.01,6.60,6.53,2.12,97.0,9.05,9.75
Personal Health Care,0.78,17.95,2.01,0.00,0.30,0.42,0.40,8.8,0.51,1.06
Grooming,3.69,18.17,9.59,0.01,,,,71.6,3.49,3.89
Sleeping,60.57,18.58,160.77,,,,,100.0,59.76,61.39
"Private, Personal, or N/A",1.89,20.56,5.54,0.00,0.41,0.65,0.71,23.5,1.61,2.16
Personal Time,76.33,18.56,202.40,0.02,7.31,7.60,3.22,100.0,75.41,77.25
Socializing,4.30,20.35,12.49,0.00,3.30,1.96,0.23,34.9,3.80,4.79
Passive Leisure,33.46,17.40,83.17,0.08,19.17,32.20,13.96,95.1,32.18,34.75
Active Leisure,2.61,17.40,6.48,0.00,0.74,0.62,1.16,20.8,2.22,3.00
Attendance Leisure,0.77,17.40,1.91,0.00,0.63,0.01,0.10,4.2,0.53,1.01
Religious Activities,1.03,23.41,3.46,0.00,0.62,0.28,0.28,9.2,0.85,1.22
Volunteering,1.54,23.41,5.15,0.00,0.37,0.48,0.54,9.5,1.19,1.89
Travel Related to Leisure,2.98,24.75,10.54,0.00,1.77,0.03,1.10,50.8,2.54,3.42
Leisure,46.69,18.47,123.20,0.08,26.61,35.58,17.37,98.9,45.39,47.99
Working at Job,20.98,20.48,61.37,0.00,0.98,4.11,6.10,53.9,19.53,22.44
Educational Activities,1.67,23.41,5.59,0.00,0.33,1.04,0.94,4.4,1.10,2.24
Commuting to Work or School,2.13,24.75,7.55,0.00,0.16,0.02,1.89,40.2,1.84,2.43
Work and Education,24.79,21.04,74.51,0.00,1.47,5.17,8.93,56.6,23.11,26.47
Total,168.00,19.11,458.76,0.15,43.64,61.27,40.80,,,
