time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.02,18.31,2.67,0.11,0.22,0.99,0.68,12.7,0.80,1.24
Food Cooking & Clean-up,0.99,18.40,2.59,0.23,0.34,0.90,0.44,26.8,0.77,1.20
"Pets, Home & Vehicles",1.95,20.06,5.60,0.15,0.64,1.46,0.96,16.2,1.54,2.37
Household Management,0.69,24.72,2.42,0.04,0.26,0.39,0.19,15.9,0.41,0.96
Shopping,1.48,18.13,3.84,0.08,0.46,0.05,0.34,31.0,1.23,1.74
Obtaining Services,0.09,21.87,0.27,0.00,0.00,0.00,0.07,1.2,0.02,0.15
Travel for Household Activity,1.44,24.75,5.08,0.06,0.40,0.02,0.49,35.7,1.14,1.73
Household Production,7.65,20.56,22.47,0.67,2.32,3.81,3.18,63.3,6.95,8.36
Household Children,0.80,18.05,2.06,,0.47,0.56,0.02,11.0,0.55,1.05
Household Adults,0.15,17.91,0.38,0.00,0.13,0.12,0.00,3.1,,0.31
Non-Household Members,0.64,18.09,1.66,0.01,0.25,0.09,0.03,17.3,0.43,0.85
Travel for Household Members,0.32,24.75,1.12,0.00,0.13,0.00,0.10,7.6,0.19,0.45
Travel for Non-Household Members,0.56,24.75,1.97,0.01,0.08,0.01,0.22,16.3,0.42,0.69
Caring and Helping,2.46,20.43,7.19,0.02,1.07,0.77,0.38,27.8,1.92,3.01
Eating & Drinking,6.35,18.25,16.55,0.34,2.48,3.37,1.51,95.0,5.83,6.87
Personal Health Care,0.33,17.95,0.85,0.00,0.08,0.07,0.14,4.3,0.16,0.50
Grooming,4.19,18.17,10.88,0.14,,,,83.3,3.95,4.43
Sleeping,65.55,18.58,173.98,,,,,99.9,63.68,67.42
"Private, Personal, or N/A",1.99,20.56,5.83,0.15,0.19,0.76,0.94,23.5,1.59,2.38
Personal Time,78.41,18.58,208.09,0.64,2.75,4.19,2.60,100.0,76.82,79.99
Socializing,6.46,20.35,18.78,0.18,1.91,2.02,0.53,48.3,5.66,7.26
Passive Leisure,26.86,17.40,66.75,1.49,4.94,23.21,15.24,89.8,24.44,29.27
Active Leisure,4.10,17.40,10.19,0.15,0.58,0.52,0.89,28.1,3.49,4.71
Attendance Leisure,1.57,17.40,3.89,0.01,0.31,0.08,0.29,8.8,1.10,2.03
Religious Activities,0.63,23.41,2.09,0.05,0.26,0.05,0.10,4.8,0.41,0.85
Volunteering,1.02,23.41,3.41,0.03,0.14,0.06,0.09,5.5,0.62,1.42
Travel Related to Leisure,3.61,24.75,12.76,0.05,0.79,0.04,1.33,64.5,3.01,4.21
Leisure,44.24,18.65,117.88,1.96,8.93,25.98,18.47,97.8,42.32,46.15
Working at Job,17.72,12.51,31.67,0.05,0.38,1.11,1.65,43.1,15.64,19.80
Educational Activities,15.13,23.41,50.59,0.26,0.37,3.44,3.89,39.2,13.49,16.77
Commuting to Work or School,2.39,24.75,8.46,0.03,0.32,0.03,1.51,57.7,2.05,2.73
Work and Education,35.24,18.02,90.72,0.35,1.07,4.59,7.05,71.0,32.76,37.72
Total,168.00,18.60,446.35,3.63,16.15,39.33,31.68,,,
