time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,7.70,18.31,20.15,4.55,4.12,7.53,3.44,58.6,6.30,9.10
Food Cooking & Clean-up,7.42,18.40,19.51,5.49,4.27,7.28,3.05,76.5,6.32,8.53
"Pets, Home & Vehicles",1.97,20.06,5.63,1.36,1.32,1.73,0.65,20.7,1.18,2.75
Household Management,1.13,24.72,4.00,0.66,0.75,0.82,0.31,22.7,0.61,1.65
Shopping,3.75,18.13,9.71,2.10,2.99,0.13,0.63,42.4,2.73,4.77
Obtaining Services,0.07,21.87,0.23,0.07,0.07,0.06,0.00,2.3,0.01,0.14
Travel for Household Activity,2.14,24.75,7.58,1.15,1.65,0.00,0.43,45.4,1.55,2.73
Household Production,24.19,19.33,66.81,15.39,15.17,17.56,8.51,95.0,20.83,27.55
Household Children,13.22,18.05,34.10,,12.74,11.08,0.23,78.0,10.59,15.85
Household Adults,0.07,17.91,0.17,0.03,0.07,0.04,0.00,4.7,0.02,0.12
Non-Household Members,0.65,18.09,1.69,0.27,0.60,0.20,0.01,9.9,0.14,1.17
Travel for Household Members,1.75,24.75,6.20,0.09,1.35,0.02,0.36,39.2,1.24,2.26
Travel for Non-Household Members,0.22,24.75,0.79,0.11,0.14,0.00,0.03,9.2,0.11,0.33
Caring and Helping,15.92,18.88,42.95,0.50,14.89,11.34,0.64,80.9,12.84,19.01
Eating & Drinking,7.17,18.25,18.69,4.73,5.69,5.20,1.09,95.8,6.61,7.73
Personal Health Care,0.37,17.95,0.94,0.06,0.10,0.20,0.17,5.9,0.10,0.63
Grooming,5.20,18.17,13.49,1.91,,,,80.4,3.51,6.88
Sleeping,61.86,18.58,164.18,,,,,100.0,60.06,63.65
"Private, Personal, or N/A",3.41,20.56,10.02,1.87,1.35,1.74,0.88,29.8,2.13,4.70
Personal Time,78.00,18.61,207.32,8.57,7.13,7.13,2.14,100.0,75.32,80.68
Socializing,4.89,20.35,14.21,3.23,4.08,2.45,0.26,38.2,3.32,6.46
Passive Leisure,16.41,17.40,40.78,9.05,11.41,15.73,4.63,81.3,14.58,18.23
Active Leisure,1.13,17.40,2.82,0.75,0.80,0.26,0.21,12.0,0.72,1.55
Attendance Leisure,1.19,17.40,2.97,0.65,0.90,0.07,0.07,4.9,0.47,1.92
Religious Activities,1.03,23.41,3.43,0.67,0.89,0.15,0.07,7.1,0.54,1.52
Volunteering,0.63,23.41,2.10,0.18,0.15,0.20,0.31,5.7,0.19,1.07
Travel Related to Leisure,1.89,24.75,6.68,1.19,1.44,0.05,0.32,37.0,1.30,2.48
Leisure,27.17,18.81,72.99,15.72,19.68,18.90,5.86,92.4,23.95,30.39
Working at Job,5.45,21.40,16.65,0.52,0.54,0.99,0.49,10.2,2.66,8.24
Educational Activities,15.93,23.41,53.26,3.31,4.26,8.70,6.49,43.8,11.10,20.76
Commuting to Work or School,1.35,24.75,4.76,0.03,0.12,0.00,1.19,28.2,0.93,1.76
Work and Education,22.72,23.00,74.67,3.87,4.93,9.69,8.17,53.8,16.34,29.10
Total,168.00,19.36,464.74,44.04,61.79,64.63,25.32,,,
