time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.75,18.31,4.59,0.02,0.99,1.50,0.77,19.1,0.93,2.57
Food Cooking & Clean-up,2.06,18.40,5.41,0.00,1.27,2.05,0.78,33.7,1.45,2.67
"Pets, Home & Vehicles",4.56,20.06,13.08,0.00,1.74,4.25,2.79,34.0,3.14,5.98
Household Management,1.15,24.72,4.08,0.00,0.32,0.96,0.61,14.1,0.43,1.88
Shopping,1.63,18.13,4.23,0.00,1.12,0.10,0.44,26.0,1.16,2.11
Obtaining Services,0.11,21.87,0.34,0.00,0.02,0.02,0.09,1.9,,0.22
Travel for Household Activity,1.43,24.75,5.05,0.00,0.88,0.02,0.48,30.9,1.05,1.81
Household Production,12.70,20.27,36.77,0.03,6.33,8.90,5.97,68.7,10.62,14.78
Household Children,0.02,18.05,0.06,,0.02,0.02,0.00,0.1,,0.07
Household Adults,1.02,17.91,2.62,0.00,0.80,0.19,0.22,8.4,0.25,1.80
Non-Household Members,1.20,18.09,3.10,0.00,1.01,0.61,0.11,10.4,0.41,1.98
Travel for Household Members,0.27,24.75,0.96,0.00,0.24,0.02,0.03,5.0,0.08,0.46
Travel for Non-Household Members,0.31,24.75,1.09,0.00,0.25,0.01,0.05,7.0,0.10,0.51
Caring and Helping,2.82,19.39,7.82,0.00,2.32,0.84,0.41,17.2,1.58,4.06
Eating & Drinking,7.55,18.25,19.67,0.04,5.69,6.51,1.77,94.9,6.82,8.28
Personal Health Care,2.51,17.95,6.44,0.00,0.94,1.66,1.20,26.0,1.38,3.64
Grooming,2.94,18.17,7.63,0.00,,,,53.6,2.50,3.37
Sleeping,66.89,18.58,177.55,,,,,99.9,65.01,68.78
"Private, Personal, or N/A",1.65,20.56,4.85,0.02,0.49,0.37,0.46,22.0,1.13,2.18
Personal Time,81.54,18.55,216.14,0.07,7.12,8.54,3.43,100.0,79.32,83.76
Socializing,5.02,20.35,14.60,0.01,4.22,3.09,0.28,35.3,3.73,6.31
Passive Leisure,57.37,17.40,142.58,0.11,35.28,56.44,21.62,96.8,53.86,60.88
Active Leisure,1.50,17.40,3.73,0.00,0.55,0.37,0.62,14.3,0.47,2.53
Attendance Leisure,0.18,17.40,0.45,0.00,0.17,0.00,0.02,1.5,0.01,0.36
Religious Activities,1.31,23.41,4.37,0.04,0.84,0.40,0.21,8.8,0.87,1.74
Volunteering,0.73,23.41,2.45,0.00,0.15,0.15,0.37,4.1,0.25,1.22
Travel Related to Leisure,2.27,24.75,8.01,0.01,1.32,0.02,0.91,30.7,1.06,3.47
Leisure,68.38,18.04,176.20,0.17,42.53,60.47,24.03,98.6,65.01,71.75
Working at Job,2.39,0.00,0.00,0.00,0.15,0.88,1.02,4.6,0.96,3.82
Educational Activities,0.02,23.41,0.08,0.00,0.01,0.02,0.02,0.2,,0.06
Commuting to Work or School,0.14,24.75,0.51,0.00,0.02,0.00,0.11,3.0,,0.29
Work and Education,2.56,1.61,0.59,0.00,0.17,0.91,1.14,4.9,1.06,4.06
Total,168.00,18.23,437.52,0.26,58.48,79.66,34.97,,,
