time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,3.51,18.31,9.19,0.37,1.74,2.99,1.71,32.5,2.59,4.43
Food Cooking & Clean-up,4.01,18.40,10.54,0.35,2.28,3.92,1.66,62.3,3.28,4.74
"Pets, Home & Vehicles",2.02,20.06,5.78,0.06,1.07,1.55,0.95,31.3,1.04,2.99
Household Management,1.03,24.72,3.65,0.08,0.62,0.68,0.38,21.2,0.56,1.51
Shopping,2.63,18.13,6.82,0.01,1.40,0.03,1.13,43.7,1.95,3.32
Obtaining Services,0.05,21.87,0.15,0.00,0.00,0.00,0.04,2.0,,0.10
Travel for Household Activity,2.02,24.75,7.12,0.10,1.22,0.00,0.76,48.8,1.54,2.49
Household Production,15.26,19.83,43.24,0.97,8.33,9.16,6.64,85.5,13.34,17.19
Household Children,1.01,18.05,2.60,,0.96,0.89,0.00,5.3,0.12,1.90
Household Adults,0.72,17.91,1.85,0.02,0.72,0.09,0.00,5.9,,2.05
Non-Household Members,0.92,18.09,2.37,0.01,0.77,0.14,0.08,10.6,0.32,1.51
Travel for Household Members,0.16,24.75,0.56,0.02,0.13,0.00,0.03,5.4,0.06,0.26
Travel for Non-Household Members,0.55,24.75,1.93,0.00,0.28,0.00,0.21,8.9,0.17,0.92
Caring and Helping,3.35,19.44,9.31,0.04,2.86,1.13,0.32,19.5,1.55,5.15
Eating & Drinking,8.54,18.25,22.26,0.42,6.24,4.31,1.27,97.5,7.45,9.63
Personal Health Care,1.21,17.95,3.10,0.00,0.90,0.77,0.23,5.7,,2.71
Grooming,5.96,18.17,15.48,0.16,,,,85.7,5.44,6.48
Sleeping,61.06,18.58,162.06,,,,,100.0,59.21,62.90
"Private, Personal, or N/A",1.68,20.56,4.94,0.04,0.56,0.78,0.71,17.7,0.77,2.59
Personal Time,78.45,18.55,207.85,0.62,7.70,5.85,2.21,100.0,75.52,81.38
Socializing,5.21,20.35,15.16,0.18,4.10,1.72,0.33,38.4,3.83,6.59
Passive Leisure,21.97,17.40,54.60,1.38,15.47,19.88,6.29,91.3,19.48,24.46
Active Leisure,1.64,17.40,4.08,0.04,0.74,0.42,0.65,19.5,1.05,2.23
Attendance Leisure,0.75,17.40,1.86,0.05,0.66,0.01,0.00,3.6,0.20,1.30
Religious Activities,0.29,23.41,0.96,0.03,0.26,0.04,0.03,2.5,0.12,0.45
Volunteering,0.60,23.41,2.01,0.00,0.38,0.02,0.03,3.7,,1.27
Travel Related to Leisure,2.64,24.75,9.32,0.12,1.74,0.00,0.80,49.9,1.98,3.29
Leisure,33.10,18.61,87.99,1.80,23.35,22.10,8.14,96.9,30.08,36.11
Working at Job,34.04,26.81,130.36,0.00,1.33,4.55,4.00,64.5,29.86,38.22
Educational Activities,0.89,23.41,2.98,0.00,0.17,0.52,0.38,3.5,,1.83
Commuting to Work or School,2.90,24.75,10.25,0.00,0.20,0.05,2.58,51.4,2.27,3.53
Work and Education,37.83,26.57,143.60,0.00,1.70,5.12,6.95,66.6,33.31,42.36
Total,168.00,20.50,491.98,3.43,43.94,43.36,24.26,,,
