time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.25,18.31,3.28,0.00,0.22,1.21,0.89,13.8,0.81,1.69
Food Cooking & Clean-up,1.65,18.40,4.32,0.00,0.39,1.48,0.94,35.3,1.35,1.94
"Pets, Home & Vehicles",1.44,20.06,4.11,0.00,0.38,1.24,0.77,14.2,0.94,1.93
Household Management,0.66,24.72,2.34,0.00,0.14,0.43,0.30,14.7,0.45,0.88
Shopping,1.42,18.13,3.69,0.00,0.42,0.04,0.42,30.1,0.99,1.86
Obtaining Services,0.07,21.87,0.20,0.00,0.00,0.02,0.05,1.1,,0.13
Travel for Household Activity,1.58,24.75,5.59,0.00,0.34,0.01,0.71,35.0,1.27,1.89
Household Production,8.07,20.43,23.54,0.00,1.89,4.43,4.07,68.0,6.78,9.35
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.11,17.91,0.28,0.00,0.06,0.05,0.02,4.3,0.03,0.19
Non-Household Members,0.56,18.09,1.44,0.01,0.28,0.17,0.07,12.6,0.33,0.78
Travel for Household Members,0.13,24.75,0.45,0.00,0.04,0.00,0.05,2.4,0.04,0.22
Travel for Non-Household Members,0.43,24.75,1.52,0.00,0.04,0.00,0.19,11.1,0.31,0.55
Caring and Helping,1.22,21.11,3.69,0.01,0.42,0.22,0.33,15.9,0.89,1.55
Eating & Drinking,7.68,18.25,20.01,0.00,2.20,4.44,2.47,96.1,7.19,8.17
Personal Health Care,0.22,17.95,0.58,0.00,0.01,0.07,0.16,2.9,0.09,0.36
Grooming,3.82,18.17,9.90,0.00,,,,76.4,3.39,4.24
Sleeping,65.64,18.58,174.23,,,,,100.0,63.82,67.47
"Private, Personal, or N/A",3.16,20.56,9.28,0.00,0.30,1.47,1.65,24.1,2.11,4.21
Personal Time,80.52,18.60,214.01,0.00,2.52,5.98,4.27,100.0,78.80,82.24
Socializing,7.48,20.35,21.76,0.00,1.66,2.22,0.96,42.3,5.13,9.83
Passive Leisure,30.59,17.40,76.02,0.00,4.28,26.52,20.56,90.0,28.53,32.64
Active Leisure,4.76,17.40,11.82,0.00,0.50,0.53,1.49,31.6,3.84,5.67
Attendance Leisure,1.18,17.40,2.92,0.00,0.28,0.02,0.12,6.2,0.72,1.63
Religious Activities,0.55,23.41,1.85,0.00,0.13,0.03,0.09,4.5,0.30,0.81
Volunteering,0.65,23.41,2.16,0.00,0.05,0.11,0.20,4.8,0.31,0.98
Travel Related to Leisure,3.76,24.75,13.28,0.00,0.48,0.04,1.61,60.1,3.01,4.50
Leisure,48.96,18.56,129.81,0.01,7.38,29.47,25.04,97.4,46.49,51.42
Working at Job,7.60,15.49,16.83,0.00,0.42,0.44,0.74,16.8,5.59,9.61
Educational Activities,19.57,23.41,65.45,0.00,0.50,8.41,10.85,46.9,16.87,22.28
Commuting to Work or School,2.06,24.75,7.27,0.00,0.06,0.01,1.87,42.1,1.71,2.40
Work and Education,29.23,21.44,89.55,0.00,0.98,8.86,13.46,61.9,26.74,31.73
Total,168.00,19.19,460.59,0.02,13.19,48.95,47.17,,,
