time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.16,18.31,5.65,0.02,0.13,2.05,1.89,23.9,1.39,2.92
Food Cooking & Clean-up,1.93,18.40,5.07,0.03,0.23,1.82,1.48,42.0,1.70,2.16
"Pets, Home & Vehicles",4.29,20.06,12.31,0.00,0.31,3.41,3.21,28.0,3.30,5.29
Household Management,0.71,24.72,2.52,0.00,0.11,0.50,0.52,16.1,0.50,0.93
Shopping,1.91,18.13,4.96,0.00,0.40,0.12,1.09,38.8,1.62,2.21
Obtaining Services,0.07,21.87,0.22,0.00,0.02,0.02,0.04,1.6,0.03,0.11
Travel for Household Activity,1.92,24.75,6.77,0.00,0.30,0.02,1.27,43.1,1.67,2.16
Household Production,12.99,20.19,37.49,0.05,1.49,7.94,9.50,76.4,11.03,14.96
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.08,17.91,0.21,0.00,0.06,0.05,0.01,2.6,0.04,0.13
Non-Household Members,1.51,18.09,3.91,0.01,0.91,0.37,0.09,16.4,0.97,2.05
Travel for Household Members,0.03,24.75,0.12,0.01,0.03,0.00,0.00,0.8,0.01,0.06
Travel for Non-Household Members,0.61,24.75,2.15,0.00,0.12,0.00,0.36,14.5,0.39,0.83
Caring and Helping,2.24,19.99,6.39,0.02,1.12,0.42,0.46,18.7,1.54,2.93
Eating & Drinking,6.16,18.25,16.07,0.03,1.34,3.98,3.21,93.4,5.72,6.60
Personal Health Care,0.44,17.95,1.12,0.00,0.02,0.26,0.35,5.9,0.28,0.59
Grooming,3.51,18.17,9.12,0.01,,,,71.5,3.18,3.85
Sleeping,64.82,18.58,172.05,,,,,99.9,63.34,66.30
"Private, Personal, or N/A",5.57,20.56,16.37,0.08,0.39,2.83,3.42,33.4,4.31,6.84
Personal Time,80.51,18.67,214.72,0.12,1.75,7.07,6.98,100.0,78.62,82.40
Socializing,6.02,20.35,17.51,0.01,1.81,2.18,0.97,37.1,4.75,7.29
Passive Leisure,40.77,17.40,101.32,0.15,4.74,37.23,30.70,93.4,38.19,43.34
Active Leisure,4.40,17.40,10.92,0.11,0.86,0.86,2.02,25.0,3.49,5.30
Attendance Leisure,0.67,17.40,1.66,0.01,0.12,0.10,0.20,4.0,0.34,1.00
Religious Activities,0.70,23.41,2.33,0.00,0.15,0.12,0.17,4.4,0.25,1.14
Volunteering,0.48,23.41,1.59,0.00,0.06,0.07,0.16,2.3,0.20,0.75
Travel Related to Leisure,2.90,24.75,10.25,0.02,0.42,0.06,1.67,48.2,2.53,3.27
Leisure,55.92,18.22,145.59,0.29,8.16,40.62,35.88,97.9,52.93,58.92
Working at Job,12.05,16.54,28.46,0.00,0.17,1.21,2.30,23.9,10.26,13.84
Educational Activities,2.71,23.41,9.07,0.00,0.14,1.32,1.47,7.8,1.86,3.57
Commuting to Work or School,1.58,24.75,5.57,0.00,0.04,0.01,1.34,28.6,1.14,2.01
Work and Education,16.34,18.47,43.11,0.00,0.35,2.55,5.10,36.5,14.30,18.37
Total,168.00,18.64,447.30,0.48,12.86,58.61,57.93,,,
