time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.37,18.31,3.58,0.02,0.59,1.34,0.78,16.5,1.16,1.58
Food Cooking & Clean-up,2.26,18.40,5.94,0.02,1.23,2.20,1.01,41.9,2.02,2.50
"Pets, Home & Vehicles",6.37,20.06,18.26,0.05,1.64,5.78,4.64,46.3,5.60,7.14
Household Management,1.11,24.72,3.92,0.00,0.56,0.83,0.51,22.4,0.85,1.37
Shopping,2.02,18.13,5.23,0.01,1.17,0.06,0.77,35.9,1.75,2.28
Obtaining Services,0.18,21.87,0.55,0.00,0.07,0.05,0.06,3.1,0.10,0.25
Travel for Household Activity,2.21,24.75,7.82,0.01,1.14,0.02,1.03,40.9,1.96,2.46
Household Production,15.52,20.43,45.30,0.12,6.40,10.27,8.80,80.5,14.63,16.40
Household Children,0.05,18.05,0.13,,0.05,0.05,0.00,0.5,,0.11
Household Adults,0.13,17.91,0.32,0.00,0.09,0.04,0.02,5.0,0.06,0.19
Non-Household Members,0.84,18.09,2.18,0.00,0.70,0.21,0.08,9.0,0.59,1.10
Travel for Household Members,0.16,24.75,0.57,0.00,0.10,0.00,0.05,3.2,0.10,0.22
Travel for Non-Household Members,0.29,24.75,1.03,0.00,0.14,0.00,0.12,7.2,0.23,0.35
Caring and Helping,1.47,20.11,4.23,0.00,1.09,0.30,0.27,14.0,1.14,1.81
Eating & Drinking,8.27,18.25,21.56,0.06,4.96,4.76,2.20,95.9,7.84,8.70
Personal Health Care,0.66,17.95,1.69,0.00,0.18,0.29,0.33,5.7,0.35,0.97
Grooming,4.15,18.17,10.78,0.02,,,,80.8,3.97,4.33
Sleeping,56.21,18.58,149.20,,,,,99.9,55.41,57.02
"Private, Personal, or N/A",1.53,20.56,4.50,0.01,0.33,0.60,0.69,19.2,1.25,1.82
Personal Time,70.83,18.55,187.74,0.09,5.48,5.65,3.23,100.0,70.03,71.63
Socializing,3.92,20.35,11.39,0.04,3.28,1.83,0.12,33.5,3.47,4.37
Passive Leisure,23.70,17.40,58.89,0.18,13.83,22.57,9.46,92.2,22.55,24.84
Active Leisure,2.52,17.40,6.28,0.04,0.77,0.47,1.10,20.1,2.10,2.95
Attendance Leisure,0.68,17.40,1.70,0.02,0.57,0.03,0.06,3.7,0.46,0.91
Religious Activities,0.56,23.41,1.87,0.01,0.36,0.10,0.15,4.9,0.41,0.71
Volunteering,0.76,23.41,2.54,0.00,0.20,0.12,0.19,4.9,0.50,1.02
Travel Related to Leisure,2.68,24.75,9.49,0.01,1.41,0.04,1.10,48.4,2.32,3.05
Leisure,34.82,18.52,92.16,0.29,20.42,25.17,12.18,97.5,33.58,36.06
Working at Job,41.65,37.65,224.03,0.09,1.12,4.73,8.29,70.8,40.04,43.26
Educational Activities,0.14,23.41,0.46,0.00,0.01,0.12,0.11,0.6,0.04,0.23
Commuting to Work or School,3.57,24.75,12.61,0.00,0.22,0.04,3.13,58.8,3.27,3.86
Work and Education,45.36,36.59,237.09,0.09,1.35,4.89,11.53,72.0,43.65,47.07
Total,168.00,23.60,566.52,0.60,34.74,46.28,36.01,,,
