time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,3.99,18.31,10.43,0.00,0.34,3.84,3.44,36.4,3.82,4.15
Food Cooking & Clean-up,3.01,18.40,7.91,0.01,0.49,2.79,2.15,54.2,2.85,3.17
"Pets, Home & Vehicles",2.12,20.06,6.07,0.00,0.18,1.63,1.71,29.2,2.00,2.24
Household Management,1.05,24.72,3.69,0.00,0.12,0.82,0.81,24.2,0.97,1.12
Shopping,2.71,18.13,7.02,0.01,0.58,0.09,1.55,42.8,2.48,2.94
Obtaining Services,0.14,21.87,0.43,0.00,0.01,0.05,0.08,3.1,0.11,0.16
Travel for Household Activity,2.08,24.75,7.36,0.00,0.34,0.02,1.38,47.0,1.92,2.24
Household Production,15.09,19.91,42.91,0.02,2.06,9.23,11.11,85.2,14.69,15.48
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.16,17.91,0.41,0.00,0.11,0.10,0.02,3.2,0.11,0.21
Non-Household Members,0.91,18.09,2.36,0.00,0.61,0.24,0.10,13.2,0.83,1.00
Travel for Household Members,0.06,24.75,0.20,0.00,0.03,0.00,0.02,1.6,0.04,0.07
Travel for Non-Household Members,0.49,24.75,1.75,0.00,0.14,0.00,0.22,10.9,0.44,0.55
Caring and Helping,1.62,20.33,4.72,0.00,0.90,0.35,0.35,15.9,1.50,1.75
Eating & Drinking,6.99,18.25,18.21,0.00,1.44,3.36,2.95,93.7,6.86,7.11
Personal Health Care,0.90,17.95,2.30,0.00,0.07,0.34,0.61,9.4,0.79,1.00
Grooming,6.34,18.17,16.46,0.00,,,,87.9,6.20,6.48
Sleeping,59.86,18.58,158.89,,,,,99.9,59.32,60.41
"Private, Personal, or N/A",1.80,20.56,5.29,0.00,0.14,0.66,1.02,25.7,1.68,1.92
Personal Time,75.89,18.55,201.15,0.01,1.65,4.36,4.58,100.0,75.37,76.41
Socializing,5.32,20.35,15.45,0.00,2.07,2.03,0.90,41.6,5.00,5.63
Passive Leisure,21.15,17.40,52.57,0.01,2.49,19.01,15.63,88.5,20.26,22.04
Active Leisure,1.67,17.40,4.15,0.00,0.18,0.28,0.85,18.1,1.55,1.79
Attendance Leisure,0.93,17.40,2.32,0.01,0.24,0.04,0.13,4.9,0.79,1.07
Religious Activities,0.80,23.41,2.67,0.00,0.19,0.20,0.36,7.7,0.71,0.89
Volunteering,0.63,23.41,2.12,0.00,0.06,0.16,0.20,4.5,0.55,0.72
Travel Related to Leisure,2.73,24.75,9.66,0.00,0.45,0.03,1.52,50.0,2.45,3.01
Leisure,33.24,18.73,88.95,0.02,5.68,21.74,19.59,96.8,32.72,33.76
Working at Job,37.83,27.03,146.07,0.00,0.32,4.93,7.55,68.0,37.01,38.64
Educational Activities,1.38,23.41,4.62,0.00,0.05,0.80,0.93,4.3,0.97,1.80
Commuting to Work or School,2.95,24.75,10.44,0.00,0.06,0.03,2.68,56.5,2.72,3.19
Work and Education,42.16,26.75,161.14,0.00,0.44,5.76,11.16,70.6,41.33,43.00
Total,168.00,20.79,498.86,0.04,10.73,41.44,46.79,,,
