time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,7.28,18.31,19.04,5.06,3.78,7.14,3.42,62.4,6.77,7.79
Food Cooking & Clean-up,7.39,18.40,19.43,5.65,4.29,7.19,3.05,82.5,6.87,7.92
"Pets, Home & Vehicles",1.40,20.06,4.00,1.01,0.91,1.25,0.46,19.9,1.15,1.64
Household Management,1.31,24.72,4.64,0.81,0.76,0.94,0.51,29.1,1.08,1.55
Shopping,3.44,18.13,8.92,2.07,2.37,0.10,0.91,49.9,3.07,3.82
Obtaining Services,0.14,21.87,0.43,0.10,0.10,0.04,0.02,3.5,0.07,0.20
Travel for Household Activity,2.20,24.75,7.78,1.41,1.58,0.03,0.57,53.2,1.96,2.44
Household Production,23.16,19.41,64.24,16.11,13.81,16.69,8.94,95.3,22.26,24.06
Household Children,14.56,18.05,37.56,,14.12,11.97,0.28,88.6,13.44,15.68
Household Adults,0.16,17.91,0.41,0.11,0.14,0.11,0.02,5.6,0.08,0.24
Non-Household Members,0.54,18.09,1.39,0.35,0.45,0.06,0.05,10.1,0.29,0.78
Travel for Household Members,2.23,24.75,7.87,0.08,1.67,0.05,0.50,49.5,1.87,2.58
Travel for Non-Household Members,0.27,24.75,0.97,0.13,0.19,0.00,0.08,8.4,0.16,0.39
Caring and Helping,17.76,19.00,48.19,0.67,16.56,12.19,0.92,89.7,16.81,18.71
Eating & Drinking,7.39,18.25,19.27,5.48,6.17,5.02,0.69,96.2,6.95,7.83
Personal Health Care,0.69,17.95,1.78,0.26,0.28,0.22,0.30,7.2,0.46,0.93
Grooming,4.70,18.17,12.21,2.31,,,,83.1,4.51,4.90
Sleeping,60.56,18.58,160.73,,,,,100.0,59.79,61.32
"Private, Personal, or N/A",2.25,20.56,6.60,1.46,1.14,0.92,0.48,31.3,2.00,2.49
Personal Time,75.59,18.57,200.59,9.51,7.59,6.15,1.48,100.0,74.56,76.62
Socializing,5.75,20.35,16.71,3.95,4.98,2.60,0.22,49.3,5.23,6.26
Passive Leisure,15.62,17.40,38.83,9.05,11.70,14.60,3.72,86.4,14.55,16.70
Active Leisure,1.91,17.40,4.74,1.32,1.24,0.61,0.43,18.3,1.56,2.25
Attendance Leisure,0.95,17.40,2.37,0.77,0.82,0.02,0.04,5.7,0.69,1.22
Religious Activities,0.96,23.41,3.19,0.71,0.84,0.10,0.06,9.5,0.76,1.15
Volunteering,1.13,23.41,3.79,0.63,0.60,0.28,0.19,9.4,0.83,1.43
Travel Related to Leisure,2.42,24.75,8.57,1.60,1.89,0.04,0.47,51.7,2.06,2.78
Leisure,28.74,19.04,78.20,18.04,22.08,18.24,5.12,95.5,27.26,30.23
Working at Job,19.98,21.56,61.54,2.30,1.40,3.45,2.87,51.2,18.54,21.41
Educational Activities,1.15,23.41,3.83,0.17,0.11,0.33,0.64,3.7,0.49,1.80
Commuting to Work or School,1.62,24.75,5.73,0.14,0.25,0.02,1.32,39.2,1.37,1.87
Work and Education,22.74,21.88,71.10,2.61,1.76,3.80,4.84,54.4,21.22,24.27
Total,168.00,19.26,462.32,46.94,61.79,57.08,21.30,,,
