time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,4.28,18.31,11.21,0.00,0.47,4.09,3.62,38.8,3.94,4.63
Food Cooking & Clean-up,3.13,18.40,8.22,0.00,0.63,2.84,2.18,53.2,2.92,3.34
"Pets, Home & Vehicles",2.34,20.06,6.71,0.00,0.18,1.84,1.84,27.9,2.01,2.68
Household Management,1.38,24.72,4.87,0.00,0.17,1.01,1.04,26.2,1.21,1.54
Shopping,2.98,18.13,7.72,0.00,0.88,0.08,1.36,43.8,2.61,3.35
Obtaining Services,0.16,21.87,0.49,0.00,0.02,0.08,0.07,3.1,0.08,0.23
Travel for Household Activity,2.34,24.75,8.27,0.00,0.61,0.03,1.25,48.0,2.00,2.68
Household Production,16.61,20.02,47.50,0.00,2.96,9.96,11.35,85.7,15.79,17.43
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.18,17.91,0.46,0.00,0.11,0.15,0.01,3.5,0.10,0.26
Non-Household Members,1.52,18.09,3.93,0.00,0.95,0.46,0.18,17.3,1.28,1.76
Travel for Household Members,0.07,24.75,0.26,0.00,0.03,0.00,0.03,1.8,0.02,0.13
Travel for Non-Household Members,0.59,24.75,2.09,0.00,0.14,0.00,0.26,14.2,0.48,0.70
Caring and Helping,2.36,19.95,6.73,0.00,1.24,0.61,0.48,20.0,2.06,2.67
Eating & Drinking,7.08,18.25,18.46,0.01,1.98,3.95,2.87,94.0,6.69,7.47
Personal Health Care,0.87,17.95,2.22,0.00,0.13,0.32,0.52,11.8,0.65,1.08
Grooming,5.97,18.17,15.50,0.00,,,,84.6,5.76,6.18
Sleeping,63.39,18.58,168.26,,,,,99.9,62.63,64.16
"Private, Personal, or N/A",2.52,20.56,7.39,0.00,0.22,0.96,1.24,29.8,2.18,2.86
Personal Time,79.83,18.58,211.84,0.01,2.33,5.23,4.63,100.0,79.02,80.64
Socializing,6.67,20.35,19.40,0.00,2.62,2.94,1.00,48.8,5.95,7.39
Passive Leisure,25.40,17.40,63.13,0.01,3.80,22.28,17.76,90.4,24.06,26.74
Active Leisure,1.83,17.40,4.56,0.00,0.28,0.32,0.85,18.0,1.57,2.10
Attendance Leisure,0.80,17.40,2.00,0.01,0.16,0.02,0.07,4.4,0.58,1.03
Religious Activities,0.91,23.41,3.03,0.00,0.17,0.26,0.44,8.7,0.79,1.02
Volunteering,0.99,23.41,3.30,0.00,0.05,0.27,0.32,6.4,0.74,1.23
Travel Related to Leisure,3.01,24.75,10.64,0.00,0.62,0.03,1.52,55.8,2.72,3.30
Leisure,39.61,18.74,106.05,0.03,7.70,26.13,21.95,97.4,38.45,40.77
Working at Job,20.97,14.96,44.82,0.00,0.26,1.94,2.90,51.4,19.78,22.17
Educational Activities,6.27,23.41,20.97,0.00,0.08,2.38,3.23,17.7,5.21,7.34
Commuting to Work or School,2.34,24.75,8.28,0.00,0.12,0.03,2.02,49.4,2.13,2.55
Work and Education,29.59,17.53,74.08,0.00,0.46,4.36,8.15,62.7,28.09,31.08
Total,168.00,18.59,446.19,0.04,14.68,46.29,46.56,,,
