time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,8.47,18.31,22.15,0.00,2.54,8.35,5.86,64.2,7.93,9.00
Food Cooking & Clean-up,8.89,18.40,23.35,0.00,3.40,8.81,5.46,83.4,8.29,9.48
"Pets, Home & Vehicles",2.72,20.06,7.81,0.00,1.04,2.46,1.63,27.6,2.38,3.07
Household Management,2.11,24.72,7.47,0.00,0.78,1.91,1.29,31.5,1.79,2.44
Shopping,2.79,18.13,7.23,0.00,1.62,0.14,1.05,38.4,2.43,3.15
Obtaining Services,0.16,21.87,0.49,0.00,0.09,0.11,0.05,3.9,0.09,0.22
Travel for Household Activity,1.91,24.75,6.77,0.00,1.32,0.03,0.55,41.3,1.68,2.15
Household Production,27.05,19.47,75.27,0.00,10.78,21.80,15.89,94.4,26.11,28.00
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,1.07,17.91,2.73,0.00,0.98,0.77,0.08,12.9,0.83,1.30
Non-Household Members,0.76,18.09,1.96,0.00,0.68,0.40,0.05,8.2,0.47,1.05
Travel for Household Members,0.17,24.75,0.60,0.00,0.14,0.00,0.03,4.1,0.11,0.23
Travel for Non-Household Members,0.26,24.75,0.91,0.00,0.16,0.00,0.06,6.3,0.16,0.36
Caring and Helping,2.25,19.27,6.20,0.00,1.96,1.19,0.22,19.9,1.77,2.73
Eating & Drinking,9.87,18.25,25.74,0.00,8.38,8.09,1.13,98.7,9.52,10.23
Personal Health Care,2.22,17.95,5.70,0.00,1.01,1.16,0.82,25.3,1.77,2.67
Grooming,4.95,18.17,12.84,0.00,,,,77.8,4.71,5.18
Sleeping,63.59,18.58,168.77,,,,,99.9,63.00,64.17
"Private, Personal, or N/A",2.87,20.56,8.42,0.00,0.82,0.79,0.66,34.3,2.51,3.23
Personal Time,83.49,18.57,221.46,0.01,10.21,10.04,2.62,100.0,82.71,84.27
Socializing,5.88,20.35,17.09,0.00,4.44,3.57,0.72,47.5,5.42,6.34
Passive Leisure,41.30,17.40,102.66,0.01,27.36,40.32,13.49,97.6,40.24,42.37
Active Leisure,1.56,17.40,3.89,0.00,0.64,0.43,0.58,20.0,1.10,2.03
Attendance Leisure,0.60,17.40,1.50,0.00,0.47,0.02,0.03,3.5,0.39,0.82
Religious Activities,1.87,23.41,6.25,0.00,1.08,0.63,0.51,19.1,1.63,2.11
Volunteering,1.44,23.41,4.83,0.02,0.40,0.69,0.66,9.0,1.13,1.76
Travel Related to Leisure,2.43,24.75,8.60,0.00,1.83,0.03,0.48,43.5,2.11,2.75
Leisure,55.10,18.40,144.82,0.02,36.21,45.67,16.47,99.5,53.96,56.23
Working at Job,0.08,0.00,0.00,0.00,0.02,0.04,0.01,0.4,0.01,0.15
Educational Activities,0.00,23.41,0.01,0.00,0.00,0.00,0.00,0.0,,0.01
Commuting to Work or School,0.02,24.75,0.09,0.00,0.01,0.00,0.01,1.3,0.01,0.04
Work and Education,0.11,6.23,0.09,0.00,0.03,0.05,0.03,1.6,0.03,0.18
Total,168.00,18.66,447.84,0.03,59.20,78.75,35.22,,,
