time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.63,18.31,6.89,0.97,0.61,2.47,1.24,23.7,1.76,3.51
Food Cooking & Clean-up,2.77,18.40,7.27,1.72,1.10,2.69,1.37,45.1,2.14,3.39
"Pets, Home & Vehicles",2.60,20.06,7.46,0.94,0.70,2.24,1.68,24.6,1.88,3.32
Household Management,0.79,24.72,2.78,0.28,0.36,0.53,0.31,18.6,0.40,1.17
Shopping,1.92,18.13,4.98,0.65,0.77,0.01,0.66,37.8,1.54,2.30
Obtaining Services,0.16,21.87,0.51,0.01,0.01,0.01,0.10,2.6,,0.35
Travel for Household Activity,1.86,24.75,6.58,0.39,0.57,0.03,0.98,42.0,1.42,2.30
Household Production,12.73,20.04,36.46,4.96,4.12,7.97,6.33,78.5,11.14,14.33
Household Children,4.12,18.05,10.63,,3.61,3.20,0.06,35.2,3.12,5.12
Household Adults,0.03,17.91,0.08,0.01,0.02,0.02,0.00,2.6,,0.07
Non-Household Members,0.71,18.09,1.83,0.30,0.45,0.25,0.03,8.8,0.33,1.08
Travel for Household Members,0.70,24.75,2.46,0.03,0.42,0.01,0.23,21.1,0.55,0.84
Travel for Non-Household Members,0.27,24.75,0.96,0.06,0.14,0.00,0.10,7.2,0.17,0.37
Caring and Helping,5.83,19.17,15.96,0.40,4.64,3.49,0.42,42.9,4.69,6.97
Eating & Drinking,6.32,18.25,16.49,1.89,2.53,3.20,1.77,92.5,5.76,6.89
Personal Health Care,0.40,17.95,1.03,0.08,0.01,0.11,0.14,3.5,0.02,0.78
Grooming,3.80,18.17,9.87,0.89,,,,77.7,3.33,4.28
Sleeping,60.98,18.58,161.85,,,,,100.0,59.02,62.94
"Private, Personal, or N/A",2.11,20.56,6.20,0.47,0.39,0.79,1.09,23.6,1.42,2.80
Personal Time,73.62,18.58,195.44,3.33,2.94,4.09,3.00,100.0,71.64,75.60
Socializing,4.53,20.35,13.18,1.35,1.96,1.03,0.33,32.5,3.49,5.58
Passive Leisure,21.52,17.40,53.50,6.25,5.63,19.84,10.87,88.7,19.19,23.86
Active Leisure,2.09,17.40,5.21,0.45,0.64,0.08,0.61,16.2,1.44,2.75
Attendance Leisure,1.02,17.40,2.54,0.32,0.55,0.09,0.19,4.6,0.45,1.59
Religious Activities,0.94,23.41,3.16,0.17,0.58,0.05,0.12,5.9,0.28,1.61
Volunteering,0.43,23.41,1.42,0.06,0.06,0.00,0.02,2.4,0.04,0.81
Travel Related to Leisure,3.10,24.75,10.97,0.85,1.09,0.03,1.17,50.1,2.33,3.88
Leisure,33.65,18.72,89.97,9.45,10.51,21.12,13.32,95.4,31.27,36.02
Working at Job,37.56,21.10,113.23,0.67,0.22,1.81,5.57,64.3,34.37,40.75
Educational Activities,1.33,23.41,4.46,0.06,0.01,0.66,0.68,4.2,0.34,2.32
Commuting to Work or School,3.27,24.75,11.58,0.13,0.19,0.04,2.77,58.2,2.72,3.83
Work and Education,42.17,21.46,129.26,0.86,0.43,2.51,9.01,66.7,38.65,45.69
Total,168.00,19.46,467.10,19.00,22.63,39.18,32.09,,,
