time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,8.41,18.31,21.99,0.00,2.50,8.27,5.86,63.3,8.08,8.74
Food Cooking & Clean-up,8.05,18.40,21.14,0.01,3.15,7.86,4.85,81.3,7.75,8.34
"Pets, Home & Vehicles",3.64,20.06,10.44,0.00,1.58,3.31,2.00,33.0,3.39,3.90
Household Management,2.15,24.72,7.59,0.00,0.91,1.88,1.20,32.4,1.98,2.31
Shopping,3.46,18.13,8.97,0.00,1.89,0.14,1.37,42.9,3.20,3.73
Obtaining Services,0.20,21.87,0.64,0.00,0.11,0.13,0.06,4.1,0.16,0.24
Travel for Household Activity,2.36,24.75,8.34,0.00,1.52,0.03,0.78,45.6,2.22,2.50
Household Production,28.27,19.59,79.11,0.02,11.66,21.62,16.13,94.8,27.72,28.82
Household Children,0.03,18.05,0.07,,0.02,0.02,0.00,0.1,,0.05
Household Adults,0.89,17.91,2.29,0.00,0.80,0.62,0.08,9.9,0.71,1.08
Non-Household Members,1.97,18.09,5.08,0.00,1.72,0.98,0.13,15.2,1.74,2.19
Travel for Household Members,0.14,24.75,0.50,0.00,0.12,0.00,0.02,3.5,0.11,0.17
Travel for Non-Household Members,0.50,24.75,1.78,0.00,0.32,0.00,0.14,10.7,0.42,0.59
Caring and Helping,3.53,19.26,9.72,0.00,2.99,1.63,0.37,23.7,3.14,3.92
Eating & Drinking,9.49,18.25,24.73,0.01,7.91,7.31,1.20,98.4,9.18,9.79
Personal Health Care,1.88,17.95,4.82,0.00,0.77,0.98,0.81,20.8,1.69,2.07
Grooming,5.03,18.17,13.07,0.00,,,,77.7,4.90,5.16
Sleeping,62.48,18.58,165.82,,,,,99.9,62.00,62.95
"Private, Personal, or N/A",2.67,20.56,7.83,0.00,0.84,0.88,0.69,32.0,2.49,2.84
Personal Time,81.54,18.57,216.27,0.01,9.52,9.18,2.70,100.0,81.09,81.99
Socializing,6.12,20.35,17.79,0.00,4.66,3.41,0.69,48.7,5.81,6.43
Passive Leisure,39.15,17.40,97.31,0.02,24.59,37.93,14.20,97.4,38.19,40.11
Active Leisure,1.89,17.40,4.70,0.00,0.83,0.46,0.66,21.4,1.49,2.30
Attendance Leisure,0.87,17.40,2.17,0.00,0.65,0.04,0.05,4.9,0.65,1.10
Religious Activities,1.65,23.41,5.52,0.00,0.95,0.53,0.45,16.7,1.53,1.77
Volunteering,1.60,23.41,5.35,0.01,0.43,0.61,0.60,9.8,1.38,1.82
Travel Related to Leisure,2.92,24.75,10.32,0.00,2.16,0.04,0.60,48.2,2.62,3.21
Leisure,54.20,18.49,143.15,0.02,34.26,43.02,17.27,99.3,53.49,54.91
Working at Job,0.38,19.06,1.05,0.00,0.03,0.13,0.11,1.2,0.26,0.51
Educational Activities,0.02,23.41,0.08,0.00,0.00,0.02,0.02,0.1,,0.05
Commuting to Work or School,0.05,24.75,0.18,0.00,0.02,0.00,0.03,1.8,0.04,0.07
Work and Education,0.46,19.92,1.31,0.00,0.05,0.15,0.16,2.5,0.33,0.59
Total,168.00,18.73,449.55,0.05,58.49,75.60,36.62,,,
