time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.92,18.31,5.02,0.31,0.65,1.83,1.20,20.7,1.84,1.99
Food Cooking & Clean-up,2.47,18.40,6.48,0.47,1.04,2.37,1.30,44.3,2.34,2.59
"Pets, Home & Vehicles",4.68,20.06,13.41,0.46,1.09,4.19,3.38,31.9,4.53,4.83
Household Management,1.02,24.72,3.60,0.10,0.34,0.78,0.60,19.6,0.99,1.05
Shopping,2.01,18.13,5.22,0.26,0.96,0.08,0.83,36.2,1.92,2.10
Obtaining Services,0.15,21.87,0.48,0.01,0.04,0.07,0.07,2.7,0.14,0.17
Travel for Household Activity,1.95,24.75,6.88,0.19,0.77,0.02,1.01,40.2,1.89,2.00
Household Production,14.20,20.26,41.09,1.79,4.88,9.35,8.38,77.5,13.98,14.41
Household Children,1.86,18.05,4.79,,1.75,1.49,0.05,16.2,1.81,1.90
Household Adults,0.23,17.91,0.58,0.02,0.18,0.12,0.04,5.0,0.21,0.25
Non-Household Members,0.87,18.09,2.25,0.04,0.55,0.25,0.11,9.7,0.83,0.91
Travel for Household Members,0.40,24.75,1.43,0.01,0.27,0.01,0.12,9.6,0.37,0.44
Travel for Non-Household Members,0.38,24.75,1.35,0.02,0.15,0.00,0.15,8.0,0.34,0.43
Caring and Helping,3.74,19.46,10.40,0.08,2.90,1.87,0.47,28.2,3.61,3.87
Eating & Drinking,8.00,18.25,20.85,0.99,4.12,4.96,2.41,95.8,7.89,8.10
Personal Health Care,0.78,17.95,2.01,0.03,0.20,0.43,0.47,8.2,0.74,0.83
Grooming,3.85,18.17,9.99,0.30,,,,75.4,3.80,3.90
Sleeping,60.36,18.58,160.20,,,,,99.9,59.97,60.74
"Private, Personal, or N/A",2.03,20.56,5.95,0.19,0.43,0.79,0.86,22.3,1.97,2.08
Personal Time,75.01,18.57,199.00,1.50,4.76,6.17,3.75,100.0,74.75,75.27
Socializing,4.74,20.35,13.77,0.66,2.94,1.99,0.33,36.1,4.60,4.87
Passive Leisure,29.91,17.40,74.34,2.50,11.78,28.02,16.03,91.9,29.02,30.80
Active Leisure,2.64,17.40,6.56,0.20,0.67,0.49,1.14,20.7,2.56,2.72
Attendance Leisure,0.80,17.40,2.00,0.12,0.45,0.04,0.11,4.2,0.71,0.90
Religious Activities,0.78,23.41,2.62,0.12,0.44,0.19,0.21,6.9,0.73,0.84
Volunteering,0.81,23.41,2.71,0.09,0.23,0.18,0.23,5.0,0.74,0.88
Travel Related to Leisure,2.83,24.75,10.00,0.27,1.18,0.04,1.23,48.6,2.59,3.07
Leisure,42.51,18.44,111.98,3.96,17.68,30.94,19.27,97.5,42.08,42.94
Working at Job,28.55,29.97,122.25,0.36,0.67,3.16,6.11,51.0,27.97,29.13
Educational Activities,1.39,23.41,4.65,0.03,0.08,0.64,0.80,4.1,1.31,1.48
Commuting to Work or School,2.60,24.75,9.19,0.02,0.13,0.03,2.26,44.2,2.46,2.74
Work and Education,32.54,29.27,136.09,0.41,0.88,3.83,9.17,54.7,31.85,33.24
Total,168.00,20.77,498.56,7.75,31.10,52.16,41.03,,,
