time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,5.80,18.31,15.18,3.16,2.24,5.67,3.54,43.3,4.55,7.06
Food Cooking & Clean-up,5.74,18.40,15.08,3.82,2.98,5.60,2.70,70.0,5.11,6.37
"Pets, Home & Vehicles",1.58,20.06,4.51,1.09,0.80,1.41,0.76,22.8,1.15,2.00
Household Management,1.03,24.72,3.63,0.47,0.56,0.74,0.42,22.4,0.70,1.35
Shopping,2.34,18.13,6.05,1.06,1.42,0.09,0.84,38.3,1.85,2.82
Obtaining Services,0.06,21.87,0.18,0.00,0.03,0.02,0.01,2.1,0.01,0.10
Travel for Household Activity,1.81,24.75,6.41,0.71,0.99,0.01,0.78,42.5,1.48,2.14
Household Production,18.35,19.47,51.05,10.31,9.02,13.55,9.05,88.7,16.55,20.16
Household Children,5.22,18.05,13.47,,4.96,3.72,0.14,59.3,4.42,6.03
Household Adults,0.14,17.91,0.35,0.04,0.12,0.08,0.02,5.6,0.03,0.24
Non-Household Members,0.35,18.09,0.91,0.15,0.17,0.10,0.08,8.0,0.17,0.54
Travel for Household Members,1.11,24.75,3.92,0.01,0.79,0.01,0.28,29.4,0.78,1.44
Travel for Non-Household Members,0.35,24.75,1.23,0.14,0.23,0.00,0.06,7.0,0.16,0.54
Caring and Helping,7.17,19.41,19.89,0.34,6.28,3.91,0.58,62.2,6.14,8.20
Eating & Drinking,6.43,18.25,16.75,3.34,4.34,3.81,1.07,95.5,6.03,6.83
Personal Health Care,0.48,17.95,1.23,0.23,0.10,0.28,0.31,6.8,0.06,0.90
Grooming,5.49,18.17,14.25,1.95,,,,86.2,5.05,5.93
Sleeping,59.30,18.58,157.38,,,,,99.9,57.77,60.82
"Private, Personal, or N/A",1.46,20.56,4.30,0.64,0.66,0.67,0.45,18.3,1.06,1.86
Personal Time,73.15,18.56,193.91,6.16,5.10,4.76,1.83,100.0,71.44,74.87
Socializing,3.72,20.35,10.81,2.32,3.14,1.75,0.22,35.8,3.05,4.38
Passive Leisure,17.95,17.40,44.61,8.70,13.15,16.87,4.52,86.5,16.12,19.78
Active Leisure,1.37,17.40,3.40,0.61,0.60,0.37,0.62,17.1,1.01,1.73
Attendance Leisure,0.74,17.40,1.85,0.48,0.64,0.02,0.02,4.1,0.44,1.04
Religious Activities,0.78,23.41,2.61,0.56,0.66,0.15,0.09,5.9,0.44,1.12
Volunteering,0.90,23.41,3.00,0.38,0.47,0.21,0.20,6.1,0.34,1.45
Travel Related to Leisure,1.95,24.75,6.91,0.92,1.29,0.04,0.59,42.1,1.54,2.37
Leisure,27.41,18.69,73.19,13.97,19.93,19.42,6.26,97.1,25.34,29.48
Working at Job,38.19,24.61,134.25,2.27,1.17,4.93,6.27,69.0,35.01,41.36
Educational Activities,0.95,23.41,3.19,0.40,0.31,0.50,0.49,4.7,0.43,1.48
Commuting to Work or School,2.77,24.75,9.79,0.07,0.23,0.02,2.37,57.4,2.37,3.16
Work and Education,41.91,24.59,147.23,2.74,1.70,5.45,9.12,71.5,38.61,45.22
Total,168.00,20.22,485.26,33.52,42.04,47.07,26.84,,,
