time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.77,18.31,4.62,0.02,0.78,1.72,0.98,19.3,1.54,1.99
Food Cooking & Clean-up,2.43,18.40,6.38,0.00,1.36,2.35,1.03,44.4,2.23,2.63
"Pets, Home & Vehicles",4.99,20.06,14.29,0.00,1.37,4.48,3.53,36.9,4.57,5.40
Household Management,1.05,24.72,3.73,0.00,0.46,0.77,0.54,20.6,0.89,1.22
Shopping,1.98,18.13,5.13,0.00,1.12,0.08,0.82,37.1,1.80,2.16
Obtaining Services,0.14,21.87,0.45,0.00,0.03,0.08,0.10,2.1,0.05,0.24
Travel for Household Activity,2.02,24.75,7.14,0.01,0.98,0.02,0.98,40.5,1.85,2.19
Household Production,14.38,20.32,41.74,0.04,6.10,9.51,7.97,78.6,13.75,15.02
Household Children,1.57,18.05,4.04,,1.39,0.74,0.11,27.4,1.37,1.77
Household Adults,0.18,17.91,0.46,0.00,0.15,0.05,0.03,5.9,0.10,0.26
Non-Household Members,0.55,18.09,1.42,0.00,0.40,0.11,0.07,7.5,0.41,0.68
Travel for Household Members,0.98,24.75,3.45,0.00,0.64,0.01,0.33,20.2,0.82,1.13
Travel for Non-Household Members,0.43,24.75,1.54,0.00,0.27,0.00,0.11,6.6,0.24,0.63
Caring and Helping,3.71,20.60,10.91,0.01,2.85,0.91,0.65,35.3,3.29,4.12
Eating & Drinking,7.80,18.25,20.34,0.02,4.76,4.61,2.03,96.6,7.58,8.03
Personal Health Care,0.54,17.95,1.38,0.00,0.22,0.28,0.25,5.1,0.27,0.80
Grooming,4.19,18.17,10.87,0.00,,,,81.5,4.03,4.34
Sleeping,56.53,18.58,150.05,,,,,99.9,55.83,57.24
"Private, Personal, or N/A",1.53,20.56,4.49,0.00,0.41,0.42,0.61,20.4,1.32,1.75
Personal Time,70.59,18.56,187.14,0.03,5.39,5.31,2.88,100.0,69.77,71.41
Socializing,4.10,20.35,11.92,0.01,3.40,2.17,0.12,36.2,3.58,4.62
Passive Leisure,21.58,17.40,53.64,0.06,12.72,20.13,8.38,90.3,20.78,22.38
Active Leisure,2.28,17.40,5.66,0.01,0.80,0.42,0.92,19.6,2.05,2.51
Attendance Leisure,0.93,17.40,2.31,0.00,0.69,0.02,0.05,4.6,0.63,1.23
Religious Activities,0.67,23.41,2.23,0.00,0.50,0.09,0.11,6.7,0.56,0.77
Volunteering,0.93,23.41,3.10,0.00,0.40,0.20,0.22,6.3,0.73,1.12
Travel Related to Leisure,3.14,24.75,11.11,0.00,1.82,0.04,1.14,48.1,2.71,3.58
Leisure,33.63,18.73,89.97,0.09,20.33,23.08,10.94,97.1,32.44,34.81
Working at Job,41.91,38.44,230.19,0.00,1.12,5.39,9.90,72.8,40.53,43.29
Educational Activities,0.16,23.41,0.54,0.00,0.02,0.08,0.10,0.6,0.06,0.27
Commuting to Work or School,3.62,24.75,12.79,0.00,0.18,0.03,3.20,58.4,3.35,3.89
Work and Education,45.69,37.31,243.52,0.00,1.32,5.50,13.20,73.6,44.28,47.11
Total,168.00,23.89,573.28,0.16,35.99,44.31,35.64,,,
