time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.10,18.31,2.87,0.03,0.59,1.06,0.50,12.6,0.89,1.30
Food Cooking & Clean-up,1.61,18.40,4.24,0.04,0.88,1.54,0.73,34.9,1.45,1.78
"Pets, Home & Vehicles",5.26,20.06,15.08,0.03,1.35,4.77,3.72,34.5,4.60,5.93
Household Management,1.02,24.72,3.62,0.02,0.49,0.75,0.49,19.7,0.87,1.18
Shopping,1.97,18.13,5.09,0.05,1.20,0.06,0.70,33.9,1.74,2.19
Obtaining Services,0.13,21.87,0.40,0.00,0.04,0.06,0.05,2.4,0.07,0.19
Travel for Household Activity,1.99,24.75,7.03,0.03,1.05,0.01,0.89,38.1,1.77,2.21
Household Production,13.08,20.51,38.33,0.19,5.60,8.24,7.07,72.5,12.37,13.79
Household Children,0.29,18.05,0.75,,0.27,0.25,0.01,1.9,0.14,0.44
Household Adults,0.25,17.91,0.63,0.00,0.18,0.12,0.04,5.3,0.15,0.34
Non-Household Members,0.94,18.09,2.43,0.00,0.73,0.35,0.08,9.3,0.77,1.11
Travel for Household Members,0.09,24.75,0.33,0.00,0.08,0.00,0.02,2.4,0.05,0.13
Travel for Non-Household Members,0.33,24.75,1.16,0.00,0.20,0.00,0.08,6.6,0.25,0.40
Caring and Helping,1.90,19.54,5.30,0.01,1.45,0.73,0.23,15.3,1.53,2.27
Eating & Drinking,8.71,18.25,22.71,0.18,5.55,5.31,2.08,97.2,8.48,8.95
Personal Health Care,0.60,17.95,1.54,0.00,0.33,0.33,0.23,6.5,0.41,0.79
Grooming,4.14,18.17,10.76,0.06,,,,78.3,3.99,4.30
Sleeping,57.54,18.58,152.71,,,,,99.9,56.69,58.38
"Private, Personal, or N/A",1.65,20.56,4.83,0.04,0.49,0.62,0.67,18.4,1.36,1.94
Personal Time,72.64,18.56,192.56,0.29,6.37,6.26,2.98,100.0,71.79,73.49
Socializing,3.82,20.35,11.11,0.13,3.14,1.75,0.13,33.5,3.44,4.20
Passive Leisure,26.01,17.40,64.64,0.47,17.16,24.69,8.51,92.8,25.09,26.93
Active Leisure,2.23,17.40,5.55,0.03,0.74,0.42,0.93,19.4,1.96,2.51
Attendance Leisure,0.75,17.40,1.88,0.02,0.52,0.07,0.13,3.7,0.56,0.95
Religious Activities,0.91,23.41,3.05,0.01,0.65,0.22,0.14,7.4,0.74,1.09
Volunteering,0.73,23.41,2.42,0.00,0.19,0.19,0.19,5.1,0.57,0.88
Travel Related to Leisure,2.73,24.75,9.66,0.05,1.43,0.06,1.15,46.8,2.36,3.10
Leisure,37.19,18.51,98.31,0.70,23.83,27.40,11.18,97.7,36.14,38.23
Working at Job,39.57,35.74,202.03,0.03,0.83,4.60,9.74,68.4,38.24,40.90
Educational Activities,0.16,23.41,0.55,0.00,0.02,0.11,0.12,0.8,0.06,0.27
Commuting to Work or School,3.47,24.75,12.26,0.00,0.15,0.04,3.04,56.0,3.15,3.78
Work and Education,43.20,34.82,214.84,0.03,1.00,4.74,12.91,69.5,41.71,44.68
Total,168.00,22.89,549.34,1.22,38.26,47.37,34.37,,,
