time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,5.22,18.31,13.65,0.00,0.57,5.09,4.32,42.6,4.81,5.63
Food Cooking & Clean-up,4.47,18.40,11.75,0.00,0.90,4.32,3.32,62.8,4.05,4.90
"Pets, Home & Vehicles",1.82,20.06,5.21,0.00,0.19,1.57,1.51,24.4,1.55,2.09
Household Management,1.33,24.72,4.70,0.00,0.14,1.09,0.98,21.4,1.12,1.54
Shopping,2.09,18.13,5.41,0.00,0.72,0.11,0.86,28.4,1.74,2.43
Obtaining Services,0.17,21.87,0.53,0.00,0.03,0.13,0.10,3.4,0.10,0.24
Travel for Household Activity,1.53,24.75,5.39,0.00,0.48,0.01,0.75,30.9,1.34,1.71
Household Production,16.62,19.64,46.64,0.00,3.03,12.32,11.84,83.7,15.89,17.35
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.28,17.91,0.72,0.00,0.22,0.23,0.04,4.4,0.19,0.38
Non-Household Members,1.63,18.09,4.21,0.00,1.19,0.75,0.17,13.1,1.20,2.05
Travel for Household Members,0.10,24.75,0.35,0.00,0.05,0.00,0.04,1.4,0.04,0.16
Travel for Non-Household Members,0.36,24.75,1.27,0.00,0.15,0.01,0.14,8.7,0.28,0.44
Caring and Helping,2.37,19.36,6.55,0.00,1.61,0.99,0.39,16.8,1.88,2.86
Eating & Drinking,6.29,18.25,16.39,0.00,1.86,5.40,3.50,94.7,6.05,6.52
Personal Health Care,4.51,17.95,11.57,0.00,0.47,3.17,3.21,40.1,3.97,5.06
Grooming,4.74,18.17,12.30,0.00,,,,72.1,4.50,4.97
Sleeping,70.67,18.58,187.57,,,,,99.6,69.74,71.59
"Private, Personal, or N/A",2.42,20.56,7.12,0.00,0.35,0.90,1.18,26.3,2.14,2.71
Personal Time,88.63,18.56,234.94,0.00,2.68,9.47,7.90,100.0,87.72,89.54
Socializing,6.25,20.35,18.17,0.00,3.24,3.68,1.22,43.2,5.68,6.82
Passive Leisure,48.08,17.40,119.49,0.00,7.04,46.46,37.36,95.1,46.56,49.59
Active Leisure,0.72,17.40,1.78,0.00,0.10,0.32,0.50,9.3,0.57,0.87
Attendance Leisure,0.53,17.40,1.31,0.00,0.07,0.04,0.08,2.3,0.10,0.95
Religious Activities,1.53,23.41,5.11,0.00,0.34,0.73,0.86,12.7,1.27,1.78
Volunteering,0.53,23.41,1.76,0.00,0.11,0.13,0.14,3.0,0.33,0.72
Travel Related to Leisure,1.58,24.75,5.60,0.00,0.57,0.03,0.64,28.4,1.31,1.86
Leisure,59.21,18.11,153.22,0.00,11.47,51.40,40.80,98.2,58.19,60.23
Working at Job,0.79,13.87,1.57,0.00,0.04,0.16,0.14,1.9,0.46,1.12
Educational Activities,0.23,23.41,0.76,0.00,0.03,0.16,0.14,0.9,0.10,0.35
Commuting to Work or School,0.16,24.75,0.57,0.00,0.02,0.00,0.11,2.7,0.09,0.23
Work and Education,1.18,17.18,2.89,0.00,0.08,0.32,0.39,3.7,0.78,1.57
Total,168.00,18.51,444.24,0.01,18.87,74.51,61.32,,,
