time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.26,18.31,5.92,0.00,0.09,2.16,1.94,24.7,1.73,2.80
Food Cooking & Clean-up,2.86,18.40,7.51,0.00,0.20,2.75,2.41,53.3,2.35,3.36
"Pets, Home & Vehicles",3.08,20.06,8.82,0.02,0.31,2.55,2.48,24.4,2.23,3.92
Household Management,0.62,24.72,2.17,0.00,0.11,0.44,0.44,12.8,0.27,0.96
Shopping,1.44,18.13,3.72,0.00,0.31,0.18,0.91,27.6,1.06,1.82
Obtaining Services,0.13,21.87,0.42,0.00,0.05,0.07,0.03,1.7,,0.27
Travel for Household Activity,1.28,24.75,4.52,0.00,0.19,0.01,0.90,30.1,1.00,1.55
Household Production,11.66,19.86,33.08,0.02,1.27,8.17,9.11,77.2,10.34,12.98
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.08,17.91,0.20,0.00,0.05,0.05,0.00,3.3,0.01,0.14
Non-Household Members,0.58,18.09,1.49,0.00,0.35,0.15,0.10,8.5,0.31,0.84
Travel for Household Members,0.01,24.75,0.03,0.00,0.00,0.00,0.01,0.4,,0.03
Travel for Non-Household Members,0.29,24.75,1.03,0.00,0.08,0.01,0.16,6.7,0.16,0.43
Caring and Helping,0.96,20.17,2.76,0.00,0.49,0.20,0.27,11.2,0.57,1.34
Eating & Drinking,5.86,18.25,15.28,0.00,1.14,4.75,3.75,93.1,5.42,6.30
Personal Health Care,4.67,17.95,11.98,0.00,0.21,2.32,3.60,33.9,3.17,6.18
Grooming,3.04,18.17,7.88,0.00,,,,57.4,2.64,3.43
Sleeping,67.85,18.58,180.09,,,,,99.4,65.65,70.06
"Private, Personal, or N/A",2.28,20.56,6.70,0.00,0.43,0.68,1.10,25.1,1.82,2.74
Personal Time,83.70,18.56,221.93,0.00,1.78,7.74,8.46,100.0,81.11,86.30
Socializing,5.28,20.35,15.35,0.00,1.79,1.94,0.58,31.6,4.15,6.41
Passive Leisure,58.90,17.40,146.39,0.05,5.58,56.41,49.50,96.9,56.15,61.66
Active Leisure,1.46,17.40,3.63,0.00,0.10,0.35,1.11,12.9,0.96,1.96
Attendance Leisure,0.52,17.40,1.30,0.00,0.11,0.05,0.26,2.0,0.16,0.89
Religious Activities,0.93,23.41,3.09,0.00,0.08,0.47,0.61,8.0,0.56,1.30
Volunteering,0.77,23.41,2.58,0.00,0.01,0.14,0.31,3.6,0.15,1.39
Travel Related to Leisure,2.07,24.75,7.32,0.00,0.26,0.08,1.28,36.0,1.67,2.47
Leisure,69.93,17.98,179.66,0.06,7.94,59.43,53.65,98.8,67.27,72.59
Working at Job,1.22,13.95,2.43,0.00,0.00,0.06,0.01,2.7,0.47,1.97
Educational Activities,0.28,23.41,0.93,0.00,0.00,0.22,0.21,1.1,,0.58
Commuting to Work or School,0.25,24.75,0.89,0.00,0.02,0.00,0.20,3.8,0.12,0.39
Work and Education,1.75,17.02,4.25,0.00,0.02,0.29,0.43,5.3,0.83,2.67
Total,168.00,18.40,441.69,0.08,11.50,75.83,71.91,,,
