time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,10.49,18.31,27.44,0.00,2.41,10.31,7.94,65.9,9.55,11.43
Food Cooking & Clean-up,9.04,18.40,23.76,0.00,3.18,8.87,5.72,81.1,8.46,9.62
"Pets, Home & Vehicles",4.65,20.06,13.33,0.00,1.41,4.08,3.13,39.4,4.02,5.29
Household Management,1.57,24.72,5.55,0.00,0.60,1.31,0.94,27.1,1.27,1.87
Shopping,4.03,18.13,10.45,0.01,2.10,0.10,1.56,46.2,3.59,4.48
Obtaining Services,0.32,21.87,0.99,0.00,0.10,0.14,0.13,6.0,0.20,0.43
Travel for Household Activity,2.65,24.75,9.38,0.00,1.53,0.02,0.98,48.8,2.29,3.01
Household Production,32.76,19.42,90.90,0.01,11.34,24.82,20.41,95.7,31.18,34.33
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.79,17.91,2.03,0.00,0.66,0.56,0.07,12.3,0.50,1.08
Non-Household Members,2.87,18.09,7.42,0.00,2.35,1.39,0.32,19.1,2.15,3.60
Travel for Household Members,0.25,24.75,0.87,0.00,0.18,0.00,0.05,5.1,0.16,0.33
Travel for Non-Household Members,0.61,24.75,2.17,0.00,0.34,0.00,0.18,12.5,0.46,0.76
Caring and Helping,4.52,19.32,12.48,0.00,3.53,1.96,0.62,28.6,3.68,5.37
Eating & Drinking,8.11,18.25,21.14,0.00,6.10,6.10,1.66,96.5,7.73,8.49
Personal Health Care,1.47,17.95,3.77,0.00,0.40,0.78,0.80,13.1,1.00,1.94
Grooming,5.02,18.17,13.03,0.00,,,,77.0,4.71,5.33
Sleeping,62.68,18.58,166.37,,,,,99.9,61.65,63.71
"Private, Personal, or N/A",2.29,20.56,6.72,0.00,0.62,0.93,0.91,26.3,1.83,2.75
Personal Time,79.57,18.57,211.03,0.00,7.12,7.81,3.38,100.0,78.29,80.84
Socializing,7.29,20.35,21.19,0.00,5.14,4.24,1.03,51.6,6.54,8.04
Passive Leisure,30.87,17.40,76.73,0.00,17.08,29.78,13.47,94.9,29.46,32.28
Active Leisure,2.20,17.40,5.46,0.00,0.74,0.69,0.98,20.2,1.75,2.64
Attendance Leisure,0.84,17.40,2.10,0.00,0.53,0.17,0.16,4.8,0.54,1.14
Religious Activities,1.36,23.41,4.53,0.00,0.72,0.42,0.48,13.1,1.13,1.58
Volunteering,1.40,23.41,4.68,0.00,0.30,0.57,0.47,8.0,0.96,1.84
Travel Related to Leisure,2.77,24.75,9.78,0.00,1.80,0.04,0.73,45.3,2.44,3.10
Leisure,46.72,18.65,124.48,0.00,26.31,35.89,17.32,99.0,45.19,48.25
Working at Job,3.72,18.73,9.97,0.00,0.28,0.84,0.86,9.2,2.74,4.71
Educational Activities,0.29,23.41,0.98,0.00,0.07,0.29,0.21,1.1,0.10,0.49
Commuting to Work or School,0.41,24.75,1.45,0.00,0.10,0.00,0.29,7.9,0.28,0.54
Work and Education,4.43,19.60,12.40,0.00,0.45,1.13,1.37,11.6,3.38,5.48
Total,168.00,18.80,451.29,0.01,48.74,71.61,43.10,,,
