time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,4.78,18.31,12.50,0.02,1.56,4.71,3.21,41.1,3.82,5.73
Food Cooking & Clean-up,4.65,18.40,12.22,0.00,2.11,4.59,2.53,69.4,3.91,5.38
"Pets, Home & Vehicles",2.84,20.06,8.12,0.01,0.91,2.51,1.92,33.8,2.15,3.52
Household Management,1.21,24.72,4.27,0.00,0.59,1.09,0.59,26.2,0.23,2.19
Shopping,2.57,18.13,6.67,0.00,1.32,0.03,1.06,40.9,2.03,3.12
Obtaining Services,0.13,21.87,0.42,0.00,0.01,0.08,0.05,1.8,,0.43
Travel for Household Activity,1.98,24.75,6.99,0.01,0.81,0.01,1.07,43.4,1.52,2.44
Household Production,18.16,19.74,51.19,0.05,7.32,13.03,10.44,89.9,16.00,20.31
Household Children,0.06,18.05,0.15,,0.06,0.04,0.00,0.9,,0.12
Household Adults,0.18,17.91,0.47,0.00,0.15,0.07,0.03,5.0,0.02,0.35
Non-Household Members,1.41,18.09,3.64,0.00,1.16,0.62,0.09,14.3,0.68,2.13
Travel for Household Members,0.18,24.75,0.62,0.00,0.15,0.00,0.03,3.4,,0.45
Travel for Non-Household Members,0.50,24.75,1.76,0.00,0.25,0.01,0.21,11.0,0.26,0.73
Caring and Helping,2.32,20.01,6.64,0.00,1.76,0.75,0.35,19.3,1.59,3.06
Eating & Drinking,8.07,18.25,21.03,0.03,5.17,4.91,1.93,95.7,7.42,8.72
Personal Health Care,1.16,17.95,2.96,0.00,0.20,0.75,0.83,11.4,0.28,2.03
Grooming,5.65,18.17,14.68,0.02,,,,85.8,5.27,6.04
Sleeping,58.77,18.58,155.98,,,,,100.0,56.85,60.69
"Private, Personal, or N/A",2.05,20.56,6.03,0.00,1.15,1.20,0.55,20.4,1.04,3.07
Personal Time,75.70,18.56,200.69,0.04,6.53,6.85,3.32,100.0,73.27,78.12
Socializing,4.20,20.35,12.20,0.00,3.13,2.02,0.40,40.1,3.31,5.08
Passive Leisure,22.24,17.40,55.28,0.10,14.07,21.23,7.90,92.2,18.49,26.00
Active Leisure,1.06,17.40,2.64,0.00,0.39,0.27,0.59,14.5,0.70,1.42
Attendance Leisure,0.88,17.40,2.19,0.00,0.66,0.04,0.10,3.7,0.31,1.45
Religious Activities,0.86,23.41,2.87,0.02,0.51,0.24,0.20,7.1,0.48,1.24
Volunteering,0.57,23.41,1.91,0.02,0.17,0.12,0.19,4.7,0.16,0.98
Travel Related to Leisure,2.32,24.75,8.19,0.02,1.45,0.01,0.72,42.4,1.70,2.93
Leisure,32.13,18.58,85.30,0.15,20.37,23.93,10.11,98.0,28.82,35.45
Working at Job,36.22,26.50,137.11,0.00,0.94,4.99,6.84,64.6,32.83,39.61
Educational Activities,0.39,23.41,1.30,0.00,0.00,0.39,0.39,2.3,0.04,0.74
Commuting to Work or School,3.08,24.75,10.90,0.00,0.25,0.01,2.68,55.0,2.47,3.70
Work and Education,39.69,26.33,149.31,0.00,1.19,5.39,9.91,66.1,35.76,43.62
Total,168.00,20.55,493.12,0.24,37.18,49.94,34.13,,,
