time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,5.61,18.31,14.67,0.00,1.85,5.53,3.74,52.0,5.09,6.13
Food Cooking & Clean-up,5.90,18.40,15.52,0.00,2.60,5.76,3.24,75.4,5.60,6.21
"Pets, Home & Vehicles",2.15,20.06,6.15,0.00,1.07,1.77,1.05,29.7,1.87,2.42
Household Management,1.17,24.72,4.13,0.00,0.55,0.95,0.59,28.2,1.01,1.33
Shopping,3.14,18.13,8.12,0.00,1.78,0.12,1.24,48.9,2.91,3.36
Obtaining Services,0.08,21.87,0.26,0.00,0.03,0.03,0.04,2.5,0.05,0.12
Travel for Household Activity,2.49,24.75,8.81,0.00,1.47,0.02,0.97,51.6,2.21,2.77
Household Production,20.54,19.65,57.66,0.00,9.35,14.18,10.86,93.3,19.77,21.31
Household Children,2.51,18.05,6.47,,2.24,1.37,0.21,42.0,2.22,2.80
Household Adults,0.26,17.91,0.67,0.00,0.22,0.18,0.03,7.1,0.11,0.41
Non-Household Members,0.67,18.09,1.72,0.00,0.55,0.23,0.05,9.9,0.51,0.82
Travel for Household Members,1.20,24.75,4.24,0.00,0.80,0.01,0.38,28.5,1.06,1.34
Travel for Non-Household Members,0.32,24.75,1.14,0.00,0.21,0.00,0.09,8.2,0.26,0.38
Caring and Helping,4.96,20.10,14.24,0.00,4.02,1.78,0.77,50.0,4.55,5.36
Eating & Drinking,7.43,18.25,19.37,0.00,5.10,4.26,1.34,96.5,7.15,7.71
Personal Health Care,0.80,17.95,2.04,0.00,0.20,0.30,0.47,8.7,0.60,0.99
Grooming,5.85,18.17,15.19,0.00,,,,89.0,5.63,6.07
Sleeping,57.97,18.58,153.87,,,,,100.0,57.30,58.65
"Private, Personal, or N/A",1.61,20.56,4.74,0.00,0.51,0.57,0.56,24.2,1.37,1.85
Personal Time,73.66,18.55,195.21,0.00,5.81,5.13,2.37,100.0,72.87,74.46
Socializing,4.35,20.35,12.64,0.00,3.43,1.92,0.28,41.5,3.94,4.75
Passive Leisure,17.41,17.40,43.26,0.01,11.02,16.51,6.11,86.9,16.57,18.24
Active Leisure,1.52,17.40,3.78,0.00,0.62,0.35,0.61,19.0,1.34,1.70
Attendance Leisure,0.95,17.40,2.35,0.03,0.79,0.03,0.04,5.1,0.70,1.19
Religious Activities,1.03,23.41,3.45,0.00,0.74,0.26,0.21,10.2,0.85,1.21
Volunteering,1.09,23.41,3.64,0.00,0.41,0.30,0.23,8.2,0.87,1.31
Travel Related to Leisure,2.54,24.75,8.98,0.00,1.80,0.02,0.62,49.8,2.16,2.92
Leisure,28.88,18.93,78.09,0.04,18.81,19.39,8.09,96.3,27.52,30.23
Working at Job,36.69,29.90,156.68,0.00,1.28,5.49,6.65,68.6,35.04,38.33
Educational Activities,0.66,23.41,2.21,0.00,0.05,0.48,0.49,2.2,0.23,1.09
Commuting to Work or School,2.62,24.75,9.26,0.00,0.26,0.03,2.23,55.0,2.27,2.96
Work and Education,39.97,29.45,168.15,0.00,1.59,6.00,9.38,69.7,38.26,41.67
Total,168.00,21.39,513.34,0.05,39.57,46.49,31.47,,,
