time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.61,18.31,4.21,0.00,0.41,1.52,1.17,20.6,1.22,2.00
Food Cooking & Clean-up,2.68,18.40,7.05,0.00,1.20,2.50,1.36,45.8,2.20,3.16
"Pets, Home & Vehicles",7.67,20.06,21.97,0.00,1.43,6.89,6.17,49.1,6.34,9.00
Household Management,1.78,24.72,6.29,0.00,0.62,1.59,1.13,29.3,1.34,2.22
Shopping,2.35,18.13,6.08,0.00,0.93,0.09,1.28,41.5,1.94,2.75
Obtaining Services,0.24,21.87,0.75,0.00,0.06,0.12,0.05,5.0,0.08,0.40
Travel for Household Activity,2.58,24.75,9.11,0.00,1.01,0.04,1.50,47.2,2.03,3.13
Household Production,18.90,20.54,55.45,0.00,5.65,12.74,12.68,86.3,17.17,20.63
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.36,17.91,0.92,0.00,0.25,0.20,0.10,8.6,0.09,0.63
Non-Household Members,1.45,18.09,3.75,0.00,1.11,0.46,0.13,12.0,0.97,1.93
Travel for Household Members,0.30,24.75,1.08,0.00,0.19,0.00,0.09,6.2,0.14,0.47
Travel for Non-Household Members,0.39,24.75,1.39,0.00,0.19,0.00,0.16,10.4,0.24,0.55
Caring and Helping,2.51,19.92,7.14,0.00,1.74,0.67,0.48,20.2,1.82,3.20
Eating & Drinking,9.45,18.25,24.64,0.00,6.21,6.26,2.55,98.0,8.91,10.00
Personal Health Care,0.71,17.95,1.82,0.00,0.19,0.38,0.40,9.2,0.33,1.09
Grooming,3.50,18.17,9.09,0.00,,,,69.3,3.14,3.86
Sleeping,59.28,18.58,157.35,,,,,100.0,58.28,60.29
"Private, Personal, or N/A",2.26,20.56,6.62,0.00,0.67,0.67,0.68,25.2,1.82,2.69
Personal Time,75.21,18.57,199.53,0.00,7.06,7.31,3.64,100.0,74.08,76.33
Socializing,4.43,20.35,12.89,0.00,3.34,2.16,0.26,36.2,3.68,5.19
Passive Leisure,34.08,17.40,84.70,0.00,17.40,32.92,16.42,96.0,32.11,36.05
Active Leisure,2.83,17.40,7.05,0.00,0.67,0.90,1.49,20.7,2.13,3.54
Attendance Leisure,1.05,17.40,2.61,0.00,0.83,0.01,0.15,5.2,0.58,1.52
Religious Activities,0.81,23.41,2.72,0.00,0.43,0.20,0.24,8.1,0.57,1.06
Volunteering,1.50,23.41,5.02,0.00,0.34,0.46,0.62,10.1,0.92,2.08
Travel Related to Leisure,3.09,24.75,10.93,0.00,1.72,0.03,1.28,52.8,2.48,3.71
Leisure,47.80,18.44,125.91,0.00,24.74,36.69,20.45,99.0,45.68,49.92
Working at Job,21.51,20.48,62.95,0.00,1.37,4.33,5.62,55.8,19.08,23.94
Educational Activities,0.06,23.41,0.21,0.00,0.02,0.03,0.05,0.4,,0.15
Commuting to Work or School,2.01,24.75,7.09,0.00,0.13,0.04,1.82,41.0,1.60,2.41
Work and Education,23.58,20.85,70.25,0.00,1.52,4.40,7.48,56.9,20.98,26.18
Total,168.00,19.10,458.29,0.00,40.71,61.80,44.73,,,
