time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,5.57,18.31,14.57,0.03,0.20,5.40,5.08,44.8,5.02,6.12
Food Cooking & Clean-up,4.18,18.40,10.97,0.04,0.43,3.98,3.64,65.8,3.78,4.57
"Pets, Home & Vehicles",1.97,20.06,5.65,0.00,0.10,1.74,1.77,26.2,1.72,2.22
Household Management,1.39,24.72,4.89,0.00,0.12,1.18,1.13,21.8,1.10,1.67
Shopping,1.84,18.13,4.76,0.01,0.50,0.13,0.93,27.8,1.61,2.07
Obtaining Services,0.16,21.87,0.51,0.00,0.01,0.12,0.09,3.8,0.11,0.22
Travel for Household Activity,1.37,24.75,4.83,0.00,0.32,0.01,0.76,30.2,1.16,1.57
Household Production,16.47,19.63,46.19,0.09,1.68,12.58,13.41,85.6,15.58,17.36
Household Children,0.15,18.05,0.39,,0.15,0.14,0.00,0.8,0.01,0.30
Household Adults,0.03,17.91,0.09,0.00,0.03,0.03,0.00,0.4,,0.08
Non-Household Members,1.81,18.09,4.69,0.01,1.37,0.80,0.15,14.5,1.29,2.34
Travel for Household Members,0.01,24.75,0.04,0.00,0.01,0.00,0.00,0.3,,0.02
Travel for Non-Household Members,0.42,24.75,1.47,0.00,0.17,0.01,0.16,9.8,0.31,0.52
Caring and Helping,2.43,19.25,6.68,0.01,1.73,0.98,0.32,15.5,1.82,3.04
Eating & Drinking,6.13,18.25,15.98,0.02,0.93,5.20,4.37,94.6,5.85,6.40
Personal Health Care,4.79,17.95,12.28,0.00,0.34,3.51,3.60,42.4,4.25,5.33
Grooming,4.81,18.17,12.48,0.01,,,,72.2,4.59,5.02
Sleeping,69.89,18.58,185.51,,,,,99.5,68.41,71.37
"Private, Personal, or N/A",2.27,20.56,6.65,0.02,0.27,0.90,1.12,25.6,1.98,2.55
Personal Time,87.88,18.55,232.89,0.07,1.55,9.61,9.09,100.0,86.55,89.21
Socializing,6.75,20.35,19.62,0.03,3.26,3.73,1.52,46.1,6.13,7.37
Passive Leisure,48.46,17.40,120.44,0.09,3.03,46.55,43.20,95.7,46.86,50.06
Active Leisure,0.73,17.40,1.82,0.01,0.05,0.30,0.52,9.1,0.58,0.88
Attendance Leisure,0.39,17.40,0.98,0.01,0.11,0.06,0.10,2.5,0.25,0.53
Religious Activities,1.74,23.41,5.82,0.00,0.30,0.81,1.01,13.7,1.43,2.05
Volunteering,0.50,23.41,1.67,0.00,0.04,0.14,0.15,2.8,0.32,0.68
Travel Related to Leisure,1.78,24.75,6.29,0.00,0.56,0.04,0.79,31.4,1.44,2.12
Leisure,60.35,18.17,156.65,0.14,7.36,51.63,47.30,98.4,59.14,61.57
Working at Job,0.54,14.88,1.15,0.00,0.06,0.13,0.13,1.3,0.27,0.81
Educational Activities,0.21,23.41,0.69,0.00,0.00,0.13,0.15,0.8,0.08,0.34
Commuting to Work or School,0.12,24.75,0.41,0.00,0.00,0.00,0.10,1.8,0.05,0.18
Work and Education,0.87,18.25,2.26,0.00,0.06,0.26,0.39,2.7,0.59,1.15
Total,168.00,18.53,444.67,0.30,12.38,75.06,70.51,,,
