time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.09,18.31,5.47,0.00,0.27,2.03,1.71,28.1,1.33,2.86
Food Cooking & Clean-up,3.77,18.40,9.91,0.00,0.99,3.62,2.65,46.0,2.93,4.61
"Pets, Home & Vehicles",7.79,20.06,22.33,0.00,0.43,7.39,7.02,33.2,4.31,11.28
Household Management,0.43,24.72,1.50,0.00,0.02,0.29,0.36,15.3,0.21,0.64
Shopping,2.03,18.13,5.26,0.00,0.69,0.01,1.09,38.1,1.07,2.99
Obtaining Services,0.13,21.87,0.40,0.00,0.03,0.03,0.03,1.9,,0.27
Travel for Household Activity,1.74,24.75,6.15,0.00,0.47,0.02,1.11,39.7,1.30,2.18
Household Production,17.98,19.87,51.02,0.00,2.90,13.39,13.98,75.0,13.69,22.27
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,2.35,17.91,6.00,0.00,2.24,2.03,0.07,15.8,0.94,3.76
Non-Household Members,2.57,18.09,6.64,0.00,1.26,1.03,0.97,13.1,,5.22
Travel for Household Members,0.13,24.75,0.46,0.00,0.12,0.00,0.01,4.1,,0.26
Travel for Non-Household Members,0.53,24.75,1.88,0.00,0.18,0.01,0.21,9.4,0.26,0.81
Caring and Helping,5.58,18.81,14.99,0.00,3.80,3.07,1.26,27.9,2.69,8.47
Eating & Drinking,5.91,18.25,15.40,0.02,2.25,4.58,2.80,94.0,5.00,6.82
Personal Health Care,0.48,17.95,1.22,0.00,0.06,0.21,0.32,4.8,0.03,0.92
Grooming,3.64,18.17,9.45,0.00,,,,71.6,2.94,4.35
Sleeping,61.47,18.58,163.14,,,,,100.0,58.14,64.80
"Private, Personal, or N/A",2.64,20.56,7.76,0.00,0.30,1.20,1.44,27.3,1.49,3.79
Personal Time,74.13,18.60,196.98,0.02,2.60,5.99,4.56,100.0,70.72,77.54
Socializing,4.58,20.35,13.32,0.01,1.82,1.60,0.59,35.7,2.96,6.20
Passive Leisure,46.31,17.40,115.10,0.00,8.08,43.27,31.22,97.1,41.42,51.20
Active Leisure,4.98,17.40,12.38,0.00,0.27,0.42,3.73,24.4,1.77,8.19
Attendance Leisure,0.56,17.40,1.38,0.00,0.00,0.01,0.11,1.7,,1.35
Religious Activities,0.37,23.41,1.24,0.00,0.17,0.17,0.07,2.3,0.09,0.65
Volunteering,0.94,23.41,3.14,0.00,0.01,0.34,0.41,2.8,,2.24
Travel Related to Leisure,2.54,24.75,8.96,0.00,0.38,0.01,1.30,39.3,1.51,3.56
Leisure,60.27,18.06,155.53,0.01,10.74,45.83,37.44,99.6,55.26,65.29
Working at Job,6.49,15.96,14.80,0.00,0.73,0.79,0.88,15.0,3.33,9.65
Educational Activities,2.50,23.41,8.35,0.00,0.00,1.05,1.98,7.7,0.80,4.19
Commuting to Work or School,1.05,24.75,3.71,0.00,0.21,0.00,0.62,17.4,0.55,1.55
Work and Education,10.04,18.73,26.86,0.00,0.94,1.84,3.48,25.6,6.58,13.49
Total,168.00,18.56,445.37,0.03,20.99,70.12,60.72,,,
