time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,9.55,18.31,25.00,0.00,1.78,8.86,6.97,58.3,7.69,11.42
Food Cooking & Clean-up,6.91,18.40,18.16,0.07,2.19,6.65,4.63,75.7,5.82,8.00
"Pets, Home & Vehicles",3.27,20.06,9.38,0.00,1.14,2.65,2.11,35.5,1.73,4.82
Household Management,2.08,24.72,7.35,0.00,0.64,1.67,1.23,27.1,1.15,3.01
Shopping,4.42,18.13,11.46,0.00,2.01,0.18,2.20,54.8,3.24,5.60
Obtaining Services,0.23,21.87,0.73,0.00,0.11,0.01,0.12,3.7,0.01,0.46
Travel for Household Activity,3.27,24.75,11.57,0.00,1.49,0.04,1.71,56.6,2.40,4.14
Household Production,29.75,19.68,83.64,0.07,9.36,20.05,18.98,95.3,27.17,32.32
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.22,17.91,0.56,0.00,0.12,0.14,0.04,7.9,0.04,0.40
Non-Household Members,2.72,18.09,7.03,0.00,2.20,1.20,0.33,17.9,1.02,4.42
Travel for Household Members,0.10,24.75,0.35,0.00,0.06,0.00,0.03,3.4,0.02,0.17
Travel for Non-Household Members,0.65,24.75,2.30,0.00,0.30,0.02,0.25,13.4,0.27,1.03
Caring and Helping,3.69,19.43,10.24,0.00,2.69,1.35,0.65,22.3,1.66,5.72
Eating & Drinking,7.21,18.25,18.80,0.01,4.62,4.61,2.02,93.9,6.61,7.82
Personal Health Care,0.89,17.95,2.28,0.00,0.20,0.30,0.57,11.5,0.31,1.46
Grooming,5.33,18.17,13.83,0.01,,,,81.4,4.71,5.95
Sleeping,62.71,18.58,166.45,,,,,100.0,60.97,64.45
"Private, Personal, or N/A",4.12,20.56,12.10,0.00,0.79,2.30,1.96,34.8,2.90,5.34
Personal Time,80.26,18.62,213.46,0.01,5.61,7.22,4.54,100.0,78.39,82.13
Socializing,6.52,20.35,18.97,0.00,4.81,3.79,0.82,47.7,5.39,7.66
Passive Leisure,25.79,17.40,64.10,0.15,13.09,24.71,12.19,92.6,22.88,28.70
Active Leisure,2.12,17.40,5.26,0.00,0.94,0.48,0.92,22.0,1.31,2.92
Attendance Leisure,1.99,17.40,4.95,0.00,1.16,0.35,0.42,8.2,0.87,3.11
Religious Activities,0.69,23.41,2.30,0.00,0.25,0.23,0.31,7.6,0.40,0.98
Volunteering,1.10,23.41,3.68,0.00,0.16,0.53,0.51,6.1,0.37,1.83
Travel Related to Leisure,2.70,24.75,9.56,0.00,1.72,0.02,0.74,48.9,1.74,3.67
Leisure,40.92,18.62,108.82,0.15,22.12,30.11,15.91,98.8,36.20,45.63
Working at Job,10.26,17.96,26.33,0.00,0.10,0.68,1.45,22.7,5.53,15.00
Educational Activities,1.72,23.41,5.74,0.00,0.11,1.10,1.29,4.8,0.53,2.90
Commuting to Work or School,1.40,24.75,4.97,0.00,0.08,0.01,1.25,22.7,0.60,2.21
Work and Education,13.39,19.37,37.04,0.00,0.29,1.79,3.99,28.3,8.40,18.38
Total,168.00,18.88,453.21,0.23,40.06,60.51,44.08,,,
