time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,5.45,18.31,14.26,2.87,2.10,5.29,3.27,42.9,4.36,6.54
Food Cooking & Clean-up,6.66,18.40,17.50,4.41,3.36,6.57,3.19,68.0,5.29,8.03
"Pets, Home & Vehicles",5.04,20.06,14.43,1.99,1.60,4.37,3.28,38.9,3.72,6.35
Household Management,0.70,24.72,2.46,0.36,0.31,0.59,0.38,19.7,0.50,0.89
Shopping,2.97,18.13,7.69,1.20,1.70,0.14,0.80,40.1,2.17,3.77
Obtaining Services,0.11,21.87,0.34,0.07,0.06,0.08,0.03,2.4,,0.35
Travel for Household Activity,2.11,24.75,7.48,0.72,1.08,0.01,0.84,43.5,1.60,2.63
Household Production,23.04,19.50,64.16,11.63,10.22,17.04,11.79,85.1,20.29,25.78
Household Children,14.76,18.05,38.06,,13.99,11.95,0.38,71.0,12.55,16.96
Household Adults,0.42,17.91,1.08,0.35,0.42,0.33,0.01,10.8,0.02,0.83
Non-Household Members,0.71,18.09,1.83,0.30,0.41,0.11,0.07,9.5,0.29,1.13
Travel for Household Members,2.37,24.75,8.37,0.16,1.76,0.03,0.55,37.3,1.66,3.07
Travel for Non-Household Members,0.50,24.75,1.77,0.15,0.40,0.00,0.07,8.2,0.20,0.80
Caring and Helping,18.76,19.08,51.11,0.95,16.99,12.42,1.08,75.6,16.28,21.23
Eating & Drinking,8.21,18.25,21.41,4.97,6.38,6.30,1.16,94.7,7.47,8.95
Personal Health Care,0.96,17.95,2.45,0.29,0.29,0.49,0.50,5.7,0.23,1.69
Grooming,3.03,18.17,7.86,1.18,,,,64.8,2.57,3.48
Sleeping,59.16,18.58,157.04,,,,,99.7,57.15,61.18
"Private, Personal, or N/A",3.23,20.56,9.49,1.53,1.64,1.63,0.62,25.2,2.12,4.34
Personal Time,74.59,18.60,198.25,7.97,8.31,8.43,2.28,100.0,72.61,76.58
Socializing,5.40,20.35,15.71,2.72,4.69,3.00,0.17,44.9,4.17,6.63
Passive Leisure,27.07,17.40,67.28,13.41,16.99,25.94,9.45,94.1,24.19,29.95
Active Leisure,2.91,17.40,7.24,1.11,1.52,0.57,1.11,22.4,1.86,3.96
Attendance Leisure,0.74,17.40,1.84,0.45,0.57,0.03,0.11,3.5,0.25,1.23
Religious Activities,0.72,23.41,2.39,0.37,0.55,0.26,0.11,7.8,0.37,1.06
Volunteering,0.62,23.41,2.07,0.36,0.32,0.06,0.12,4.2,0.20,1.03
Travel Related to Leisure,2.11,24.75,7.46,0.77,1.27,0.01,0.65,43.9,1.68,2.54
Leisure,39.56,18.40,103.97,19.18,25.90,29.88,11.72,98.4,36.19,42.93
Working at Job,9.50,21.34,28.95,0.84,0.47,0.98,1.14,18.2,6.62,12.37
Educational Activities,1.39,23.41,4.66,0.19,0.11,0.53,0.55,3.2,0.18,2.60
Commuting to Work or School,1.16,24.75,4.11,0.04,0.06,0.00,0.83,18.3,0.71,1.62
Work and Education,12.05,21.91,37.72,1.06,0.63,1.51,2.52,23.4,8.75,15.35
Total,168.00,18.97,455.21,40.79,62.05,69.28,29.39,,,
