time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,5.63,18.31,14.73,0.02,0.25,5.44,5.29,48.2,5.19,6.07
Food Cooking & Clean-up,3.84,18.40,10.09,0.04,0.37,3.58,3.25,66.3,3.56,4.11
"Pets, Home & Vehicles",3.50,20.06,10.03,0.00,0.15,2.99,3.10,36.7,3.10,3.91
Household Management,2.05,24.72,7.24,0.01,0.14,1.62,1.69,34.5,1.76,2.34
Shopping,3.03,18.13,7.85,0.01,0.52,0.13,2.05,44.6,2.77,3.29
Obtaining Services,0.15,21.87,0.47,0.00,0.01,0.09,0.07,4.0,0.11,0.19
Travel for Household Activity,2.30,24.75,8.13,0.01,0.27,0.03,1.76,50.0,2.12,2.47
Household Production,20.50,19.99,58.55,0.09,1.71,13.87,17.21,91.4,19.62,21.39
Household Children,0.14,18.05,0.35,,0.13,0.10,0.00,1.3,0.06,0.22
Household Adults,0.02,17.91,0.04,0.00,0.01,0.01,0.00,0.2,,0.04
Non-Household Members,1.97,18.09,5.10,0.01,1.42,0.64,0.16,19.5,1.63,2.31
Travel for Household Members,0.05,24.75,0.17,0.00,0.02,0.00,0.02,0.9,0.01,0.09
Travel for Non-Household Members,0.68,24.75,2.42,0.00,0.19,0.01,0.33,15.3,0.55,0.81
Caring and Helping,2.86,19.79,8.08,0.01,1.78,0.76,0.51,20.7,2.47,3.24
Eating & Drinking,7.17,18.25,18.68,0.05,1.14,4.49,4.33,94.4,6.85,7.48
Personal Health Care,0.94,17.95,2.42,0.00,0.04,0.40,0.68,16.3,0.76,1.13
Grooming,5.78,18.17,15.00,0.03,,,,84.7,5.46,6.09
Sleeping,61.60,18.58,163.50,,,,,99.8,60.21,62.98
"Private, Personal, or N/A",2.53,20.56,7.42,0.01,0.16,1.13,1.47,31.2,2.24,2.81
Personal Time,78.02,18.58,207.02,0.09,1.34,6.02,6.48,100.0,77.02,79.01
Socializing,6.29,20.35,18.30,0.03,2.41,2.60,1.32,48.6,5.50,7.08
Passive Leisure,28.08,17.40,69.79,0.15,1.52,25.83,24.40,92.9,26.58,29.58
Active Leisure,1.77,17.40,4.41,0.02,0.16,0.41,1.02,19.4,1.56,1.99
Attendance Leisure,0.77,17.40,1.90,0.04,0.21,0.04,0.11,4.8,0.59,0.94
Religious Activities,1.32,23.41,4.40,0.01,0.12,0.43,0.73,12.0,1.10,1.53
Volunteering,1.32,23.41,4.40,0.00,0.05,0.48,0.57,8.4,1.06,1.58
Travel Related to Leisure,2.92,24.75,10.33,0.01,0.49,0.04,1.75,53.6,2.66,3.18
Leisure,42.46,18.71,113.52,0.27,4.96,29.83,29.89,98.2,41.16,43.77
Working at Job,19.63,17.16,48.11,0.02,0.27,2.87,4.44,50.1,17.64,21.62
Educational Activities,2.69,23.41,9.01,0.00,0.02,1.01,1.50,7.2,2.00,3.39
Commuting to Work or School,1.83,24.75,6.49,0.00,0.03,0.04,1.62,41.3,1.50,2.17
Work and Education,24.16,18.43,63.61,0.02,0.32,3.92,7.57,55.4,21.97,26.35
Total,168.00,18.78,450.79,0.48,10.12,54.40,61.66,,,
