time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.71,18.31,4.48,0.00,0.15,1.54,1.33,19.1,1.42,2.00
Food Cooking & Clean-up,1.70,18.40,4.47,0.01,0.28,1.61,1.13,38.0,1.51,1.89
"Pets, Home & Vehicles",2.71,20.06,7.76,0.00,0.37,2.29,2.09,21.3,2.27,3.15
Household Management,0.84,24.72,2.95,0.00,0.13,0.60,0.58,19.3,0.67,1.00
Shopping,1.66,18.13,4.30,0.01,0.22,0.07,0.84,35.0,1.45,1.87
Obtaining Services,0.16,21.87,0.49,0.00,0.02,0.04,0.09,2.6,0.07,0.24
Travel for Household Activity,1.77,24.75,6.25,0.00,0.24,0.02,1.11,38.9,1.54,2.00
Household Production,10.54,20.39,30.70,0.02,1.40,6.17,7.18,72.2,9.80,11.28
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.10,17.91,0.26,0.00,0.07,0.05,0.02,2.4,0.02,0.18
Non-Household Members,0.84,18.09,2.17,0.00,0.38,0.19,0.13,14.3,0.63,1.05
Travel for Household Members,0.08,24.75,0.27,0.00,0.02,0.00,0.02,1.8,0.03,0.12
Travel for Non-Household Members,0.64,24.75,2.28,0.00,0.13,0.00,0.31,12.6,0.49,0.80
Caring and Helping,1.66,20.97,4.98,0.00,0.59,0.24,0.48,16.1,1.35,1.98
Eating & Drinking,6.85,18.25,17.86,0.03,1.44,3.70,2.96,93.6,6.51,7.19
Personal Health Care,0.41,17.95,1.05,0.02,0.03,0.19,0.32,5.8,0.29,0.52
Grooming,4.07,18.17,10.56,0.00,,,,77.5,3.85,4.28
Sleeping,63.51,18.58,168.57,,,,,99.9,62.52,64.50
"Private, Personal, or N/A",2.14,20.56,6.30,0.01,0.15,0.85,1.06,23.2,1.75,2.54
Personal Time,76.98,18.58,204.33,0.06,1.62,4.75,4.35,100.0,75.98,77.98
Socializing,5.70,20.35,16.57,0.01,1.57,2.03,0.55,39.8,4.95,6.45
Passive Leisure,31.50,17.40,78.28,0.08,2.84,27.67,22.83,92.2,29.80,33.19
Active Leisure,3.13,17.40,7.77,0.00,0.29,0.57,1.47,21.8,2.56,3.70
Attendance Leisure,1.08,17.40,2.68,0.00,0.19,0.03,0.19,5.5,0.82,1.34
Religious Activities,0.62,23.41,2.08,0.00,0.13,0.13,0.24,5.5,0.46,0.78
Volunteering,0.56,23.41,1.88,0.00,0.03,0.08,0.12,3.4,0.38,0.75
Travel Related to Leisure,3.32,24.75,11.74,0.00,0.36,0.04,1.96,58.1,2.89,3.75
Leisure,45.91,18.45,121.01,0.09,5.41,30.55,27.35,97.9,44.43,47.38
Working at Job,23.54,14.98,50.37,0.00,0.35,1.99,4.11,54.9,21.99,25.10
Educational Activities,6.66,23.41,22.28,0.00,0.19,2.87,4.07,19.5,5.56,7.77
Commuting to Work or School,2.70,24.75,9.54,0.00,0.12,0.05,2.35,54.1,2.45,2.95
Work and Education,32.91,17.49,82.20,0.00,0.66,4.91,10.52,66.0,31.07,34.75
Total,168.00,18.47,443.22,0.18,9.68,46.63,49.89,,,
