time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,5.66,18.31,14.81,0.01,0.68,5.40,4.57,46.1,4.71,6.61
Food Cooking & Clean-up,3.85,18.40,10.11,0.00,0.75,3.50,2.66,54.8,3.34,4.36
"Pets, Home & Vehicles",2.72,20.06,7.79,0.00,0.31,2.13,2.09,26.0,1.96,3.48
Household Management,1.32,24.72,4.66,0.00,0.18,0.95,0.97,25.4,0.91,1.73
Shopping,2.89,18.13,7.50,0.03,0.73,0.16,1.62,40.3,2.00,3.79
Obtaining Services,0.19,21.87,0.58,0.00,0.00,0.11,0.10,2.7,0.01,0.36
Travel for Household Activity,2.24,24.75,7.92,0.01,0.54,0.02,1.22,45.2,1.78,2.70
Household Production,18.87,19.80,53.38,0.05,3.19,12.28,13.22,83.6,17.35,20.39
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.32,17.91,0.82,0.00,0.15,0.25,0.04,4.9,0.07,0.57
Non-Household Members,1.76,18.09,4.55,0.00,1.11,0.59,0.13,17.3,1.24,2.28
Travel for Household Members,0.10,24.75,0.36,0.00,0.05,0.00,0.03,2.6,0.03,0.18
Travel for Non-Household Members,0.58,24.75,2.04,0.00,0.14,0.00,0.29,12.8,0.44,0.71
Caring and Helping,2.76,19.71,7.77,0.01,1.45,0.84,0.48,21.7,2.09,3.43
Eating & Drinking,6.60,18.25,17.19,0.01,1.89,4.12,2.79,94.1,6.09,7.10
Personal Health Care,1.04,17.95,2.67,0.00,0.09,0.52,0.65,11.7,0.66,1.42
Grooming,5.80,18.17,15.06,0.00,,,,78.3,5.23,6.37
Sleeping,65.37,18.58,173.51,,,,,99.9,63.86,66.89
"Private, Personal, or N/A",5.86,20.56,17.20,0.00,0.65,3.64,3.84,38.0,4.68,7.04
Personal Time,84.67,18.65,225.64,0.01,2.62,8.28,7.28,100.0,82.81,86.53
Socializing,7.71,20.35,22.42,0.00,2.82,3.22,1.21,48.9,6.28,9.15
Passive Leisure,29.85,17.40,74.18,0.00,4.31,26.89,22.31,90.4,27.93,31.77
Active Leisure,1.81,17.40,4.50,0.00,0.27,0.59,1.07,17.9,1.28,2.34
Attendance Leisure,0.96,17.40,2.39,0.00,0.17,0.03,0.22,5.0,0.60,1.32
Religious Activities,1.37,23.41,4.57,0.00,0.26,0.40,0.66,9.8,0.97,1.77
Volunteering,1.22,23.41,4.09,0.00,0.16,0.28,0.49,5.9,0.71,1.74
Travel Related to Leisure,2.67,24.75,9.44,0.00,0.49,0.03,1.43,50.7,2.30,3.04
Leisure,45.59,18.67,121.60,0.01,8.47,31.44,27.39,97.1,43.10,48.09
Working at Job,11.29,16.39,26.42,0.00,0.01,1.54,2.21,25.2,8.68,13.89
Educational Activities,3.54,23.41,11.83,0.00,0.10,1.92,2.64,9.9,2.09,4.98
Commuting to Work or School,1.29,24.75,4.55,0.00,0.06,0.02,1.12,27.8,0.93,1.64
Work and Education,16.11,18.60,42.80,0.00,0.16,3.48,5.97,37.4,13.29,18.93
Total,168.00,18.80,451.19,0.07,15.90,56.32,54.35,,,
