time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,6.74,18.31,17.64,5.60,3.69,6.68,2.97,61.3,5.99,7.50
Food Cooking & Clean-up,7.52,18.40,19.76,6.30,4.76,7.29,2.60,82.6,6.98,8.06
"Pets, Home & Vehicles",1.26,20.06,3.62,0.97,0.84,1.10,0.36,16.5,0.90,1.63
Household Management,1.00,24.72,3.53,0.74,0.65,0.78,0.32,26.2,0.79,1.21
Shopping,2.96,18.13,7.66,2.30,2.37,0.07,0.52,44.8,2.57,3.34
Obtaining Services,0.16,21.87,0.51,0.07,0.12,0.11,0.03,3.4,0.04,0.29
Travel for Household Activity,1.91,24.75,6.75,1.35,1.43,0.02,0.45,46.7,1.64,2.18
Household Production,21.56,19.31,59.48,17.33,13.87,16.05,7.24,93.7,20.24,22.87
Household Children,23.47,18.05,60.53,,23.15,21.05,0.23,94.3,22.26,24.68
Household Adults,0.14,17.91,0.35,0.08,0.13,0.08,0.01,8.4,0.08,0.19
Non-Household Members,0.39,18.09,1.02,0.32,0.37,0.17,0.01,8.2,0.23,0.56
Travel for Household Members,1.61,24.75,5.69,0.11,1.33,0.04,0.27,40.9,1.39,1.83
Travel for Non-Household Members,0.19,24.75,0.66,0.12,0.15,0.00,0.03,5.9,0.12,0.25
Caring and Helping,25.79,18.52,68.24,0.63,25.13,21.34,0.54,95.3,24.53,27.06
Eating & Drinking,7.55,18.25,19.69,6.01,6.49,5.32,0.58,96.1,7.10,8.01
Personal Health Care,0.69,17.95,1.77,0.30,0.32,0.27,0.31,7.1,0.28,1.10
Grooming,4.35,18.17,11.30,2.43,,,,79.0,4.04,4.67
Sleeping,59.10,18.58,156.86,,,,,100.0,57.89,60.31
"Private, Personal, or N/A",2.22,20.56,6.52,1.64,1.13,1.04,0.42,29.2,1.83,2.61
Personal Time,73.92,18.58,196.15,10.37,7.95,6.63,1.31,100.0,72.70,75.13
Socializing,5.77,20.35,16.78,4.15,5.16,2.80,0.23,47.8,5.01,6.54
Passive Leisure,14.36,17.40,35.70,8.53,11.67,13.38,2.49,83.3,12.65,16.08
Active Leisure,1.62,17.40,4.02,1.18,1.14,0.42,0.36,17.5,1.24,2.00
Attendance Leisure,0.50,17.40,1.25,0.39,0.46,0.04,0.03,4.0,0.34,0.67
Religious Activities,1.26,23.41,4.21,0.94,1.05,0.26,0.14,11.6,0.95,1.57
Volunteering,0.63,23.41,2.12,0.35,0.40,0.14,0.12,5.7,0.39,0.88
Travel Related to Leisure,2.04,24.75,7.22,1.51,1.67,0.03,0.34,46.7,1.77,2.32
Leisure,26.19,19.06,71.30,17.05,21.54,17.07,3.71,94.9,24.21,28.18
Working at Job,17.93,27.62,70.76,2.13,1.20,2.86,2.26,48.1,15.70,20.16
Educational Activities,1.06,23.41,3.54,0.18,0.16,0.38,0.63,3.8,0.45,1.66
Commuting to Work or School,1.55,24.75,5.48,0.11,0.14,0.02,1.36,35.2,1.30,1.80
Work and Education,20.54,27.19,79.78,2.42,1.50,3.27,4.25,51.4,18.16,22.92
Total,168.00,19.79,474.95,47.80,70.00,64.36,17.04,,,
